"(""'"", '--no-admin-check', '', '', '', '', '', '', '', '', '')"
"(""'"", '--no-cache', '', '', '', '', '', '', '', '', '')"
"(""'"", '--obfuscate', '', '', '', '', '', '', '', '', '')"
"(""'"", '--stack-trace', '', '', '', '', '', '', '', '', '')"
"(""'"", '--use-system-nameserver', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ACEType', '', '', '', '', '', '', '', '', '')"
"(""'"", '-AccountPassword', '', '', '', '', '', '', '', '', '')"
"(""'"", '-AdminCount', '', '', '', '', '', '', '', '', '')"
"(""'"", '-AllowDelegation', '', '', '', '', '', '', '', '', '')"
"(""'"", '-BaseDN', '', '', '', '', '', '', '', '', '')"
"(""'"", '-BitLocker', '', '', '', '', '', '', '', '', '')"
"(""'"", '-CheckDatalib', '', '', '', '', '', '', '', '', '')"
"(""'"", '-CheckWebEnrollment', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ComputerName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ComputerPass', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Count', '', '', '', '', '', '', '', '', '')"
"(""'"", '-DelegateFrom', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Description', '', '', '', '', '', '', '', '', '')"
"(""'"", '-DestinationDN', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Disabled', '', '', '', '', '', '', '', '', '')"
"(""'"", '-DisallowDelegation', '', '', '', '', '', '', '', '', '')"
"(""'"", '-DisplayName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-DistinguishedName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Duplicate', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Enabled', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Enforced', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ExcludeDCs', '', '', '', '', '', '', '', '', '')"
"(""'"", '-GMSAPassword', '', '', '', '', '', '', '', '', '')"
"(""'"", '-GPLink', '', '', '', '', '', '', '', '', '')"
"(""'"", '-GUID', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Identity', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Inheritance', '', '', '', '', '', '', '', '', '')"
"(""'"", '-LAPS', '', '', '', '', '', '', '', '', '')"
"(""'"", '-LDAPFilter', '', '', '', '', '', '', '', '', '')"
"(""'"", '-LinkEnabled', '', '', '', '', '', '', '', '', '')"
"(""'"", '-LinkTo', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Lockout', '', '', '', '', '', '', '', '', '')"
"(""'"", '-MemberIdentity', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Members', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Name', '', '', '', '', '', '', '', '', '')"
"(""'"", '-NoCache', '', '', '', '', '', '', '', '', '')"
"(""'"", '-NoWrap', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ObjectSID', '', '', '', '', '', '', '', '', '')"
"(""'"", '-OldPassword', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Opsec', '', '', '', '', '', '', '', '', '')"
"(""'"", '-OutFile', '', '', '', '', '', '', '', '', '')"
"(""'"", '-PassExpired', '', '', '', '', '', '', '', '', '')"
"(""'"", '-PassNotRequired', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Pre2K', '', '', '', '', '', '', '', '', '')"
"(""'"", '-PreAuthNotRequired', '', '', '', '', '', '', '', '', '')"
"(""'"", '-PrincipalIdentity', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Printers', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Properties', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ProtectedFromAccidentalDeletion', '', '', '', '', '', '', '', '', '')"
"(""'"", '-RBCD', '', '', '', '', '', '', '', '', '')"
"(""'"", '-RecordAddress', '', '', '', '', '', '', '', '', '')"
"(""'"", '-RecordName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ResolveGPLink', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ResolveGUIDs', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ResolveIP', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ResolveSIDs', '', '', '', '', '', '', '', '', '')"
"(""'"", '-RightGUID', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Rights', '', '', '', '', '', '', '', '', '')"
"(""'"", '-SPN', '', '', '', '', '', '', '', '', '')"
"(""'"", '-SearchBase', '', '', '', '', '', '', '', '', '')"
"(""'"", '-SecurityIdentifier', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Select', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Server', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ShadowCred', '', '', '', '', '', '', '', '', '')"
"(""'"", '-SortBy', '', '', '', '', '', '', '', '', '')"
"(""'"", '-TableView', '', '', '', '', '', '', '', '', '')"
