									# 'Vulnerable': "",\n"".join([i+"" - ""+vulns[i] for i in vulns.keys()]),"
									# Parse Group Policy Preferences
									# Parse Registry Settings
									# Parse Security Settings (GptTmpl.inf)
									# Parse Startup/Shutdown Scripts
									#'Description': vulns['ESC1']
							# And answer 404 not found"
							# Let's try for the TGT and go from there
							# Match the value"
							# Return Multi-Status status code to WebDAV servers"
							# Serve image and return 200 if --serve-image option has been set by user"
						# Handle regular attributes with = or similar comparison operator
						# Let's grab our next target
						# Match comparison operator for regular attributes"
						# Match the comparison operator"
						# We have the next target, let's keep relaying..."
						# retrieve domain information from CCache file if needed
						# retrieve user information from CCache file if needed"
					   # No cache present
					# Check if there's an extensible match filter (OID with colons)"
					# Connection failed
					# Let's try for the TGT and go from there
					# Resolve Vulnerable (With resolvesids)"
					# Return a generator that yields each cached result
					# only import if used
					# which we don't want
				# Check if memberOf is in attributes
				# Check if objectSid is in attributes
				# Connect to SYSVOL share"
				# Handle attributes with potential extensible match
				# No cache present
				# Oid"
				# Parse Machine Configuration"
				# Parse User Configuration"
				# Process Machine Configuration"
				# Process User Configuration (similar structure to Machine Configuration)"
				# Resolve Vulnerable (Without resolvesids)"
				# Schema is in the root domain (take if from schemaNamingContext to be sure)
				# TODO: Return entries
				# The connection timed-out. Let's try to bring it back next round
				# avoid dupes"
				# check if domain is empty"
				# get enrollment rights"
				# havent support kerberos authentication yet
				# print(enrollment_flag)
				# resolve sid from delegateObj
				# retrieve domain information from CCache file if needed
				# retrieve user information from CCache file if needed"
				# setting back to default"
				#In case the value a Distinguished Name we retransform it into a list to append it"
				#In case the value is a Distinguished Name
				#template = template.entry_writable()
			#    continue
			#    dnshostname = _entries['attributes']['dnsHostName']
			#    dnshostname = _entries['attributes']['dnsHostName'][0]
			# Check if the command was parsed successfully"
			# Check if the module is specified"
			# Create new CustomExtendedOperationsRoot instance with updated settings"
			# Enabled
			# Execute the command using PowerView"
			# Get groups that user is member of"
			# Get the command from the request
			# Get user DN and search for nested groups in one LDAP query
			# Let's build a NegTokenInit with a Kerberos REQ_AP"
			# Make the result serializable"
			# Match the end of a group
			# Match the start of a group"
			# Parse the command arguments using PowerView's argument parser"
			# Parse the command using shlex"
			# Return the result along with pv_args"
			# Search for direct group memberships"
			# Search for user DN and nested groups in one query"
			# Update powerview args"
			# Vulnerable"
			# check for web enrollment
			# check if domain is empty"
			# check if value is a file"
			# open service handle
			# query for other cert template
			# resolve msDS-AllowedToActOnBehalfOfOtherIdentity
			# resolve msDS-AllowedToActOnBehalfOfOtherIdentity"
			# resolve msDS-GroupMSAMembership"
			# resolve sid"
			#dn_parser.dn_random_oid()
			#else:
			#if not dnshostname:
			#pprint(modified_dn)
			#pprint(parser.get_parsed_structure())
			#pprint(tokenized_filter)
		# (Section 5.5.1)
		# AP-REQ Authenticator (includes application authenticator
		# API server"
		# Convert bytes to string
		# Convert datetime to string
		# Create reverse mapping of name->value"
		# Creating Machine Account"
		# Define routes"
		# Done with the Kerberos saga, now let's get into LDAP"
		# Enabled + Vulnerable only"
		# Entries only
		# Enumerate available GUIDs"
		# Filter out unsupported arguments
		# First of all, we need to get a TGT for the user"
		# Get current user's SID from the LDAP connection"
		# Get issuance policies for each template"
		# Get the method's signature
		# Importing down here so pyasn1 is not required if kerberos is not used."
		# Kerberos"
		# Key Usage 11"
		# Let's extract the ticket from the TGS"
		# Now let's build the AP_REQ"
		# TODO: fix target when using kerberos"
		# TODO: try to fallback to TCP/139 if tcp/445 is closed"
		# Use args to set defaults if not provided directly
		# Use the provided searchbase or default to the root DN"
		# adding new folder policy folder in sysvol share"
		# adding new gplink"
		# addtype is A record = 1"
		# auth method"
		# check if domain is empty"
		# check if identity exists"
		# check if its really locked"
		# check if template exists"
		# check sign and cb is supported
		# create a new entry structure"
		# create certiciate template"
		# create changeowner object"
		# create oid
		# delete operation"
		# delete template from Certificate Templates
		# delete template oid"
		# delete template"
		# get source identity"
		# get the identity group information
		# in case need more then 1000 entries"
		# issue certificate"
		# look for users with SPN set
		# now time to modify"
		# parse datalib"
		# parsing gPLink attribute and remove selected gpo"
		# previous ldap filter, need to changed to filter based on objectClass instead because i couldn't get the trust account"
		# properly formatted for output"
		# query if Exchange Servers group exists"
		# relay option"
		# request TGS for each accounts"
		# resolve userAccountControl
		# return all self.powerview.args in json
		# set acl for the template"
		# set args to have rbcd attribute"
		# set the object new dn"
		# stolen from https://github.com/the-useless-one/pywerview/blob/master/pywerview/requester.py#L90"
		# then break it into string
		# unissue the template
		# verify if principalidentity exists"
		# verify if target identity exists
		# verify if the destination_dn exists"
		# verify if the identity exists"
		# verify if the ou exists"
		# verify that delegate identity exists"
		# verify that the gpidentity exists"
		# verify that the identity exists"
		# verify that the principalidentity exists"
		# verify that the target identity exists"
		# verify that the targetidentity exists"
		#In case the value is a Distinguished Name
		#ldap_filter = f'(&(samAccountType=805306368){identity_filter}{ldap_filter})'
		#resolve ip for principal dc
		#return self.ldap_session.entries
	# Add object SID if RID > 1000"
	# Add well-known SIDs first"
	# Find CA Templates"
	# Find CAs"
	# Find DNS Zone"
	# Get DNS Record"
	# Get SCCM"
	# Get-DomainGMSA"
	# Get-DomainRBCD"
	# OU"
	# TODO: FIX kerberos auth
	# TODO: FIX kerberos auth"
	# add ca certificate template"
	# add dns record"
	# add domain ca template acl"
	# add domain computer"
	# add domain gpo"
	# add domain group members"
	# add domain group"
	# add domain object acl"
	# add domain ou"
	# add domain user"
	# check for mutually exclusive"
	# convert from sid"
	# convert from uac value"
	# disable dns record"
	# foreigngroupmember"
	# foreignuser"
	# from https://github.com/venaxyt/fade
	# get exchange server"
	# get named pipes"
	# get-localuser"
	# get-netloggedon"
	# get-netservice"
	# get-netsession"
	# get-regloggedon"
	# gposettings"
	# invoke kerberoast"
	# new gp link"
	# remove dns record"
	# remove domain computer"
	# remove domain group members"
	# remove domain object acl"
	# remove domain object"
	# remove domain ou"
	# remove domain user"
	# set dns record"
	# set domain ca template properties"
	# set domain computer password"
	# set domain object distinguishednam"
	# set domain object owner"
	# set domain object properties"
	# set domain rbcd"
	# set domain user password"
	# shares"
	# stole from PetitPotam.py"
	# stolen from pywerview"
	# unlock_adaccount"
	#clear cache"
	#computers"
	#domain
	#domain controller"
	#domainobject"
	#domainobjectacl"
	#domainobjectowner"
	#gpo local group / restricted groups"
	#gpo"
	#group"
	#groupmember"
	#return s.getServerName()
	#trust"
	#user"

    
                            # Check dictionary in a list
                            # Could be a different OU where we have access
                            # LOG.debug('Skipping WRITE_DACL since it has an ObjectType set')
                            # We can add members to a group
                            # store it until we find a better place
                        # We can modify the domain Dacl
                        # We might face this if the target does not support AES 
                        # the password to lm/nt hashes and hope for the best. If that's already
                    #        delegation = 'constrained'
                    #        delegation = 'unconstrained'
                    #    elif int(userAccountControl) & UF_TRUSTED_TO_AUTHENTICATE_FOR_DELEGATION:
                    #    if int(userAccountControl) & UF_TRUSTED_FOR_DELEGATION:
                    #    userAccountControl = str(value[0])
                    # Check dictionary in a list
                    # Check if this applies to our objecttype
                    # Generic all
                    # Let's try for the TGT and go from there
                    # Perform the ACL attack
                    # Verify if the ACE applies to this object type
                    # We might face this if the target does not support AES 
                    # the password to lm/nt hashes and hope for the best. If that's already
                    #elif str(attribute) == 'userAccountControl':
                #   - ACE flags
                #   - ACE type
                #   - Access masks
                #   - IdentifierAuthority value
                #   - Revision
                #   - SubAuthority
                #   - SubAuthorityCount
                # Check for forced encryption"
                # Check for non-extended rights that may not apply to us
                # Check if the ACE has restrictions on object type (inherited case)"
                # Create a nice shiny new user for the escalation
                # Extract the Trustee SID (the object that has the right over the DACL bearer)
                # Extracts the ACE flag values and the trusted SID
                # Extracts the InheritedObjectType GUID values
                # Extracts the ObjectType GUID values
                # Extracts the mask values. These values will indicate the ObjectType purpose
                # Let's get unique user names and a SPN to request a TGS for
                # No cache present
                # Parse Access Mask Flags
                # Parse InheritedObjectType GUID"
                # Parse Object Flags"
                # Parse ObjectType GUID"
                # Parse Trustee SID"
                # Perform the ACL attack
                # Perform the Group attack
                # Start listening and launch interactive shell.
                # Unless that account does not exist of course
                # We can escalate an existing user
                # We don't care about exceptions here as we already have the required
                # We don't have the privileges to read this security descriptor
                # We have a result - exit the loop
                # convert hex to binary"
                # enable options based on binary (left to right)"
                # information. This also works around the current SMB3 bug
                # retrieve domain information from CCache file if needed
                # retrieve user information from CCache file if needed"
            #     continue
            # Adding computers requires LDAPS
            # Adding users requires LDAPS
            # Computer well-known GUID
            # Create DACL manually
            # Default computer SPNs"
            # Do this before the dump is complete because of the time this can take
            # Does it apply to the correct property?
            # Does it have the correct mask?
            # ESC1
            # ESC13"
            # ESC15"
            # ESC2"
            # ESC3"
            # ESC9"
            # Extracts the access mask (by parsing the simple permissions) and the principal's SID
            # For object-specific ACE"
            # For standard ACE"
            # Found! Remove
            # If the ACE is not an access allowed
            # Ignore templates requiring manager approval"
            # Is it the correct ACE type?
            # Is it the correct SID?
            # Iterate over all the ACEs
            # Launch locally listening interactive shell.
            # Let's build a NegTokenInit with a Kerberos REQ_AP"
            # Mostly taken from github.com/ly4k/Certipy/certipy/security.py
            # No EKU = works for client authentication"
            # Not found
            # Parse ACE Flags"
            # Query the SD again to see what AD made of it"
            # Random computername
            # Random password
            # Retrieves ACE's flags
            # Return the DN"
            # Return the SAM name
            # TODO: Fix Logic here
            # TODO: add another user_can_enroll logic
            # This method exists only for selected protocol sequences.
            # This would need XML parsing for various preference types
            # This would need a proper PReg file parser
            # We are still here -> this is the correct ACE
            # https://social.technet.microsoft.com/Forums/windowsserver/en-US/d028952f-a25a-42e6-99c5-28beae2d3ac3/how-can-i-know-the-default-computer-container?forum=winservergen
            # if sid in list(WELL_KNOWN_SIDS.keys()):
            #accesstype = ldaptypes.ACCESS_ALLOWED_OBJECT_ACE.ADS_RIGHT_DS_CONTROL_ACCESS
            #self.targetidentity_sid = format_sid(args.targetidentity_sid)
        #
        #                else:
        #               OCTET Checksum[16];
        #               OCTET Confounder[8];
        #            pass
        #        # resolve userAccountControl"
        #        else:
        #        except:
        #        try:
        #       OCTET Data[0];
        #       struct HEADER {
        #       } Header;
        #    LOG.error(f'{self.args.targetidentity} not found in domain. Ensure to use valid object distinguishedName property')
        #    pass
        #    return
        # (Section 5.5.1)
        # AP-REQ Authenticator (includes application authenticator
        # According to RFC4757 (RC4-HMAC) the cipher part is like:"
        # Add EXTENDED_RIGHTS_MAP (key: guid, value: name)"
        # Add a new computer if that is requested"
        # Add guids_map_dict if provided
        # Add reverse mapping from EXTENDED_RIGHTS_NAME_MAP (key: guid, value: name)"
        # Add the group sid of the primary group to the list
        # Also get the privileges on the default Users container
        # Also search by primarygroupid
        # And now the rows"
        # Append the ACEs in the DACL locally
        # Attempts to retrieve the principal's SID if it's a write action
        # Backups current DACL before add the new one
        # Change the output directory to configured rootdir"
        # Combine the GUID maps"
        # Create a resolver object
        # Create new dumper object"
        # Create reverse mapping for lookups by name"
        # Create the baseDN"
        # Default computer SPNs"
        # Done with the Kerberos saga, now let's get into LDAP"
        # Dump LAPS Passwords"
        # ESC4"
        # Effectively push the DACL with the new ACE
        # Encrypt the shyte"
        # Find the user's DN
        # First get domain SID
        # First of all, we need to get a TGT for the user"
        # For display only
        # For the final dot
        # Get a TGT for the current user
        # Get target computer DN"
        # Get the domain we are in"
        # If at least one ACE must been removed
        # If specified validate the user's privileges. This might take a while on large domains but will"
        # If validation of privileges is not desired, we assumed that the user has permissions to escalate"
        # If we can't ACL escalate, try adding us to a privileged group"
        # Importing down here so pyasn1 is not required if kerberos is not used."
        # In order to maximize the probability of getting session tickets with RC4 etype, we will convert the"
        # Interesting groups we'd like to be a member of, in order of preference"
        # Is our host an IP? In that case make sure the server IP is used
        # Kerberos"
        # Key Usage 1"
        # Key Usage 11"
        # Last attack, dump the domain if no special privileges are present"
        # Let's build the timestamp"
        # Let's extract the ticket from the TGS"
        # Now add the user as a member to this group
        # Now let's build the AP_REQ"
        # Now prepare the new AS_REQ again with the PADATA"
        # Now search for this group by SID
