"('2024-02-13.', '', '-13')"
"('99a5f60756.', '', '')"
"('ACEType.', '', '')"
"('ARC4.', '', '')"
"('AccessMask.', '', '')"
"('Alpine.', '', '')"
"('Array.', '', '')"
"('CCache.', '', '')"
"('COMMANDS.', '', '')"
"('CSFalconContainer.', '', '')"
"('CSFalconService.', '', '')"
"('CertificateAuthority.', '', '')"
"('Cryptodome.', '', '')"
"('DFIScanner.', '', '')"
"('Delete.', '', '')"
"('DeleteChild.', '', '')"
"('DeleteTree.', '', '')"
"('DeviceId.', '', '')"
"('Encoding.', '', '')"
"('FLAG.', '', '')"
"('FORMATS.', '', '')"
"('FullControl.', '', '')"
"('GMSA.', '', '')"
"('GPO.', '', '')"
"('GPT.', '', '')"
"('GptTmpl.', '', '')"
"('HTTPRelayServer.', '', '')"
"('IP.', '', '')"
"('JSON.', '', '')"
"('LDAP.', '', '')"
"('LOG.', '', '')"
"('LdapObfuscate.', '', '')"
"('MD4.', '', '')"
"('Object.', '', '')"
"('Operators.', '', '')"
"('PERM.', '', '')"
"('PetitPotam.', '', '')"
"('PowerView.', '', '')"
"('Powerview.', '', '')"
"('Promise.', '', '')"
"('README.', '', '')"
"('Registry.', '', '')"
"('ResetPassword.', '', '')"
"('SPNs.', '', '')"
"('SecurityIdentifier.', '', '')"
"('SentinelAgent.', '', '')"
"('SentinelStaticEngine.', '', '')"
"('String.', '', '')"
"('Structure.', '', '')"
"('Vulnerable.', '', '')"
"('WriteMembers.', '', '')"
"('a.', '', '')"
"('abc.', '', '')"
"('ace.', '', '')"
"('aces.', '', '')"
"('acl.', '', '')"
"('actionTd.', '', '')"
"('actionTh.', '', '')"
"('actions.', '', '')"
"('activeFilters.', '', '')"
"('activePanel.', '', '')"
"('activeTabButton.', '', '')"
"('adcs.', '', '')"
"('addButton.', '', '')"
"('addGroupButton.', '', '')"
"('addUserButton.', '', '')"
"('addUserToGroupButton.', '', '')"
"('addr.', '', '')"
"('addressCell.', '', '')"
"('addressElement.', '', '')"
"('addressHeader.', '', '')"
"('adminUsers.', '', '')"
"('adminUsersResponse.', '', '')"
"('administrator.', '', '')"
"('admins.', '', '')"
"('alert.', '', '')"
"('alertBox.', '', '')"
"('alertMessage.', '', '')"
"('alerts.', '', '')"
"('allData.', '', '')"
"('allOUs.', '', '')"
"('android-chrome-192x192.', '', '-192x192')"
"('android-chrome-512x512.', '', '-512x512')"
"('answer.', '', '')"
"('answers.', '', '')"
"('antitracker.', '', '')"
"('api.', '', '')"
"('app.', '', '')"
"('appendInput.', '', '')"
"('appendWrapper.', '', '')"
"('apple-touch-icon.', '', '-icon')"
