"(""{% include 'base/searchbar.html' %} -->\n"", '\n')"
"('<div class=""flex items-center justify-between gap-2 p-4 border-b"">\n', '\n')"
"('Active filters will be shown here -->\n', '\n')"
"('Add Computer Modal -->\n', '\n')"
"('Add DNS Record Modal -->\n', '\n')"
"('Add Filter Buttons -->\n', '\n')"
"('Add Filter Input -->\n', '\n')"
"('Add Filter Section -->\n', '\n')"
"('Add Group Member Modal -->\n', '\n')"
"('Add Group Modal -->\n', '\n')"
"('Add New Attribute Section -->\n', '\n')"
"('Add Object ACL Modal -->\n', '\n')"
"('Add User Modal -->\n', '\n')"
"('Add this after the Descendants tab panel -->\n', '\n')"
"('Administrative Rights -->\n', '\n')"
"('Alpine Core -->\n', '\n')"
"('Alpine Plugins -->\n', '\n')"
"('Attribute entries will be dynamically added here -->\n', '\n')"
"('Authentication Settings -->\n', '\n')"
"('Background Overlay -->\n', '\n')"
"('Basic Info -->\n', '\n')"
"('Builtin Queries Section (2/5 width) -->\n', '\n')"
"('CA Certificate Info -->\n', '\n')"
"('CA Servers Section -->\n', '\n')"
"('CA servers will be dynamically populated -->\n', '\n')"
"('Cache Toggle -->\n', '\n')"
"('Certificate Templates -->\n', '\n')"
"('Certificate Templates Section -->\n', '\n')"
"('Certificate templates will be dynamically populated -->\n', '\n')"
"('Command History -->\n', '\n')"
"('Content -->\n', '\n')"
"('Content will be dynamically populated -->\n', '\n')"
"('ConvertFrom_SID Panel -->\n', '\n')"
"('ConvertFrom_UAC Panel -->\n', '\n')"
"('Custom LDAP Filter Input -->\n', '\n')"
"('DACL rows will be dynamically populated -->\n', '\n')"
"('DNS Zones Section -->\n', '\n')"
"('DNS record details will be dynamically populated -->\n', '\n')"
"('Delegation Tab -->\n', '\n')"
"('Delegation content will be populated here -->\n', '\n')"
"('Delete Confirmation Modal -->\n', '\n')"
"('Descendants Tab -->\n', '\n')"
"('Details Content -->\n', '\n')"
"('Details Panel -->\n', '\n')"
"('Details Section -->\n', '\n')"
"('Domain Admins Section -->\n', '\n')"
"('Domain Controllers Card -->\n', '\n')"
"('Domain Info Card -->\n', '\n')"
"('Domain Overview Section -->\n', '\n')"
"('Domain Trust Card -->\n', '\n')"
"('Enrollment Rights -->\n', '\n')"
"('Error message placeholder -->\n', '\n')"
"('Existing Attributes Section -->\n', '\n')"
"('Existing Query Templates -->\n', '\n')"
"('Extended Key Usage -->\n', '\n')"
"('Filter Input (keeping original ID) -->\n', '\n')"
"('Filter Results -->\n', '\n')"
"('Filter Section -->\n', '\n')"
"('General content will be dynamically populated -->\n', '\n')"
"('Groups Panel -->\n', '\n')"
"('Groups Table Container -->\n', '\n')"
"('Groups will be dynamically populated -->\n', '\n')"
"('Header -->\n', '\n')"
"('Header with Actions -->\n', '\n')"
"('Header with buttons -->\n', '\n')"
"('Header with title and add button -->\n', '\n')"
"('Headers will be dynamically generated -->\n', '\n')"
"('Identity Filter -->\n', '\n')"
"('Identity Filter and Search Base -->\n', '\n')"
"('In modal.html, add this after the DACL tab panel -->\n', '\n')"
"('Info Tab -->\n', '\n')"
"('Info content will be populated here -->\n', '\n')"
"('Initial Loading Spinner -->\n', '\n')"
"('Initial content -->\n', '\n')"
"('LDAP Attributes Modal -->\n', '\n')"
"('Left Panel - Tree View -->\n', '\n')"
"('Left Panel -->\n', '\n')"
"('Linked GPO Tab -->\n', '\n')"
"('Log entries will be dynamically added here -->\n', '\n')"
"('Logon users will be dynamically populated -->\n', '\n')"
"('Machine Configuration -->\n', '\n')"
"('Main Panel -->\n', '\n')"
"('Main scrollable content -->\n', '\n')"
"('Member Of rows will be dynamically populated -->\n', '\n')"
"('Members Panel -->\n', '\n')"
"('Members Table Container -->\n', '\n')"
"('Members content will be dynamically populated -->\n', '\n')"
"('Members will be dynamically populated -->\n', '\n')"
"('Modal Body -->\n', '\n')"
"('Modal Footer -->\n', '\n')"
"('Modal Header -->\n', '\n')"
"('Modal body -->\n', '\n')"
"('Modal content -->\n', '\n')"
"('Modal header - fixed -->\n', '\n')"
"('Modal header -->\n', '\n')"
"('Obfuscate Toggle -->\n', '\n')"
"('Options will be dynamically populated -->\n', '\n')"
"('Overlay and Spinner for specific boxes -->\n', '\n')"
"('Profile Menu  -->\n', '\n')"
"('Properties will be dynamically added here -->\n', '\n')"
"('Property Filter (Left Side) -->\n', '\n')"
"('Property Selector -->\n', '\n')"
"('Property dropdown content -->\n', '\n')"
"('Query Templates (Right Side) -->\n', '\n')"
"('Record Names Section -->\n', '\n')"
"('Record names table will be dynamically populated -->\n', '\n')"
"('Regular Loading Spinner -->\n', '\n')"
"('Remove Group Member Modal -->\n', '\n')"
"('Removed spinner from here -->\n', '\n')"
"('Result placeholder -->\n', '\n')"
