"('1.', '', '')"
"('Args.', '', '')"
"('Cpp.', '', '')"
"('Default.', '', '')"
"('Errors.', '', '')"
"('Finder.', '', '')"
"('Helpers.', '', '')"
"('Logger.', '', '')"
"('Main.', '', '')"
"('Microsoft.', '', '')"
"('MyAutomationEventHandler.', '', '')"
"('MyAutomationEventHandlerApps.', '', '')"
"('MyPropertyChangedEventHandler.', '', '')"
"('MyPropertyChangedEventHandlerApps.', '', '')"
"('MyTreeWalker.', '', '')"
"('Spyndicapped.', '', '')"
"('automationThread.', '', '')"
"('chrome.', '', '')"
"('controlTypeIdMap.', '', '')"
"('data.', '', '')"
"('domain.', '', '')"
"('err.', '', '')"
"('eventIdMap.', '', '')"
"('eventIds.', '', '')"
"('explorer.', '', '')"
"('firefox.', '', '')"
"('fullPath.', '', '')"
"('github.', '', '')"
"('handlers.', '', '')"
"('input.', '', '')"
"('keepass.', '', '')"
"('medium.', '', '-8')"
"('microsoft.', '', '')"
"('oss.', '', '')"
"('output.', '', '')"
"('propertyChangedThread.', '', '')"
"('propertyIds.', '', '')"
"('ps.', '', '')"
"('rect.', '', '')"
"('slack.', '', '')"
"('user.', '', '')"
"('vAriaRoleValue.', '', '')"
"('vAutomationId.', '', '')"
"('vHelp.', '', '')"
"('vIAccessibleRoleValue.', '', '')"
"('vMsgValue.', '', '')"
"('vUrlBar.', '', '')"
"('vValue.', '', '')"
"('vVar.', '', '')"
"('vWindowName.', '', '')"
"('wc.', '', '')"
"('whatsapp.', '', '')"
"('wsFileName.', '', '')"
"('wsWindowName.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
