"Log(L""Arrived unknown event in HandleFirefox(). How to process that? :)"" + wsEventString, DBG"
"Log(L""Arrived unknown event in HandleOther(). How to process that? :)"" + wsEventString, DBG"
"Log(L""Can't create condition for password elements"", DBG"
"Log(L""Can't create database property condition"", DBG"
"Log(L""Can't create m_lvEntries property condition"", DBG"
"Log(L""Can't create property arrray"", WARNING"
"Log(L""Can't create property condition"", DBG"
"Log(L""Can't create true condition"", DBG"
"Log(L""Can't create true property condition"", DBG"
"Log(L""Can't find Database tree element"", DBG"
"Log(L""Can't find msg receiver gui element"", DBG"
"Log(L""Can't find navigation bar of firefox!"", DBG"
"Log(L""Can't find parent element"", DBG"
"Log(L""Can't find password list in keepass.exe"", DBG"
"Log(L""Can't find passwords in the list"", DBG"
"Log(L""Can't find selected db. May be we are in the root"", DBG"
"Log(L""Can't get current class name"", DBG"
"Log(L""Can't get current control type"", DBG"
"Log(L""Can't get db name"", DBG"
"Log(L""Can't get element from list in keepass.exe"", DBG"
"Log(L""Can't get help property value"", DBG"
"Log(L""Can't get localized control type"", DBG"
"Log(L""Can't get msg receiver name"", DBG"
"Log(L""Can't get name of the Web Slack Message field"", DBG"
"Log(L""Can't get pAutomation from g_pMyTreeWalker in HandleKeepass()"", DBG"
"Log(L""Can't get pAutomation from g_pMyTreeWalker()"", DBG"
"Log(L""Can't get property value"", WARNING"
"Log(L""Can't get url value"", WARNING"
"Log(L""Can't get value of the Web Slack Message field"", DBG"
"Log(L""Can't get window name value"", WARNING"
"Log(L""Can't get window name"", DBG"
"Log(L""Cant find GUI by pid!!!. Try to use --windowname"", WARNING"
"Log(L""Cant find GUI by windowname!!!. Try to use --pid"", WARNING"
"Log(L""Cant find HWND"", WARNING"
"Log(L""Cant find profile info"", DBG"
"Log(L""Cant get AriaRolePropertyId from WebWhatsappFF handler"", DBG"
"Log(L""Cant get LegacyIAccessibleRolePropertyId from WebWhatsappFF handler"", DBG"
"Log(L""Cant get msg contents"", DBG"
"Log(L""Cant get pAutomation from g_pMyTreeWalker"", DBG"
"Log(L""Cant get treewalker"", DBG"
"Log(L""CoCreateInstance() failed"", WARNING"
"Log(L""CoInitializeEx() failed"", WARNING"
"Log(L""Database: "" + std::wstring(bDbName), INFO"
"Log(L""Failed to add event handler for event ID: "" + std::to_wstring(eventIds[i]), WARNING"
"Log(L""Failed to add property changed event handler"" , WARNING"
"Log(L""Failed to create TreeWalker. pUIAutomation was NULL"", WARNING"
"Log(L""Failed to create TreeWalker."", WARNING"
"Log(L""Failed to find windows!"", WARNING"
"Log(L""Failed to get parent name"", DBG"
"Log(L""Failed to get parent."", WARNING"
"Log(L""FindWindows() success"", DBG"
"Log(L""Found "" + std::to_wstring(count) + L"" stored passwords"", INFO"
"Log(L""Found active windows: "" + std::to_wstring(length), INFO"
"Log(L""HandleExplorer() Invoked"", DBG"
"Log(L""HandleFirefox() Invoked"", DBG"
"Log(L""HandleKeepass() in Property Invoked"", DBG"
"Log(L""HandleOther() Invoked"", DBG"
"Log(L""HandleOther() in Property Invoked"", DBG"
"Log(L""IUIAutomation creating success"", DBG"
"Log(L""IUIAutomation->CreateTrueCondition() success"", DBG"
"Log(L""IUIAutomation->GetRootElement() creating success"", DBG"
"Log(L""Monitoring from root"", INFO"
"Log(L""MyAutomationEventHandler::HandleAutomationEvent() invalid PID Received"", DBG"
"Log(L""MyAutomationEventHandler::HandleAutomationEvent() invalid wsProcName Received"", DBG"
"Log(L""New property event from "" + wsProcName + L"" Time: "" + wsDate, DBG"
"Log(L""New uia event "" + wsEventString + L"" from "" + wsProcName + L"" Time: "" + wsDate, DBG"
"Log(L""Property changed"", DBG"
"Log(L""See everything into the log files"", INFO"
"Log(L""Spying "" + std::to_wstring(pid), DBG"
"Log(L""Spying "" + std::wstring(windowName), DBG"
"Log(L""Started spying using MyAutomationEventHandler"", INFO"
"Log(L""Started spying using MyPropertyChangedEventHandler"", INFO"
"Log(L""Successfully find Copy Password field!"", DBG"
"Log(L""Todo :))"", INFO"
"Log(L""Too fast events..."", DBG"
"Log(L""URL: "" + wsUrl, DBG"
"Log(L""Window Name for MyAutomationEventHandler(): "" + wname, INFO"
"Log(L""Window Name for MyPropertyChangedEventHandler(): "" + wname, INFO"
"Log(L""[-] Err msg: "" + std::wstring(errMsg), WARNING"
"Log(L""pAutomation->CreatePropertyCondition() failed"", WARNING"
"Log(L""pAutomation->CreateTrueCondition() failed"", WARNING"
"Log(L""pAutomation->FindAll() failed"", WARNING"
"Log(L""pAutomation->GetRootElement() failed"", WARNING"
"Log(L""pChildEl->GetCurrentPropertyValue(PID) failed"", DBG"
"Log(L""pChildEl->get_CurrentName() failed"", DBG"
"Log(L""pElementsArray->GetElement() failed"", DBG"
"Log(L""pRootElement->FindAll() failed"", WARNING"
"Log(L""pWalker was null"", WARNING"
