"('', '', 'debug')"
"('', '', 'error')"
"('', '', 'info')"
"('', '', 'warning')"
"('Bad attribute header', '', '')"
"('Bad attribute length', '', '')"
"('Custom action added', '', '')"
"('DNS search domain: %s"" % data[0:attr_len].split(b\'\\x00', '', '')"
"('DNS server (IPv6)', '', '')"
"('File added to MSI', '', '')"
"('IPv6 split exclude', '', '')"
"('IPv6 split include', '', '')"
"('Internal IPv6 address', '', '')"
"('MSI version incremented', '', '')"
"('Processing Pulse main config data for server version < 9.1R14', '', '')"
"('Warning: Writing unmodified MSI as no changes were requested', '', '')"
"('attr_flag 0x2c00: known for Pulse version >= 9.1R14', '', '')"
"('attr_flag 0x2e00: known for Pulse version >= 9.1R16', '', '')"
"('unknown Pulse version', '', '')"
