"('0-py3-none-any.', '', '-any')"
"('04053-amp-webdeploy-k9.', '', '-k9')"
"('04053-core-vpn-webdeploy-k9.', '', '-k9')"
"('04053-dart-webdeploy-k9.', '', '-k9')"
"('04053-gina-webdeploy-k9.', '', '-k9')"
"('04053-iseposture-webdeploy-k9.', '', '-k9')"
"('04053-nam-webdeploy-k9.', '', '-k9')"
"('04053-nvm-webdeploy-k9.', '', '-k9')"
"('04053-posture-webdeploy-k9.', '', '-k9')"
"('04053-umbrella-webdeploy-k9.', '', '-k9')"
"('202024.', '', '')"
"('404.', '', '')"
"('7-50sv.', '', '-50sv')"
"('AnyConnectProfile.', '', '')"
"('CTSP.', '', '')"
"('Component.', '', '')"
"('Crypto.', '', '')"
"('CustomAction.', '', '')"
"('ET.', '', '')"
"('Encoding.', '', '')"
"('Feature.', '', '')"
"('FeatureComponents.', '', '')"
"('File.', '', '')"
"('GlobalProtect.', '', '')"
"('GlobalProtect64.', '', '')"
"('ISEPosture.', '', '')"
"('ISEPostureCFG.', '', '')"
"('License-MIT-yellow.', '', '-yellow')"
"('MANIFEST.', '', '')"
"('Math.', '', '')"
"('Media.', '', '')"
"('NACAgent.', '', '')"
"('NEGui.', '', '')"
"('NELaunchX1.', '', '')"
"('NXSetupU.', '', '')"
"('NachoVPN.', '', '')"
"('OnConnect.', '', '')"
"('OnDisconnect.', '', '')"
"('OrgInfo.', '', '')"
"('PacketType.', '', '')"
"('PrivateFormat.', '', '')"
"('Property.', '', '')"
"('SHA.', '', '')"
"('VirtualOffice.', '', '')"
"('VpnMgmtTunProfile.', '', '')"
"('WScript.', '', '')"
"('agent.', '', '')"
"('amazonaws.', '', '')"
"('amazonaws.', '', '-client')"
"('amberwolf.', '', '')"
"('apple.', '', '')"
"('arc.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('attrs.', '', '')"
"('avp.', '', '')"
"('badge.', '', '')"
"('base.', '', '')"
"('blackhat.', '', '')"
"('browser.', '', '')"
"('buf.', '', '')"
"('build-docker.', '', '-docker')"
"('builder.', '', '')"
"('bytes.', '', '')"
"('c.', '', '')"
"('ca.', '', '')"
"('calc.', '', '')"
"('cert.', '', '')"
"('cisco.', '', '')"
"('client.', '', '')"
"('cmd.', '', '')"
"('codesign.', '', '')"
"('conf.', '', '')"
"('config.', '', '')"
"('configuration.', '', '')"
"('conn.', '', '')"
"('connection.', '', '')"
"('cookie.', '', '')"
"('cookieString.', '', '')"
"('core.', '', '')"
"('csv.', '', '')"
"('cursor.', '', '')"
"('d.', '', '')"
"('data.', '', '')"
"('database.', '', '')"
"('datetime.', '', '')"
"('db.', '', '')"
"('docker-compose.', '', '-compose')"
"('document.', '', '')"
"('domain.', '', '')"
"('e.', '', '')"
"('entrypoint.', '', '')"
"('etree.', '', '')"
"('example.', '', '')"
"('exe.', '', '')"
"('f.', '', '')"
"('favicon.', '', '')"
"('form.', '', '')"
"('fullchain.', '', '')"
"('generator.', '', '')"
"('getconfig.', '', '')"
"('getmsi.', '', '')"
"('ghcr.', '', '')"
"('github.', '', '')"
"('handler.', '', '')"
"('hazmat.', '', '')"
"('headers.', '', '')"
"('history.', '', '')"
"('html.', '', '')"
"('http.', '', '')"
"('ietf.', '', '')"
"('infradead.', '', '')"
"('inspect.', '', '')"
"('io.', '', '')"
"('ip.', '', '')"
"('isCAArray.', '', '')"
"('json.', '', '')"
"('juniper.', '', '')"
"('keyword.', '', '')"
"('launchextender.', '', '')"
"('launchplatform.', '', '')"
"('layers.', '', '')"
"('localStorage.', '', '')"
"('location.', '', '')"
"('logger.', '', '')"
"('logging.', '', '')"
"('login.', '', '')"
"('loginButton.', '', '')"
"('logo.', '', '')"
"('logout.', '', '')"
"('loose.', '', '')"
"('magic.', '', '')"
"('msilib.', '', '')"
"('nachovpn.', '', '')"
"('name.', '', '')"
"('nccgroup.', '', '')"
"('neaxw1.', '', '')"
"('neaxw2.', '', '')"
"('neaxw3.', '', '')"
"('nextFunc.', '', '')"
"('oDoc.', '', '')"
"('oShell.', '', '')"
"('obj.', '', '')"
"('os.', '', '')"
"('packet.', '', '')"
"('paloalto-apple.', '', '-apple')"
"('paloalto-codesign.', '', '-codesign')"
"('paloalto.', '', '')"
"('parse.', '', '')"
"('parser.', '', '')"
"('password.', '', '')"
"('path.', '', '')"
"('pi.', '', '')"
"('plugin.', '', '')"
"('plugins.', '', '')"
"('prelogin.', '', '')"
"('primitives.', '', '')"
"('privkey.', '', '')"
"('proc.', '', '')"
"('processInfo.', '', '')"
"('profile.', '', '')"
"('proxyNextFunction.', '', '')"
"('pulse.', '', '')"
"('pwresponse.', '', '')"
"('random.', '', '')"
"('re.', '', '')"
"('reader.', '', '')"
"('reboot.', '', '')"
"('rec.', '', '')"
"('record.', '', '')"
"('request.', '', '')"
"('requests.', '', '')"
"('requirements.', '', '')"
"('resp.', '', '')"
"('response.', '', '')"
"('result.', '', '')"
"('rfile.', '', '')"
"('root.', '', '')"
"('scapy.', '', '')"
"('self.', '', '')"
"('seq.', '', '')"
"('serialization.', '', '')"
"('server-dns.', '', '-dns')"
"('server-ip.', '', '-ip')"
"('server.', '', '')"
"('setup.', '', '')"
"('shields.', '', '')"
"('shim.', '', '')"
"('shutil.', '', '')"
"('si.', '', '')"
"('socket.', '', '')"
"('socketserver.', '', '')"
"('sonicwall.', '', '')"
"('sqlite3.', '', '')"
"('ssl-tunnel-connect.', '', '-connect')"
"('ssl.', '', '')"
"('sslsocket.', '', '')"
"('sslvpn-login.', '', '-login')"
"('sslvpn-prelogin.', '', '-prelogin')"
"('stdout.', '', '')"
"('string.', '', '')"
"('struct.', '', '')"
"('style.', '', '')"
"('subprocess.', '', '')"
"('sys.', '', '')"
"('system.', '', '')"
"('tempfile.', '', '')"
"('template.', '', '')"
"('theDiv.', '', '')"
"('this.', '', '')"
"('threading.', '', '')"
"('timezone.', '', '')"
"('tp.', '', '')"
"('trustedcomputinggroup.', '', '')"
"('urllib.', '', '')"
"('us-19-Tsai-Infiltrating-Corporate-Intranet-Like-NSA.', '', '-NSA')"
"('userAgent.', '', '')"
"('userenv.', '', '')"
"('username.', '', '')"
"('value.', '', '')"
"('verifyCert.', '', '')"
"('version.', '', '')"
"('view.', '', '')"
"('vimeo.', '', '')"
"('w3.', '', '')"
"('warnings.', '', '')"
"('welcome.', '', '')"
"('wfile.', '', '')"
"('window.', '', '')"
"('woot.', '', '')"
"('writer.', '', '')"
"('wtsapi32.', '', '')"
"('wxacneg.', '', '')"
"('x509.', '', '')"
"('xml.', '', '')"
"('xmlsoap.', '', '')"
"('youtube.', '', '')"
"('zlib.', '', '')"
