"(""'"", '--add-file', '', '', '', '', '', '', '', '', '')"
"(""'"", '--feature', '', '', '', '', '', '', '', '', '')"
"(""'"", '--increment', '', '', '', '', '', '', '', '', '')"
"(""'"", '-c', '', '', '', '', '', '', '', '', '')"
"(""'"", '-f', '', '', '', '', '', '', '', '', '')"
"(""'"", '-i', '', '', '', '', '', '', '', '', '')"
"(""'"", '-o', '', '', '', '', '', '', '', '', '')"
"('""', '--ca-cert', '', '', '', '', '', '', '', '', '')"
"('""', '-a', '', '', '', '', '', '', '', '', '')"
"('""', '-c', '', '', '', '', '', '', '', '', '')"
"('""', '-k', '', '', '', '', '', '', '', '', '')"
"('""', '-n', '', '', '', '', '', '', '', '', '')"
"('""', '-o', '', '', '', '', '', '', '', '', '')"
"('""', '-v', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', "" 'plugin_name', 'Default')"", ')', '')"
"('', '', '', '', '', '', '', '', '', '', ""get('version') "")"
"('', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', 'if', 'add_file and patcher.add_file(args.output, args.add_file, random_hash(), args.feature)', '', '', '', '', '')"
"('', '', '', '', 'if', 'command', '', '', '', '', '')"
"('', '', '', '', 'if', 'force', '', '', '', '', '')"
"('', '', '', '', 'if', 'increment', '', '', '', '', '')"
"('', '', '', '', 'if', 'name', '', '', '', '', '')"
"('', '', '', '', 'if', 'version', '', '', '', '', '')"
"('', '', '', '', 'not', 'add_file and not args.command and not args.increment', '', '', '', '', '')"
"('', '', '', '', 'or', 'force)', '', '', '', '', '')"
