"('0', '0', '0', '0')"
"('1', '1', '1', '1')"
"('1', '2', '3', '4')"
"('1', '3', '6', '1')"
"('10', '0', '0', '0')"
"('10', '0', '1', '4')"
"('10', '0', '150', '1')"
"('10', '10', '1', '1')"
"('10', '2', '1', '7')"
"('10', '200', '200', '200')"
"('127', '0', '0', '1')"
"('172', '17', '96', '1')"
"('192', '168', '0', '0')"
"('192', '168', '1', '157')"
"('192', '168', '200', '0')"
"('192', '168', '200', '100')"
"('192', '168', '200', '200')"
"('192', '168', '255', '255')"
"('192', '168', '49', '159')"
"('192', '168', '59', '0')"
"('192', '168', '59', '128')"
"('192', '168', '69', '45')"
"('192', '168', '99', '1')"
"('192', '168', '99', '122')"
"('255', '0', '0', '0')"
"('255', '255', '255', '0')"
"('255', '255', '255', '255')"
"('35', '100', '4', '13')"
"('35', '100', '6', '1')"
"('5', '5', '7', '3')"
"('64', '10', '2', '1')"
"('8', '8', '8', '8')"
