"('', '', '', 'from .plugin import CiscoPlugin')"
"('', '', '', 'from .plugin import SonicWallPlugin')"
"('', 'Crypto.Hash', 'SHA', '')"
"('', 'Crypto.PublicKey', 'RSA', '')"
"('', 'Crypto.Signature', 'PKCS1_v1_5', '')"
"('', 'cabarchive', 'CabArchive', '')"
"('', 'cryptography', 'x509', '')"
"('', 'cryptography.hazmat.backends', 'default_backend', '')"
"('', 'cryptography.hazmat.primitives', 'hashes', '')"
"('', 'cryptography.hazmat.primitives', 'serialization', '')"
"('', 'cryptography.hazmat.primitives.asymmetric', 'rsa', '')"
"('', 'cryptography.x509.oid', 'ExtendedKeyUsageOID', '')"
"('', 'cryptography.x509.oid', 'NameOID', '')"
"('', 'datetime', 'datetime', '')"
"('', 'flask', 'Flask', '')"
"('', 'flask', 'Response', '')"
"('', 'http.server', 'BaseHTTPRequestHandler', '')"
"('', 'io', 'BytesIO', '')"
"('', 'jinja2', 'Environment', '')"
"('', 'jinja2', 'Template', '')"
"('', 'nachovpn.core.cert_manager', 'CertManager', '')"
"('', 'nachovpn.core.db_manager', 'DBManager', '')"
"('', 'nachovpn.core.plugin_manager', 'PluginManager', '')"
"('', 'nachovpn.core.request_handler', 'VPNStreamRequestHandler', '')"
"('', 'nachovpn.core.utils', 'PacketHandler', '')"
"('', 'nachovpn.plugins', 'VPNPlugin', '')"
"('', 'nachovpn.plugins.base.plugin', 'VPNPlugin', '')"
"('', 'nachovpn.plugins.cisco.plugin', 'CiscoPlugin', '')"
"('', 'nachovpn.plugins.example.plugin', 'ExamplePlugin', '')"
"('', 'nachovpn.plugins.paloalto.msi_patcher', 'get_msi_patcher', '')"
"('', 'nachovpn.plugins.paloalto.pkg_generator', 'generate_pkg', '')"
"('', 'nachovpn.plugins.paloalto.plugin', 'PaloAltoPlugin', '')"
"('', 'nachovpn.plugins.pulse.config_generator', 'VPNConfigGenerator', '')"
"('', 'nachovpn.plugins.pulse.plugin', 'PulseSecurePlugin', '')"
"('', 'nachovpn.plugins.sonicwall.plugin', 'SonicWallPlugin', '')"
"('', 'scapy.all', 'IP', '')"
"('', 'setuptools', 'setup', '')"
"('argparse', '', '', '')"
"('base64', '', '', '')"
"('certifi', '', '', '')"
"('csv', '', '', '')"
"('datetime', '', '', '')"
"('hashlib', '', '', '')"
"('inspect', '', '', '')"
"('io', '', '', '')"
"('ipaddress', '', '', '')"
"('json', '', '', '')"
"('logging', '', '', '')"
"('msilib', '', '', '')"
"('nachovpn.plugins', '', '', '')"
"('os', '', '', '')"
"('random', '', '', '')"
"('re', '', '', '')"
"('requests', '', '', '')"
"('shutil', '', '', '')"
"('socket', '', '', '')"
"('socketserver', '', '', '')"
"('sqlite3', '', '', '')"
"('ssl', '', '', '')"
"('string', '', '', '')"
"('struct', '', '', '')"
"('subprocess', '', '', '')"
"('sys', '', '', '')"
"('tempfile', '', '', '')"
"('threading', '', '', '')"
"('traceback', '', '', '')"
"('urllib.parse', '', '', '')"
"('uuid', '', '', '')"
"('warnings', '', '', '')"
"('xml.etree.ElementTree', '', '', '')"
"('zlib', '', '', '')"
