"('http://', 'ht', '', '/doc/2006-03-01', '/', 'doc/2006-03-01')"
"('http://', 'ht', '', '/encoding', '/', 'encoding')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/1024773668', '/', '1024773668')"
"('https://', 'ht', 's', '/1024773762', '/', '1024773762')"
"('https://', 'ht', 's', '/1024773914', '/', '1024773914')"
"('https://', 'ht', 's', '/1024773956', '/', '1024773956')"
"('https://', 'ht', 's', '/1024773987', '/', '1024773987')"
"('https://', 'ht', 's', '/1024774239', '/', '1024774239')"
"('https://', 'ht', 's', '/1024774407', '/', '1024774407')"
"('https://', 'ht', 's', '/AmberWolfCyber/NachoVPN', '/', 'AmberWolfCyber/NachoVPN')"
"('https://', 'ht', 's', '/AmberWolfCyber/NachoVPN.git', '/', 'AmberWolfCyber/NachoVPN.git')"
"('https://', 'ht', 's', '/AmberWolfCyber/NachoVPN/actions/workflows', '/', 'AmberWolfCyber/NachoVPN/actions/workflows')"
"('https://', 'ht', 's', '/AmberWolfCyber/NachoVPN/actions/workflows/build-docker.yml/badge.svg', '/', 'AmberWolfCyber/NachoVPN/actions/workflows/build-docker.yml/badge.svg')"
"('https://', 'ht', 's', '/AmberWolfCyber/presentations/blob/main/2024/Very%20Pwnable%20Networks%20-%20HackFest%20Hollywood%202024.pdf', '/', 'AmberWolfCyber/presentations/blob/main/2024/Very%20Pwnable%20Networks%20-%20HackFest%20Hollywood%202024.pdf')"
"('https://', 'ht', 's', '/USA-19/Wednesday/us-19-Tsai-Infiltrating-Corporate-Intranet-Like-NSA.pdf', '/', 'USA-19/Wednesday/us-19-Tsai-Infiltrating-Corporate-Intranet-Like-NSA.pdf')"
"('https://', 'ht', 's', '/badge/License-MIT-yellow.svg', '/', 'badge/License-MIT-yellow.svg')"
"('https://', 'ht', 's', '/blog/2024/november/introducing-nachovpn---one-vpn-server-to-pwn-them-all', '/', 'blog/2024/november/introducing-nachovpn---one-vpn-server-to-pwn-them-all')"
"('https://', 'ht', 's', '/blog/2024/november/palo-alto-globalprotect---code-execution-and-privilege-escalation-via-malicious-vpn-server-cve-2024-5921', '/', 'blog/2024/november/palo-alto-globalprotect---code-execution-and-privilege-escalation-via-malicious-vpn-server-cve-2024-5921')"
"('https://', 'ht', 's', '/blog/2024/november/sonicwall-netextender-for-windows---rce-as-system-via-epc-client-update-cve-2024-29014', '/', 'blog/2024/november/sonicwall-netextender-for-windows---rce-as-system-via-epc-client-update-cve-2024-29014')"
"('https://', 'ht', 's', '/doc/html/draft-mavrogiannopoulos-openconnect-02', '/', 'doc/html/draft-mavrogiannopoulos-openconnect-02')"
"('https://', 'ht', 's', '/openconnect/openconnect/blob/master/pulse.c', '/', 'openconnect/openconnect/blob/master/pulse.c')"
"('https://', 'ht', 's', '/wp-content/uploads/TNC_IFT_TLS_v2_0_r8.pdf', '/', 'wp-content/uploads/TNC_IFT_TLS_v2_0_r8.pdf')"
"('www.', 'ht', '', '/2000/09/xmldsig', '/', '2000/09/xmldsig')"
"('www.', 'ht', '', '/2001/XMLSchema-instance', '/', '2001/XMLSchema-instance')"
"('www.', 'ht', '', '/TR/html4/loose.dtd', '/', 'TR/html4/loose.dtd')"
"('www.', 'ht', 's', '/openconnect', '/', 'openconnect')"
"('www.', 'ht', 's', '/openconnect/juniper.html', '/', 'openconnect/juniper.html')"
"('www.', 'ht', 's', '/openconnect/pulse.html', '/', 'openconnect/pulse.html')"
"('www.', 'ht', 's', '/presentations/bh-usa-08/Zusman/BH_US_08_Zusman_SSL_VPN_Abuse.pdf', '/', 'presentations/bh-usa-08/Zusman/BH_US_08_Zusman_SSL_VPN_Abuse.pdf')"
"('www.', 'ht', 's', '/uk/research-blog/making-new-connections-leveraging-cisco-anyconnect-client-to-drop-and-run-payloads', '/', 'uk/research-blog/making-new-connections-leveraging-cisco-anyconnect-client-to-drop-and-run-payloads')"
"('www.', 'ht', 's', '/watch?v=-MZfkmcZRVg', '/', 'watch?v=-MZfkmcZRVg')"
