"('CharSet.', '', '')"
"('Collections.', '', '')"
"('Console.', '', '')"
"('Environment.', '', '')"
"('Int32.', '', '')"
"('IntPtr.', '', '')"
"('LayoutKind.', '', '')"
"('LocalMachine.', '', '')"
"('Marshal.', '', '')"
"('Message.', '', '')"
"('PrincipalPolicy.', '', '')"
"('Process.', '', '')"
"('RegistryValueKind.', '', '')"
"('Runtime.', '', '')"
"('Security.', '', '')"
"('SessionId.', '', '')"
"('SharpRDPHijack.', '', '')"
"('StringSplitOptions.', '', '')"
"('System.', '', '')"
"('Thread.', '', '')"
"('UnmanagedType.', '', '')"
"('Win32.', '', '')"
"('WindowsBuiltInRole.', '', '')"
"('Winlogon.', '', '')"
"('advapi32.', '', '')"
"('arg.', '', '')"
"('args.', '', '')"
"('default.', '', '')"
"('doublepulsar.', '', '')"
"('e.', '', '')"
"('exploit-db.', '', '-db')"
"('gentilkiwi.', '', '')"
"('github.', '', '')"
"('ired.', '', '')"
"('kernel32.', '', '')"
"('key.', '', '')"
"('microsoft.', '', '')"
"('mitre.', '', '')"
"('mstsc.', '', '')"
"('myDomain.', '', '')"
"('myPrincipal.', '', '')"
"('pinvoke.', '', '')"
"('process.', '', '')"
"('session.', '', '')"
"('sessionId.', '', '')"
"('si.', '', '')"
"('tp.', '', '')"
"('truesec.', '', '')"
"('tscon.', '', '')"
"('tsquery.', '', '')"
"('twitter.', '', '')"
"('windowsprincipal.', '', '')"
"('wtsapi32.', '', '')"
