"('http://', 'ht', '', '/securite/vol-de-session-rdp', '/', 'securite/vol-de-session-rdp')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.security.principal.windowsprincipal.isinrole?view=dotnet-plat-ext-3.1', '/', 'en-us/dotnet/api/system.security.principal.windowsprincipal.isinrole?view=dotnet-plat-ext-3.1')"
"('https://', 'ht', 's', '/en-us/windows-server/administration/windows-commands/tscon', '/', 'en-us/windows-server/administration/windows-commands/tscon')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/wtsapi32/nf-wtsapi32-wtsconnectsessiona', '/', 'en-us/windows/win32/api/wtsapi32/nf-wtsapi32-wtsconnectsessiona')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/wtsapi32/nf-wtsapi32-wtsdisconnectsession', '/', 'en-us/windows/win32/api/wtsapi32/nf-wtsapi32-wtsdisconnectsession')"
"('https://', 'ht', 's', '/gentilkiwi/mimikatz', '/', 'gentilkiwi/mimikatz')"
"('https://', 'ht', 's', '/monoxgas/status/1109892490566336512', '/', 'monoxgas/status/1109892490566336512')"
"('https://', 'ht', 's', '/offensive-security/lateral-movement/t1076-rdp-hijacking-for-lateral-movement', '/', 'offensive-security/lateral-movement/t1076-rdp-hijacking-for-lateral-movement')"
"('https://', 'ht', 's', '/rdp-hijacking-how-to-hijack-rds-and-remoteapp-sessions-transparently-to-move-through-an-da2a1e73a5f6', '/', 'rdp-hijacking-how-to-hijack-rds-and-remoteapp-sessions-transparently-to-move-through-an-da2a1e73a5f6')"
"('https://', 'ht', 's', '/scriptcenter/Enable-TSDuplicateToken-6f485980', '/', 'scriptcenter/Enable-TSDuplicateToken-6f485980')"
"('https://', 'ht', 's', '/techniques/T1563/002', '/', 'techniques/T1563/002')"
"('www.', 'ht', '', '', '', '')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/default.aspx/advapi32.adjusttokenprivileges', '/', 'default.aspx/advapi32.adjusttokenprivileges')"
"('www.', 'ht', 's', '/default.aspx/wtsapi32.wtsquerysessioninformation', '/', 'default.aspx/wtsapi32.wtsquerysessioninformation')"
"('www.', 'ht', 's', '/exploits/41607', '/', 'exploits/41607')"
