"('Adodb.', '', '')"
"('Err.', '', '')"
"('MSXML2.', '', '')"
"('Microsoft.', '', '')"
"('Scripting.', '', '')"
"('WScript.', '', '')"
"('WinHttp.', '', '')"
"('args.', '', '')"
"('cgi.', '', '')"
"('client.', '', '')"
"('cmd.', '', '')"
"('commands.', '', '')"
"('f.', '', '')"
"('file.', '', '')"
"('fs.', '', '')"
"('github.', '', '')"
"('http.', '', '')"
"('httpserver.', '', '')"
"('ntpath.', '', '')"
"('objAdapter.', '', '')"
"('objOS.', '', '')"
"('objProcess.', '', '')"
"('os.', '', '')"
"('path.', '', '')"
"('rso.', '', '')"
"('s.', '', '')"
"('secret.', '', '')"
"('self.', '', '')"
"('server.', '', '')"
"('shell.', '', '')"
"('stdout.', '', '')"
"('stream.', '', '')"
"('variable.', '', '')"
"('variables.', '', '')"
"('wfile.', '', '')"
"('wmi.', '', '')"
