"('Access Token Modal -->\n', '\n')"
"('Add MFA Method Modal -->\n', '\n')"
"('Bootstrap -->\n', '\n')"
"('Conversation Info Modal -->\n', '\n')"
"('Conversation Members Modal -->\n', '\n')"
"('DOMPurify -->\n', '\n')"
"('DataTables & jQuery -->\n', '\n')"
"('Delete MFA Method Modal -->\n', '\n')"
"('Empty for now -->\n', '\n')"
"('Enable/Disable Datatable Error Messages -->\n', '\n')"
"('Modals -->\n', '\n')"
"('Navbar -->\n', '\n')"
"('New Conversation Modal -->\n', '\n')"
"('Placeholders -->\n', '\n')"
"('Prism Syntax Highlight -->\n', '\n')"
"('Refresh Token Modal -->\n', '\n')"
"('Request Template Modal -->\n', '\n')"
"('Side Menu -->\n', '\n')"
"('Static JS & CSS -->\n', '\n')"
"('Teams Message Info Modal -->\n', '\n')"
"('Template Content -->\n', '\n')"
"('UIcons by Flaticon (https://www.flaticon.com/uicons) -->\n', '\n')"
