"('', 'datetime', 'datetime', '')"
"('', 'fido2.client', 'Fido2Client', '')"
"('', 'fido2.hid', 'CtapHidDevice', '')"
"('', 'fido2.pcsc', 'CtapPcscDevice', '')"
"('', 'flask', 'Flask', '')"
"('', 'setuptools', 'setup', '')"
"('', 'threading', 'Thread', '')"
"('argparse', '', '', '')"
"('flask.helpers', '', '', '')"
"('json', '', '', '')"
"('jwt', '', '', '')"
"('os', '', '', '')"
"('pyotp', '', '', '')"
"('re', '', '', '')"
"('requests', '', '', '')"
"('sqlite3', '', '', '')"
"('time', '', '', '')"
