"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '29', '', '29', '', '', '', '')"
"('', '', '', '', '', '3', '', '3', '', '', '', '')"
"('', '', '', '', '', '3E', '', '3E', '', '', '', '')"
"('', '', '', '', '', '3F', '', '3F', '', '', '', '')"
"('', '', '', '', '', '4', '', '4', '', '', '', '')"
"('', '', '', '', '', '5', '', '5', '', '', '', '')"
"('', '', '', '', '', '6', '', '6', '', '', '', '')"
"('', '', '', '', '', '7', '', '7', '', '', '', '')"
"('', '', '', '', '', '77', '', '77', '', '', '', '')"
"('', '', '', '', '', '8', '', '8', '', '', '', '')"
"('', '', '', '', '', '88', '', '88', '', '', '', '')"
"('', '', '', '', '', '9', '', '9', '', '', '', '')"
"('', '', '', '', '', '9D', '', '9D', '', '', '', '')"
"('', '', '', '', '', 'A', '', 'A', '', '', '', '')"
"('', '', '', '', '', 'B', '', 'B', '', '', '', '')"
"('', '', '', '', '', 'B2', '', 'B2', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'C80', '', 'C80', '', '', '', '')"
"('', '', '', '', '', 'D', '', 'D', '', '', '', '')"
"('', '', '', '', '', 'E', '', 'E', '', '', '', '')"
"('', '', '', '', '', 'Ec', '', 'Ec', '', '', '', '')"
"('', '', '', '', '', 'F', '', 'F', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', 'b72', '', 'b72', '', '', '', '')"
"('', '', '', '', '', 'bd', '', 'bd', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'd7', '', 'd7', '', '', '', '')"
"('', '', '', '', '', 'dF', '', 'dF', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('B::', '', '', ':', '', '', '', '', '', '', '', '')"
