"('04-30.', '', '-30')"
"('04-43.', '', '-43')"
"('3.', '', '')"
"('32-57.', '', '-57')"
"('43-26.', '', '-26')"
"('43-40.', '', '-40')"
"('43-48.', '', '-48')"
"('5.', '', '')"
"('6-r.', '', '-r')"
"('6.', '', '')"
"('6c.', '', '')"
"('7.', '', '')"
"('8.', '', '')"
"('9m2M.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoTest.', '', '')"
"('Ax.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('BypassAddUser.', '', '')"
"('C.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('Children.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('ConsoleApp1.', '', '')"
"('Cp.', '', '')"
"('D.', '', '')"
"('Data.', '', '')"
"('DotSettings.', '', '')"
"('Environment.', '', '')"
"('GhostDoc.', '', '')"
"('H.', '', '')"
"('I.', '', '')"
"('K.', '', '')"
"('L.', '', '')"
"('M.', '', '')"
"('M7.', '', '')"
"('ModelManifest.', '', '')"
"('NewUser.', '', '')"
"('Node.', '', '')"
"('Path.', '', '')"
"('Program.', '', '')"
"('RLO.', '', '')"
"('Runtime.', '', '')"
"('StoreAssociation.', '', '')"
"('StringComparison.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('UF.', '', '')"
"('Username.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('XiK6.', '', '')"
"('Xml.', '', '')"
"('Z.', '', '')"
"('aHRC.', '', '')"
"('app.', '', '')"
"('args.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('codegen.', '', '')"
"('d.', '', '')"
"('dT.', '', '')"
"('dbproj.', '', '')"
"('ex.', '', '')"
"('github.', '', '')"
"('group.', '', '')"
"('h.', '', '')"
"('i.', '', '')"
"('j.', '', '')"
"('k.', '', '')"
"('l.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('nuget.', '', '')"
"('oW.', '', '')"
"('odx.', '', '')"
"('p.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('project.', '', '')"
"('qyo.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('s.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('ublish.', '', '')"
"('us.', '', '')"
"('xsd.', '', '')"
"('yoW.', '', '')"
"('z.', '', '')"
