"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-32-57.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-32-57.jpg')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-26.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-26.jpg')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-40.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-40.jpg')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-48.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_12-43-48.jpg')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_13-04-30.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_13-04-30.jpg')"
"('https://', 'ht', 's', '/TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_13-04-43.jpg', '/', 'TryA9ain/BypassAddUser_new/blob/master/Snipaste_2020-12-12_13-04-43.jpg')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/jmalarcon/DotNetVersions', '/', 'jmalarcon/DotNetVersions')"
"('https://', 'ht', 's', '/zh-cn/dotnet/framework/migration-guide/how-to-determine-which-versions-are-installed', '/', 'zh-cn/dotnet/framework/migration-guide/how-to-determine-which-versions-are-installed')"
"('https://', 'ht', 's', '/zh-cn/troubleshoot/dotnet/csharp/add-user-local-system', '/', 'zh-cn/troubleshoot/dotnet/csharp/add-user-local-system')"
