"('Date.', '', '')"
"('Object.', '', '')"
"('a.', '', '')"
"('b.', '', '')"
"('background.', '', '')"
"('buffer.', '', '')"
"('card.', '', '')"
"('classList.', '', '')"
"('com.', '', '')"
"('console.', '', '')"
"('content.', '', '')"
"('contentType.', '', '')"
"('details.', '', '')"
"('document.', '', '')"
"('f.', '', '')"
"('finding.', '', '')"
"('findings.', '', '')"
"('findingsList.', '', '')"
"('github.', '', '')"
"('icon128.', '', '')"
"('icon48.', '', '')"
"('items.', '', '')"
"('json.', '', '')"
"('key.', '', '')"
"('line.', '', '')"
"('local.', '', '')"
"('manifest.', '', '')"
"('message.', '', '')"
"('name.', '', '')"
"('noFindings.', '', '')"
"('onChanged.', '', '')"
"('onCompleted.', '', '')"
"('onDisconnect.', '', '')"
"('onMessage.', '', '')"
"('os.', '', '')"
"('path.', '', '')"
"('popup.', '', '')"
"('port.', '', '')"
"('queue-status.', '', '-status')"
"('queue.', '', '')"
"('queueSizeElement.', '', '')"
"('rawDetail.', '', '')"
"('requests.', '', '')"
"('response.', '', '')"
"('results.', '', '')"
"('runtime.', '', '')"
"('sender.', '', '')"
"('setup.', '', '')"
"('stdout.', '', '')"
"('str.', '', '')"
"('struct.', '', '')"
"('style.', '', '')"
"('subprocess.', '', '')"
"('sys.', '', '')"
"('t.', '', '')"
"('tempfile.', '', '')"
"('threading.', '', '')"
"('typeElement.', '', '')"
"('url.', '', '')"
"('urlElement.', '', '')"
"('urllib.', '', '')"
"('value.', '', '')"
"('verificationElement.', '', '')"
"('w.', '', '')"
"('webtrufflehog.', '', '')"
"('workers.', '', '')"
