"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '00', '', '00', '', '', '', '')"
"('', '', '', '', '', '0000', '', '0000', '', '', '', '')"
"('', '', '', '', '', '00A1', '', '00A1', '', '', '', '')"
"('', '', '', '', '', '01', '', '01', '', '', '', '')"
"('', '', '', '', '', '012', '', '012', '', '', '', '')"
"('', '', '', '', '', '03', '', '03', '', '', '', '')"
"('', '', '', '', '', '0445', '', '0445', '', '', '', '')"
"('', '', '', '', '', '05', '', '05', '', '', '', '')"
"('', '', '', '', '', '06', '', '06', '', '', '', '')"
"('', '', '', '', '', '0603', '', '0603', '', '', '', '')"
"('', '', '', '', '', '07', '', '07', '', '', '', '')"
"('', '', '', '', '', '08', '', '08', '', '', '', '')"
"('', '', '', '', '', '0A', '', '0A', '', '', '', '')"
"('', '', '', '', '', '0A00', '', '0A00', '', '', '', '')"
"('', '', '', '', '', '0Aa', '', '0Aa', '', '', '', '')"
"('', '', '', '', '', '0B', '', '0B', '', '', '', '')"
"('', '', '', '', '', '0CBB', '', '0CBB', '', '', '', '')"
"('', '', '', '', '', '0D', '', '0D', '', '', '', '')"
"('', '', '', '', '', '0F', '', '0F', '', '', '', '')"
"('', '', '', '', '', '0a', '', '0a', '', '', '', '')"
"('', '', '', '', '', '0b', '', '0b', '', '', '', '')"
"('', '', '', '', '', '0c', '', '0c', '', '', '', '')"
"('', '', '', '', '', '0f', '', '0f', '', '', '', '')"
"('', '', '', '', '', '0fe', '', '0fe', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '11', '', '11', '', '', '', '')"
"('', '', '', '', '', '111', '', '111', '', '', '', '')"
"('', '', '', '', '', '1111', '', '1111', '', '', '', '')"
"('', '', '', '', '', '111a', '', '111a', '', '', '', '')"
"('', '', '', '', '', '11A', '', '11A', '', '', '', '')"
"('', '', '', '', '', '11a', '', '11a', '', '', '', '')"
"('', '', '', '', '', '11aA', '', '11aA', '', '', '', '')"
"('', '', '', '', '', '12', '', '12', '', '', '', '')"
"('', '', '', '', '', '16', '', '16', '', '', '', '')"
