"('A.', '', '')"
"('ACCCTRL.', '', '')"
"('ACLAPI.', '', '')"
"('ADVAPI32.', '', '')"
"('AMMINTRIN.', '', '')"
"('APISET.', '', '')"
"('APISETCCONV.', '', '')"
"('ARMINTR.', '', '')"
"('ASSERT.', '', '')"
"('AdvApi32.', '', '')"
"('B.', '', '')"
"('BASETSD.', '', '')"
"('BCRYPT.', '', '')"
"('BEMAPISET.', '', '')"
"('BLOCKINGQUEUE.', '', '')"
"('CDERR.', '', '')"
"('CGUID.', '', '')"
"('COMBASEAPI.', '', '')"
"('COMMDLG.', '', '')"
"('CONCURRENCYSAL.', '', '')"
"('CONSOLEAPI.', '', '')"
"('CORECRT.', '', '')"
"('CPPDLLMAIN.', '', '')"
"('CPPISTORAGETRIGGER.', '', '')"
"('CPPJUICYPOTATO.', '', '')"
"('CPPLOCALNEGOTIATOR.', '', '')"
"('CPPSTDAFX.', '', '')"
"('CRTDBG.', '', '')"
"('CRTDEFS.', '', '')"
"('CTYPE.', '', '')"
"('Control.', '', '')"
"('Cpp.', '', '')"
"('DATETIMEAPI.', '', '')"
"('DDE.', '', '')"
"('DDEML.', '', '')"
"('DEBUGAPI.', '', '')"
"('DLGS.', '', '')"
"('DPAPI.', '', '')"
"('DRIVERSPECS.', '', '')"
"('Default.', '', '')"
"('EH.', '', '')"
"('EMMINTRIN.', '', '')"
"('ERRHANDLINGAPI.', '', '')"
"('ERRNO.', '', '')"
"('EXCPT.', '', '')"
"('F.', '', '')"
"('FIBERSAPI.', '', '')"
"('FILEAPI.', '', '')"
"('FLOAT.', '', '')"
"('FileHeader.', '', '')"
"('GUIDDEF.', '', '')"
"('H.', '', '')"
"('HANDLEAPI.', '', '')"
"('HEAPAPI.', '', '')"
"('HHHt.', '', '')"
"('Ht.', '', '')"
"('I.', '', '')"
"('IHH.', '', '')"
"('IMM.', '', '')"
"('IMMINTRIN.', '', '')"
"('INADDR.', '', '')"
"('INLCOMMDLG.', '', '')"
"('INLPRSHT.', '', '')"
"('INLWINBASE.', '', '')"
"('INLWINUSER.', '', '')"
"('INTERLOCKEDAPI.', '', '')"
"('INTRIN.', '', '')"
"('IOAPISET.', '', '')"
"('ISTORAGETRIGGER.', '', '')"
"('IStorageTrigger.', '', '')"
"('JOBAPI.', '', '')"
"('JOYSTICKAPI.', '', '')"
"('JUICYPOTATO.', '', '')"
"('JuicyPotato.', '', '')"
"('KERNEL32.', '', '')"
"('KERNELSPECS.', '', '')"
"('KTMTYPES.', '', '')"
"('LIBLOADERAPI.', '', '')"
"('LIMITS.', '', '')"
"('LOCALE.', '', '')"
"('LOCALNEGOTIATOR.', '', '')"
"('LZEXPAND.', '', '')"
"('LocalNegotiator.', '', '')"
"('MALLOC.', '', '')"
"('MATH.', '', '')"
"('MBSTRING.', '', '')"
"('MCIAPI.', '', '')"
"('MCX.', '', '')"
"('MEMORYAPI.', '', '')"
"('MINSCHANNEL.', '', '')"
"('MINWINBASE.', '', '')"
"('MINWINDEF.', '', '')"
"('MMEAPI.', '', '')"
"('MMINTRIN.', '', '')"
"('MMISCAPI.', '', '')"
"('MMSYSCOM.', '', '')"
"('MMSYSTEM.', '', '')"
"('MSFROTTENPOTATO.', '', '')"
"('MSFRottenPotato.', '', '')"
"('MSFRottenPotatoTestHarness.', '', '')"
"('MSXML.', '', '')"
"('Microsoft.', '', '')"
"('Mswsock.', '', '')"
"('NAMEDPIPEAPI.', '', '')"
"('NAMESPACEAPI.', '', '')"
"('NCRYPT.', '', '')"
"('NMMINTRIN.', '', '')"
"('OAIDL.', '', '')"
"('OBJBASE.', '', '')"
"('OBJIDL.', '', '')"
"('OBJIDLBASE.', '', '')"
"('OLE.', '', '')"
"('OLEAUTO.', '', '')"
"('OLEIDL.', '', '')"
"('P.', '', '')"
"('PLAYSOUNDAPI.', '', '')"
"('PMMINTRIN.', '', '')"
"('POPPACK.', '', '')"
"('PROCESSENV.', '', '')"
"('PROCESSTHREADSAPI.', '', '')"
"('PROCESSTOPOLOGYAPI.', '', '')"
"('PROFILEAPI.', '', '')"
"('PROFINFO.', '', '')"
