"( ""Function call with parameters that may be unsafe - this call relies on the caller to check that the passed values are correct. "" ""To disable this warning, use -D_SCL_SECURE_NO_WARNINGS. See documentation on how to use Visual C++ 'Checked Iterators'"""
"( ""This function or variable has been superceded by newer library "" ""or operating system functionality. Consider using "" #_NewItem "" "" ""instead. See online help for details."""
"( ""This function or variable may be unsafe. Consider using "" #_Replacement "" instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. "" ""See online help for details."""
"( ""function has been changed to conform with the ISO C standard, "" ""adding an extra character count parameter. To use the traditional "" ""Microsoft version, set _CRT_NON_CONFORMING_SWPRINTFS."""
"( ""wcstok has been changed to conform with the ISO C standard, "" ""adding an extra context parameter. To use the legacy Microsoft "" ""wcstok, define _CRT_NON_CONFORMING_WCSTOK."""
"( , "
"( , &"
"( , &&"
"( 0xec400b10, (Dd"
"( 0xec500b10, (Dm"
"( IMAGE_NT_HEADERS, OptionalHeader "
"( MDM_PROTOCOLID_ANALOG, MDM_GEN_ANALOG_PROTOCOL_DATA ( MDM_ANALOG_RLP_OFF "
"( MDM_PROTOCOLID_ANALOG, MDM_GEN_ANALOG_PROTOCOL_DATA ( MDM_ANALOG_RLP_ON "
"( MDM_PROTOCOLID_ANALOG, MDM_GEN_ANALOG_PROTOCOL_DATA ( MDM_ANALOG_V34 "
"( MDM_PROTOCOLID_AUTO, MDM_GEN_AUTO_PROTOCOL_DATA ( MDM_AUTO_SPEED_DEFAULT, MDM_AUTO_ML_2 "
"( MDM_PROTOCOLID_AUTO, MDM_GEN_AUTO_PROTOCOL_DATA ( MDM_AUTO_SPEED_DEFAULT, MDM_AUTO_ML_NONE "
"( MDM_PROTOCOLID_GPRS, 0 "
"( MDM_PROTOCOLID_HDLCPPP, MDM_GEN_HDLCPPP_PROTOCOL_DATA ( MDM_HDLCPPP_SPEED_56K, MDM_HDLCPPP_AUTH_CHAP, MDM_HDLCPPP_ML_2 "
"( MDM_PROTOCOLID_HDLCPPP, MDM_GEN_HDLCPPP_PROTOCOL_DATA ( MDM_HDLCPPP_SPEED_56K, MDM_HDLCPPP_AUTH_DEFAULT, MDM_HDLCPPP_ML_2 "
"( MDM_PROTOCOLID_HDLCPPP, MDM_GEN_HDLCPPP_PROTOCOL_DATA ( MDM_HDLCPPP_SPEED_56K, MDM_HDLCPPP_AUTH_DEFAULT, MDM_HDLCPPP_ML_DEFAULT "
"( MDM_PROTOCOLID_HDLCPPP, MDM_GEN_HDLCPPP_PROTOCOL_DATA ( MDM_HDLCPPP_SPEED_56K, MDM_HDLCPPP_AUTH_PAP, MDM_HDLCPPP_ML_2 "
