"('0', '4', '0', '186')"
"('00', '100', '1', '25')"
"('045', '3', '1', '7')"
"('045', '4', '3', '2')"
"('045', '4', '3', '3')"
"('045', '4', '3', '4')"
"('1', '3', '132', '0')"
"('1', '3', '132', '1')"
"('1', '3', '133', '16')"
"('1', '3', '14', '3')"
"('1', '3', '14', '7')"
"('1', '3', '6', '1')"
"('11', '10', '1', '1')"
"('11', '10', '10', '1')"
"('11', '10', '11', '104')"
"('11', '10', '11', '15')"
"('11', '10', '11', '20')"
"('11', '10', '11', '28')"
"('11', '10', '11', '29')"
"('11', '10', '11', '4')"
"('11', '10', '12', '1')"
"('11', '10', '3', '1')"
"('11', '10', '3', '10')"
"('11', '10', '3', '11')"
"('11', '10', '3', '12')"
"('11', '10', '3', '13')"
"('11', '10', '3', '14')"
"('11', '10', '3', '15')"
"('11', '10', '3', '16')"
"('11', '10', '3', '19')"
"('11', '10', '3', '2')"
"('11', '10', '3', '20')"
"('11', '10', '3', '21')"
"('11', '10', '3', '22')"
"('11', '10', '3', '23')"
"('11', '10', '3', '24')"
"('11', '10', '3', '25')"
"('11', '10', '3', '26')"
"('11', '10', '3', '3')"
"('11', '10', '3', '30')"
"('11', '10', '3', '4')"
"('11', '10', '3', '5')"
"('11', '10', '3', '50')"
"('11', '10', '3', '6')"
"('11', '10', '3', '7')"
"('11', '10', '3', '8')"
"('11', '10', '3', '9')"
"('11', '10', '4', '1')"
"('11', '10', '5', '1')"
"('11', '10', '5', '2')"
"('11', '10', '6', '1')"
"('11', '10', '6', '2')"
"('11', '10', '7', '1')"
"('11', '10', '8', '1')"
"('11', '10', '9', '1')"
"('11', '13', '2', '1')"
"('11', '13', '2', '2')"
"('11', '13', '2', '3')"
"('11', '2', '1', '14')"
"('11', '20', '2', '1')"
"('11', '20', '2', '2')"
"('11', '20', '2', '3')"
"('11', '20', '2', '4')"
"('11', '3', '3', '1')"
"('11', '60', '1', '1')"
"('11', '60', '2', '1')"
"('11', '60', '3', '1')"
"('11', '60', '3', '2')"
"('11', '60', '3', '3')"
"('11', '61', '1', '1')"
"('11', '61', '4', '1')"
"('11', '61', '5', '1')"
"('11', '72', '1', '1')"
"('11', '72', '2', '1')"
"('11', '76', '3', '1')"
"('11', '76', '5', '1')"
"('11', '76', '8', '1')"
