"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '1095', '', '1095', '', '', '', '')"
"('', '', '', '', '', '1096', '', '1096', '', '', '', '')"
"('', '', '', '', '', 'A', '', 'A', '', '', '', '')"
"('', '', '', '', '', 'Ac', '', 'Ac', '', '', '', '')"
"('', '', '', '', '', 'Acc', '', 'Acc', '', '', '', '')"
"('', '', '', '', '', 'Ad', '', 'Ad', '', '', '', '')"
"('', '', '', '', '', 'Add', '', 'Add', '', '', '', '')"
"('', '', '', '', '', 'B', '', 'B', '', '', '', '')"
"('', '', '', '', '', 'B254', '', 'B254', '', '', '', '')"
"('', '', '', '', '', 'B258', '', 'B258', '', '', '', '')"
"('', '', '', '', '', 'B259', '', 'B259', '', '', '', '')"
"('', '', '', '', '', 'B426', '', 'B426', '', '', '', '')"
"('', '', '', '', '', 'B500', '', 'B500', '', '', '', '')"
"('', '', '', '', '', 'B501', '', 'B501', '', '', '', '')"
"('', '', '', '', '', 'B547', '', 'B547', '', '', '', '')"
"('', '', '', '', '', 'B549', '', 'B549', '', '', '', '')"
"('', '', '', '', '', 'B550', '', 'B550', '', '', '', '')"
"('', '', '', '', '', 'B551', '', 'B551', '', '', '', '')"
"('', '', '', '', '', 'B611', '', 'B611', '', '', '', '')"
"('', '', '', '', '', 'B720', '', 'B720', '', '', '', '')"
"('', '', '', '', '', 'B842', '', 'B842', '', '', '', '')"
"('', '', '', '', '', 'B995', '', 'B995', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'Ce', '', 'Ce', '', '', '', '')"
"('', '', '', '', '', 'D', '', 'D', '', '', '', '')"
"('', '', '', '', '', 'DA', '', 'DA', '', '', '', '')"
"('', '', '', '', '', 'DC', '', 'DC', '', '', '', '')"
"('', '', '', '', '', 'E', '', 'E', '', '', '', '')"
"('', '', '', '', '', 'F', '', 'F', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'ab', '', 'ab', '', '', '', '')"
"('', '', '', '', '', 'ac', '', 'ac', '', '', '', '')"
"('', '', '', '', '', 'be', '', 'be', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'ca', '', 'ca', '', '', '', '')"
"('', '', '', '', '', 'ce', '', 'ce', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'dAcc', '', 'dAcc', '', '', '', '')"
"('', '', '', '', '', 'dB', '', 'dB', '', '', '', '')"
"('', '', '', '', '', 'da', '', 'da', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'eAcc', '', 'eAcc', '', '', '', '')"
"('', '', '', '', '', 'eD', '', 'eD', '', '', '', '')"
"('', '', '', '', '', 'ea', '', 'ea', '', '', '', '')"
"('', '', '', '', '', 'eb', '', 'eb', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('', '', '', '', '', 'ed', '', 'ed', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('::', '::', '', '', '', 'F', '', 'F', '', '', '', '')"
