"('ADGrp.', '', '')"
"('ASCII.', '', '')"
"('ASREP.', '', '')"
"('ActiveDirectory.', '', '')"
"('AdmPwd.', '', '')"
"('AuditNTLM.', '', '')"
"('AuthenticatedUsersSID.', '', '')"
"('Cryptography.', '', '')"
"('DC.', '', '')"
"('DataSources.', '', '')"
"('DenyNTLM.', '', '')"
"('DirectoryServices.', '', '')"
"('Display.', '', '')"
"('DisplayFields.', '', '')"
"('Drives.', '', '')"
"('EntrepriseDomainControllersSID.', '', '')"
"('EveryOneSID.', '', '')"
"('Extension.', '', '')"
"('Forest.', '', '')"
"('GPO.', '', '')"
"('GPOReport.', '', '')"
"('GPOreport.', '', '')"
"('Groups.', '', '')"
"('HardenNTLM.', '', '')"
"('IO.', '', '')"
"('LDAPSecurity.', '', '')"
"('LocalServiceSID.', '', '')"
"('Management.', '', '')"
"('MyCommand.', '', '')"
"('NTDS.', '', '')"
"('NTLMAuthExceptions.', '', '')"
"('Net.', '', '')"
"('Oid.', '', '')"
"('Ou.', '', '')"
"('PSVersion.', '', '')"
"('Principal.', '', '')"
"('Printers.', '', '')"
"('Protocols.', '', '')"
"('Response.', '', '')"
"('SPNs.', '', '')"
"('Scheduledtasks.', '', '')"
"('Services.', '', '')"
"('SettingStrings.', '', '')"
"('Site.', '', '')"
"('System.', '', '')"
"('SystemSID.', '', '')"
"('Text.', '', '')"
"('Version.', '', '')"
"('XMLFiles.', '', '')"
"('Xml.', '', '')"
"('account.', '', '')"
"('acl.', '', '')"
"('adaudit-replaced.', '', '-replaced')"
"('adaudit.', '', '')"
"('checkService.', '', '')"
"('cmd.', '', '')"
"('co.', '', '')"
"('computer.', '', '')"
"('computers.', '', '')"
"('consolelog.', '', '')"
"('dangerousACLUsers.', '', '')"
"('dangerousACLs.', '', '')"
"('detail.', '', '')"
"('details.', '', '')"
"('domainsid.', '', '')"
"('extendedrights.', '', '')"
"('finegrainedpolicy.', '', '')"
"('github.', '', '')"
"('group.', '', '')"
"('groups.', '', '')"
"('insecurezone.', '', '')"
"('ldapConnection.', '', '')"
"('line.', '', '')"
"('machine.', '', '')"
"('member.', '', '')"
"('microsoft.', '', '')"
"('nessus.', '', '')"
"('net.', '', '')"
"('newGroup.', '', '')"
"('newUser.', '', '')"
"('ntds.', '', '')"
"('ntsecuritydescriptor.', '', '')"
"('ouobject.', '', '')"
"('output.', '', '')"
"('passwords.', '', '')"
"('record.', '', '')"
"('result.', '', '')"
"('rule.', '', '')"
"('searcher.', '', '')"
"('secretsdump.', '', '')"
"('select.', '', '')"
"('spn.', '', '')"
"('template.', '', '')"
"('trust.', '', '')"
"('user.', '', '')"
"('users.', '', '')"
