"('', '', '', '', '', '', ' 0\n        $computersList', '', '0', 'computersList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $insecurezones', '', '0', 'insecurezones', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $missingComputers', '', '0', 'missingComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $progresscount', '', '0', 'progresscount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $protectedaccounts', '', '0', 'protectedaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $totalcount', '', '0', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $DaysAgo', '', '0', 'DaysAgo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $countGroups', '', '0', 'countGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $domaincontrollers', '', '0', 'domaincontrollers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $inactiveaccounts', '', '0', 'inactiveaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $nonexpiringpasswords', '', '0', 'nonexpiringpasswords', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $objects', '', '0', 'objects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $oldboxes', '', '0', 'oldboxes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $ousgpos', '', '0', 'ousgpos', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $progresscount', '', '0', 'progresscount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $progresscountGroups', '', '0', 'progresscountGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $progresscountUsers', '', '0', 'progresscountUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $totalcount', '', '0', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n    $totalcountUsers', '', '0', 'totalcountUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AdmPwd.PS\n        $count', '', 'AdmPwd.PS', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Computers\n    $computers', '', 'Computers', 'computers', '', '', '', '', '', '', '', '')"
