"""            [-] $($_.Name) has $($_.OperatingSystem)"
"""        $File"
"""        [!] Cannot check last update date on $DC"
"""        [!] Cannot get time source for $DC"
"""        [!] Cannot test shares on $DC!"
"""        [!] NETLOGON share is missing on $DC!"
"""        [!] SYSVOL share is missing on $DC!"
"""        [!] Service $($service) cannot be checked on $DC!"
"""        [!] Service $($service) is not running on $DC!"
"""        [!] Windows Update service cannot be checked on $DC!"
"""        [!] Windows Update service is disabled on $DC!"
"""        [!] Windows is not up to date on $DC, last install: $($lastHotfix)"
"""        [+] $DC is syncing time from $ntpSource"
"""        [+] DC $($_.Name) is a RODC server!"
"""        [+] Domain controllers with WS 2003"
"""        [+] Domain controllers with WS 2008 R2"
"""        [+] Domain controllers with WS 2008"
"""        [+] Domain controllers with WS 2012 R2"
"""        [+] Domain controllers with WS 2012"
"""        [+] Domain controllers with WS 2016"
"""        [+] Domain controllers with WS 2019"
"""        [+] Domain controllers with WS 2022"
"""        [+] Windows is up to date on $DC, last install: $($lastHotfix)"
"""        [-] $($record.value)"
"""        [-] DC $($_.Name) OS Version [$($_.OperatingSystemVersion)]"
"""        [-] DC $($_.Name) Service Pack [$($_.OperatingSystemServicePack)]"
"""        [-] DC $($_.Name) hotfix [$($_.OperatingSystemHotfix)]"
"""    -ADCS checks for ESC1,2,3,4 and 8"
"""    -accounts identifies account issues such as expired, disabled, etc..."
"""    -acl checks for dangerous ACL permissions on Computers, Users and Groups"
"""    -all runs all checks, e.g. $scriptname -all"
"""    -asrep checks for accounts with kerberos pre-auth"
"""    -authpolsilos checks for existence of authentication policies and silos"
"""    -domainaudit retrieves information about the AD such as functional level"
"""    -exclude allows you to exclude specific checks when using -all, e.g. $scriptname -all -exclude hostdetails,ntds"
"""    -gpo dumps the GPOs in XML and HTML for later analysis"
"""    -hostdetails retrieves hostname and other useful audit info"
"""    -insecurednszone checks for insecure DNS zones"
"""    -installdeps installs optionnal features (DSInternals)"
"""    -laps checks if LAPS is installed"
"""    -ldapsecurity checks for multiple LDAP issues"
"""    -ntds dumps the NTDS.dit file using ntdsutil"
"""    -oldboxes identifies outdated OSs like 2000/2003/XP/Vista/7/2008 joined to the domain"
"""    -ouperms checks generic OU permission issues"
"""    -passwordpolicy retrieves password policy information"
"""    -recentchanges checks for newly created users and groups (last 30 days)"
"""    -select allows you to exclude specific checks when using -all, e.g. $scriptname -all `"
"""    -spn checks for kerberoastable high value accounts"
"""    -trusts retrieves information about any doman trusts"
