"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/ctnca.cer09', '/', 'ctnca.cer09')"
"('http://', 'ht', '', '/ctnca.crl0k', '/', 'ctnca.crl0k')"
"('http://', 'ht', '', '/ctnca2.cer09', '/', 'ctnca2.cer09')"
"('http://', 'ht', '', '/ctnca2.crl0l', '/', 'ctnca2.crl0l')"
"('http://', 'ht', '', '/ctsca2021.cer0', '/', 'ctsca2021.cer0')"
"('http://', 'ht', '', '/ctsca2021.crl0o', '/', 'ctsca2021.crl0o')"
"('http://', 'ht', '', '/licenses/by-nc/4.0', '/', 'licenses/by-nc/4.0')"
"('https://', 'ht', 's', '/79479952/239704528-c017473e-1d2a-4d4a-a215-bf71d137b86a.png', '/', '79479952/239704528-c017473e-1d2a-4d4a-a215-bf71d137b86a.png')"
"('https://', 'ht', 's', '/drunkwinter/windows-defender-remover/assets/38593134/46007191-0a65-43c2-b451-a993ff90e00e', '/', 'drunkwinter/windows-defender-remover/assets/38593134/46007191-0a65-43c2-b451-a993ff90e00e')"
"('https://', 'ht', 's', '/drunkwinter/windows-defender-remover/assets/38593134/8072a566-5bf0-4f05-9994-808145406bdc', '/', 'drunkwinter/windows-defender-remover/assets/38593134/8072a566-5bf0-4f05-9994-808145406bdc')"
"('https://', 'ht', 's', '/ionuttbara/windows-defender-remover', '/', 'ionuttbara/windows-defender-remover')"
"('https://', 'ht', 's', '/ionuttbara/windows-defender-remover.git', '/', 'ionuttbara/windows-defender-remover.git')"
"('https://', 'ht', 's', '/ionuttbara/windows-defender-remover/issues', '/', 'ionuttbara/windows-defender-remover/issues')"
"('https://', 'ht', 's', '/ionuttbara/windows-defender-remover/releases', '/', 'ionuttbara/windows-defender-remover/releases')"
"('https://', 'ht', 's', '/jbara2002/windows-defender-remover/releases', '/', 'jbara2002/windows-defender-remover/releases')"
"('www.', '', '', '', '', '')"
"('www.', 'ht', '', '/CPS0', '/', 'CPS0')"
