"('0.', '', '')"
"('0Ht.', '', '')"
"('0IL.', '', '')"
"('0b.', '', '')"
"('239704528-c017473e-1d2a-4d4a-a215-bf71d137b86a.', '', '-bf71d137b86a')"
"('30.', '', '')"
"('5.', '', '')"
"('5Cresources.', '', '')"
"('8ML.', '', '')"
"('9.', '', '')"
"('98.', '', '')"
"('A.', '', '')"
"('ADVAPI32.', '', '')"
"('B.', '', '')"
"('COMCTL32.', '', '')"
"('COMDLG32.', '', '')"
"('CompatTelRunner.', '', '')"
"('Configuration.', '', '')"
"('DD.', '', '')"
"('DWWIN.', '', '')"
"('DeviceCensus.', '', '')"
"('DisableAntivirusProtection.', '', '')"
"('DisableDefenderPolicies.', '', '')"
"('DisableDefenderandSecurityCenterNotifications.', '', '')"
"('DisableDevDriveProtection.', '', '')"
"('DisableLSAProtection.', '', '')"
"('DisableMaintenanceTaskreportinginSecurityHealthUI.', '', '')"
"('DisableMicrosoftVulnerabileDriverBlocklist.', '', '')"
"('DisableSmartScreen.', '', '')"
"('DisableSpyNetTelemetry.', '', '')"
"('DisableSystemMitigations.', '', '')"
"('DisableTamperProtection.', '', '')"
"('DisableUAC.', '', '')"
"('DisableVBS.', '', '')"
"('E2.', '', '')"
"('E3E3.', '', '')"
"('FG0.', '', '')"
"('Fa.', '', '')"
"('GDI32.', '', '')"
"('GameBarPresenceWriter.', '', '')"
"('H.', '', '')"
"('HDADt.', '', '')"
"('HH.', '', '')"
"('HHH.', '', '')"
"('Hq.', '', '')"
"('Hrq.', '', '')"
"('HuImH.', '', '')"
"('I.', '', '')"
"('ICMP.', '', '')"
"('Ju.', '', '')"
"('KERNEL32.', '', '')"
"('L.', '', '')"
"('LI.', '', '')"
"('Lv.', '', '')"
"('MPR.', '', '')"
"('MitigationofFaultTorelantHeap.', '', '')"
"('MsSecFlt.', '', '')"
"('MsSecFltWfp.', '', '')"
"('NomoreDelayandTimeouts.', '', '')"
"('OHc.', '', '')"
"('OLEAUT32.', '', '')"
"('Output.', '', '')"
"('PHHCHDHt3Mt.', '', '')"
"('PSAPI.', '', '')"
"('Pluton.', '', '')"
"('PowerRun.', '', '')"
"('Q.', '', '')"
"('RemovalofAnti-PhishingServices.', '', '-PhishingServices')"
"('RemovalofWindowsDefenderAntivirus.', '', '')"
"('RemoveDefenderTasks.', '', '')"
"('RemoveSecurityandMaintenance.', '', '')"
"('RemoveServices.', '', '')"
"('RemoveShellAssociation.', '', '')"
"('RemoveSignatureUpdates.', '', '')"
"('RemoveStartupEntries.', '', '')"
"('RemoveWindowsDefenderFirewallRules.', '', '')"
"('RemoveWindowsWebThreat.', '', '')"
"('Remover.', '', '')"
"('RemoverofDefenderContextMenu.', '', '')"
"('SHELL32.', '', '')"
"('SecurityAndMaintenance.', '', '')"
"('SecurityHealthAgent.', '', '')"
"('SecurityHealthCore.', '', '')"
"('SecurityHealthHost.', '', '')"
"('SecurityHealthProxyStub.', '', '')"
"('SecurityHealthService.', '', '')"
"('SecurityHealthSsoUdk.', '', '')"
"('SecurityHealthSystray.', '', '')"
"('SecurityHealthUdk.', '', '')"
"('Service.', '', '')"
"('SgrmAgent.', '', '')"
"('SystemToast.', '', '')"
"('TIgp.', '', '')"
"('ThreatExperienceManager.', '', '')"
"('ThreatResponseEngine.', '', '')"
"('USER32.', '', '')"
"('USERENV.', '', '')"
"('V.', '', '')"
"('VERSION.', '', '')"
"('WININET.', '', '')"
"('WINMM.', '', '')"
"('WSOCK32.', '', '')"
"('WdBoot.', '', '')"
"('WdDevFlt.', '', '')"
"('WdFilter.', '', '')"
"('WdNisDrv.', '', '')"
"('Windows.', '', '')"
"('WindowsDefenderApplicationGuard.', '', '')"
"('WindowsSettingsPageVisibility.', '', '')"
"('X.', '', '')"
"('Y.', '', '')"
"('admx.', '', '')"
"('advapi32.', '', '')"
"('appx.', '', '')"
"('b.', '', '')"
"('bk.', '', '')"
"('certum.', '', '')"
"('choice.', '', '')"
"('cmd.', '', '')"
"('content.', '', '')"
"('creativecommons.', '', '')"
"('dsC.', '', '')"
"('eu.', '', '')"
"('f.', '', '')"
"('fD98t.', '', '')"
"('file.', '', '')"
"('g.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '-images')"
"('h.', '', '')"
"('hKo.', '', '')"
"('kernel32.', '', '')"
"('l.', '', '')"
"('lHI.', '', '')"
"('lI0.', '', '')"
"('m.', '', '')"
"('mI.', '', '')"
"('msseccore.', '', '')"
"('ole32.', '', '')"
"('q.', '', '')"
"('r.', '', '')"
"('rLm0IL.', '', '')"
"('regedit.', '', '')"
"('smartscreen.', '', '')"
"('smartscreenps.', '', '')"
"('subca.', '', '')"
"('t.', '', '')"
"('u.', '', '')"
"('unnatended.', '', '')"
"('uxtheme.', '', '')"
"('w.', '', '')"
"('windows-defender-remover.', '', '-remover')"
"('wscadminui.', '', '')"
"('wscapi.', '', '')"
"('wscisvif.', '', '')"
"('wscproxystub.', '', '')"
"('wscsvc.', '', '')"
"('www.', '', '')"
"('x.', '', '')"
"('x1L.', '', '')"
"('yS.', '', '')"
