"('', '', '', '', '', '', ' file\n$sourceFolder', '', 'file', 'sourceFolder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $regFiles', '', 'in', 'regFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $remove_appx', '', 'in', 'remove_appx', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $skip', '', 'in', 'skip', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $users', '', 'in', 'users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' path\n$outputFile', '', 'path', 'outputFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' path\n\n$combinedContent', '', 'path', 'combinedContent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.FullName\n    $combinedContent', '', '.FullName', 'combinedContent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $file', '', 'Path', 'file', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $outputFile', '', 'Path', 'outputFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $sourceFolder', '', 'Path', 'sourceFolder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'dir $store', '', 'dir', 'store', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $appx', '', 'eq', 'appx', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $choice', '', 'eq', 'choice', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'package $PackageFullName', '', 'package', 'PackageFullName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'packagename $PackageName', '', 'packagename', 'PackageName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $store', '', 'path', 'store', '', '', '', '', '', '', '', '')"
