                            'grant_type'            = 'client_credentials'
                        SigningCredentials = new X509SigningCredentials(cert)
              Looks up a localized string similar to No credentials of type &apos;{0}&apos; could be initialized from the provided settings..
             application only uses the Client Credentials grants (that is requests token in its own name and not in the name of users).
             uses the client credentials grants</param>
            <remarks>AAD only supports RSA certs for client credentials </remarks>
            Apply the credentials to the HTTP request.
            Basic Auth credentials for use with a REST Service Client.
            Certificate based credentials for use with a REST Service Client.
            Gets Azure subscription credentials.
            Gets the X509 certificate used as credentials to prove the identity of the application to Azure AD.
            Initialize a ServiceClient instance for accessing REST APIs with these credentials. 
            Initialize a ServiceClient instance to process credentials.
            Recommended only for client credentials flow (service to service communication).
            See https://aka.ms/msal-net-client-credentials
            ServiceClientCredentials is the abstraction for credentials used by ServiceClients accessing REST services.
            The user will be prompted for credentials by the service. It is achieved
            These credentials are added in the application registration portal (in the secret section).
            Token based credentials for use with a REST Service Client.
            Verification URL where the user must navigate to authenticate using the device code and credentials.
            [V2 API] Acquires token from the service for the confidential client using the client credentials flow. (See https://aka.ms/msal-net-client-credentials)
            and will attempt to acquire a new access token using client credentials.
            as credentials proving that the application (the client) is what it claims it is. These credentials can be
            by integrating Wilson's SigningCredentials
            using the client credentials flow. (See https://aka.ms/msal-net-client-credentials)
      <summary>Indicates a SID for Windows credentials capability for app containers.</summary>
 API will ignore the access token in the cache and attempt to acquire new access token using client credentials.
 API will ignore the access token in the cache and attempt to acquire new access token using client credentials</param>
"                        new KeyValuePair<string, string>(""grant_type"", ""client_credentials""),"
"                    { ""grant_type"", ""client_credentials"" }"
"            .NET should use SocketHandler, but UseDefaultCredentials doesn't work with it "
"            <exception cref=""T:System.ArgumentNullException"">'input' or 'signingCredentials' is null.</exception>"
"            <exception cref=""T:System.ArgumentNullException"">If 'encryptingCredentials' is null.</exception>"
"            <exception cref=""T:System.ArgumentNullException"">if <paramref name=""encryptingCredentials""/> is null.</exception>"
"            <exception cref=""T:System.ArgumentNullException"">if <paramref name=""signingCredentials""/> is null.</exception>"
"            <para><see cref=""M:Microsoft.IdentityModel.Tokens.EncryptingCredentials.#ctor(Microsoft.IdentityModel.Tokens.SecurityKey,System.String,System.String)""/> is used to encrypt"
"            <para><see cref=""M:Microsoft.IdentityModel.Tokens.SigningCredentials.#ctor(Microsoft.IdentityModel.Tokens.SecurityKey,System.String)""/> is used to sign <see cref=""P:Sys"
"            <para>If <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.EncryptingCredentials""/>is provided, then a JWE will be created.</para>"
"            <para>If <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.SigningCredentials""/> is provided then a JWS will be created.</para>"
"            <para>If <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.EncryptingCredentials""/> is set, a JWE will be created using the JWT above as the plaintext.</para>"
"            <para>If <see cref=""T:Microsoft.IdentityModel.Tokens.SigningCredentials""/> is provided, then a JWS will be created.</para>"
"            <para>If either <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials""/> or <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.InnerToken""/>.SigningCredential"
"            <para>{ { typ, JWT }, { alg, EncryptingCredentials.Alg }, { enc, EncryptingCredentials.Enc } }</para>"
"            <para>{ { typ, JWT }, { alg, EncryptingCredentials.Algorithm } }</para>"
"            <para>{ { typ, JWT }, { alg, SigningCredentials.Algorithm } }</para>"
"            <param name=""certificate"">The X509 certificate used as credentials to prove the identity of the application to Azure AD.</param>"
"            <param name=""encryptingCredentials""><see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.EncryptingCredentials""/> used creating a JW"
"            <param name=""encryptingCredentials""><see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.EncryptingCredentials""/> used when creating"
"            <param name=""encryptingCredentials"">Contains cryptographic material for encrypting the token.</param>"
"            <param name=""encryptingCredentials"">Contains cryptographic material for encrypting.</param>"
"            <param name=""encryptingCredentials"">Defines the security key and algorithm that will be used to encrypt the <paramref name=""innerJwt""/"
"            <param name=""encryptingCredentials"">Defines the security key and algorithm that will be used to encrypt the JWT.</param>"
"            <param name=""scopes"">Scopes requested to access a protected API. For this flow (client credentials), the scopes"
"            <param name=""scopes"">scopes requested to access a protected API. For this flow (client credentials), the scopes"
"            <param name=""secretLabel"">A user readable label for the secret, e.g. ""Credentials used by Contoso apps""</param>"
"            <param name=""signingCredentials""><see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.SigningCredentials""/> used creating a JWS C"
"            <param name=""signingCredentials""><see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.SigningCredentials""/> used when creating a "
"            <param name=""signingCredentials"">Contains cryptographic material for generating a signature.</param>"
"            <param name=""signingCredentials"">Contains cryptographic material for signing.</param>"
"            <param name=""signingCredentials"">Defines the security key and algorithm that will be used to sign the JWS.</param>"
"            <param name=""signingCredentials"">Defines the security key and algorithm that will be used to sign the JWT.</param>"
"            <param name=""signingCredentials"">The <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials""/> that will "
"            <param name=""signingCredentials"">The <see cref=""T:Microsoft.IdentityModel.Tokens.SigningCredentials""/> that contain crypto specs used to sign the token.</param>"
"            <param name=""tokenProvider"">The source of tokens for these credentials.</param>"
"            <remarks><see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.SigningCredentials""/> is used to sign <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.RawData""/>.</remar"
"            <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.EncryptingCredentials""/>, and/or <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.CompressionAlgorithm"
"            An <see cref=""T:Microsoft.IdentityModel.Tokens.X509EncryptingCredentials""/> designed to construct <see cref=""T:Microsoft.IdentityModel.Tokens.EncryptingCredentials""/> based"
"            Constructor of client (application) credentials from a <see cref=""T:Microsoft.Identity.Client.ClientAssertionCertificate""/>"
"            Constructor of client (application) credentials from a client secret, also known as the application password."
"            Create an access token credentials object, given an interface to a token source."
"            Designed to construct <see cref=""T:Microsoft.IdentityModel.Tokens.EncryptingCredentials""/> based on a x509 certificate."
"            Designed to construct <see cref=""T:Microsoft.IdentityModel.Tokens.EncryptingCredentials""/> based on the x509 certificate, a key wrap algorithm, and data encryption algorithm."
"            Gets the <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.EncryptingCredentials""/> passed in the constructor."
"            Gets the <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.SigningCredentials""/> passed in the constructor."
"            Gets the <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.EncryptingCredentials""/> to use when writing this token."
"            Gets the <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials""/> to use when writing this token."
"            Initializes a new instance of the <see cref=""T:Microsoft.IdentityModel.Tokens.EncryptingCredentials""/> class."
"            Initializes a new instance of the <see cref=""T:Microsoft.IdentityModel.Tokens.SigningCredentials""/> class."
"            Initializes a new instance of the <see cref=""T:Microsoft.Rest.CertificateCredentials""/>"
"            Initializes a new instance of the <see cref=""T:Microsoft.Rest.TokenCredentials""/>"
"            Users can override the default <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.CryptoProviderFactory""/> with this property. This factory will be used for creating encryption prov"
"            Users can override the default <see cref=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.CryptoProviderFactory""/> with this property. This factory will be used for creating signature provi"
"            using the client credentials flow. See <see href=""https://aka.ms/msal-net-client-credentials"">Client Credentials Flow</see>."
"           Initializes a new instance of the <see cref=""T:Microsoft.IdentityModel.Tokens.X509SigningCredentials""/> class."
"        <member name=""F:Microsoft.Rest.TokenCredentials.BearerTokenType"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.EncryptingCredentials.#ctor(Microsoft.IdentityModel.Tokens.SecurityKey,System.String,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.EncryptingCredentials.#ctor(Microsoft.IdentityModel.Tokens.SymmetricSecurityKey,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.EncryptingCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2,System.String,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.SigningCredentials.#ctor(Microsoft.IdentityModel.Tokens.SecurityKey,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.SigningCredentials.#ctor(Microsoft.IdentityModel.Tokens.SecurityKey,System.String,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.SigningCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.SigningCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.X509EncryptingCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.X509EncryptingCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2,System.String,System.String)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.X509SigningCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.X509SigningCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2,System.String)"">"
"        <member name=""M:Microsoft.Rest.BasicAuthenticationCredentials.ProcessHttpRequestAsync(System.Net.Http.HttpRequestMessage,System.Threading.CancellationToken)"">"
"        <member name=""M:Microsoft.Rest.CertificateCredentials.#ctor(System.Security.Cryptography.X509Certificates.X509Certificate2)"">"
"        <member name=""M:Microsoft.Rest.CertificateCredentials.InitializeServiceClient``1(Microsoft.Rest.ServiceClient{``0})"">"
"        <member name=""M:Microsoft.Rest.ServiceClientCredentials.InitializeServiceClient``1(Microsoft.Rest.ServiceClient{``0})"">"
"        <member name=""M:Microsoft.Rest.ServiceClientCredentials.ProcessHttpRequestAsync(System.Net.Http.HttpRequestMessage,System.Threading.CancellationToken)"">"
"        <member name=""M:Microsoft.Rest.TokenCredentials.#ctor(Microsoft.Rest.ITokenProvider)"">"
"        <member name=""M:Microsoft.Rest.TokenCredentials.#ctor(Microsoft.Rest.ITokenProvider,System.String,System.String)"">"
"        <member name=""M:Microsoft.Rest.TokenCredentials.#ctor(System.String)"">"
"        <member name=""M:Microsoft.Rest.TokenCredentials.#ctor(System.String,System.String)"">"
"        <member name=""M:Microsoft.Rest.TokenCredentials.ProcessHttpRequestAsync(System.Net.Http.HttpRequestMessage,System.Threading.CancellationToken)"">"
"        <member name=""P:Microsoft.Identity.Client.AuthorityInfo.IsSha2CredentialSupported"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Alg"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.CryptoProviderFactory"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Enc"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.KeyExchangePublicKey"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.SetDefaultCtyClaim"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.EncryptingCredentials"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.SigningCredentials"">"
