    SharpGraphView.exe
"                    Console.WriteLine(""SharpGraph.exe"
"                    Console.WriteLine(""SharpGraphView.exe"
"                    Console.WriteLine(""SharpMgGraph.exe"
"            <summary><see cref=""T:System.Threading.Exe"
"            running within that <see cref=""T:System.Threading.Exe"
"        <member name=""M:Microsoft.Identity.Client.AbstractPublicClientAcquireTokenParameterBuilder`1.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenByAuthorizationCodeParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenByRefreshTokenParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenByUsernamePasswordParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenForClientParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenForManagedIdentityParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenInteractiveParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenOnBehalfOfParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenSilentParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.AcquireTokenWithDeviceCodeParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.BaseAbstractAcquireTokenParameterBuilder`1.Exe"
"        <member name=""M:Microsoft.Identity.Client.GetAuthorizationRequestUrlParameterBuilder.Exe"
"        <member name=""M:Microsoft.Identity.Client.Utils.RetryOperationHelper.Exe"
"        <member name=""M:Microsoft.Rest.TransientFaultHandling.RetryPolicy.Exe"
"       <member name=""M:Microsoft.Identity.Client.AbstractClientAppBaseAcquireTokenParameterBuilder`1.Exe"
"     <member name=""M:Microsoft.Identity.Client.AbstractManagedIdentityAcquireTokenParameterBuilder`1.Exe"
"    <member name=""F:System.Security.AccessControl.FileSystemRights.Exe"
"  <member name=""M:Microsoft.Identity.Client.AbstractConfidentialClientAcquireTokenParameterBuilder`1.Exe"
" all flows. Use by implementing <see cref=""M:Microsoft.Identity.Client.Internal.Requests.RequestBase.Exe"
".FileSystemRights.Read"" /> right and the <see cref=""F:System.Security.AccessControl.FileSystemRights.Exe"
"IAsyncStateMachine.MoveNext""/> on the state machine while guarding the <see cref=""T:System.Threading.Exe"
.\SharpGraphView.exe
C:\Users\user0\source\repos\SharpGraphView\SharpGraphView\bin\Release\SharpGraphView.exe
C:\Users\user0\source\repos\SharpGraphView\SharpGraphView\obj\Release\SharpGraphView.exe
Client.AcquireTokenByIntegratedWindowsAuthParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
Identity.Client.AcquireTokenByRefreshTokenParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
Identity.Client.AcquireTokenWithDeviceCodeParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
PS > .\SharpGraphView.exe
oft.Identity.Client.AcquireTokenOnBehalfOfParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
soft.Identity.Client.AcquireTokenForClientParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
tity.Client.AcquireTokenForManagedIdentityParameterBuilder.#ctor(Microsoft.Identity.Client.ApiConfig.Exe
