"{	s"""
"{ ""alg"", ""RS256"" "
"{ ""aud"", audience "
"{ ""client_assertion"", signedJWT "
"{ ""client_assertion_type"", ""urn:ietf:params:oauth:client-assertion-type:jwt-bearer"" "
"{ ""client_id"", ClientId "
"{ ""client_id"", Config.id "
"{ ""client_id"", clientId "
"{ ""code"", deviceCode "
"{ ""exp"", jwtExpiration "
"{ ""grant_type"", ""client_credentials"" "
"{ ""grant_type"", ""refresh_token"" "
"{ ""grant_type"", ""urn:ietf:params:oauth:grant-type:device_code"" "
"{ ""iss"", appId "
"{ ""jti"", Guid.NewGuid() "
"{ ""nbf"", notBefore "
"{ ""refresh_token"", refreshToken "
"{ ""resource"", Resource "
"{ ""resource"", resource "
"{ ""scope"", ""https://management.azure.com/.default"" "
"{ ""scope"", ""openid"" "
"{ ""scope"", scope "
"{ ""sub"", appId "
"{ ""typ"", ""JWT"" "
"{ ""x5t"", x5t "
"{ 'Claim.Type', 'Claim.Value' "
"{ 'Claim.Type', List&lt;object&gt; "
"{ 123, ""Four"" "
"{ <see cref=""F:Microsoft.IdentityModel.JsonWebTokens.JwtHeaderParameterNames.Alg""/>, <see cref=""F:Microsoft.IdentityModel.Tokens.SecurityAlgorithms.None""/> "
"{ Name, Value "
"{ acr, 'value' "
"{ actort, 'value' "
"{ alg, EncryptingCredentials.Alg "
"{ alg, EncryptingCredentials.Algorithm "
"{ alg, SigningCredentials.Algorithm "
"{ amr, 'value' "
"{ aud, 'audience' "
"{ aud, 'value' "
"{ auth_time, 'value' "
"{ azp, 'value' "
"{ c_hash, 'value' "
"{ displayName = ""Application Administrator"", roleTemplateId = ""9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3"" "
"{ displayName = ""Authentication Administrator"", roleTemplateId = ""c4e39bd9-1100-46d3-8c65-fb160da0071f"" "
"{ displayName = ""Azure AD Joined Device Local Administrator"", roleTemplateId = ""9f06204d-73c1-4d4c-880a-6edb90606fd8"" "
"{ displayName = ""Directory Readers"", roleTemplateId = ""88d8e3e3-8f55-4a1e-953a-9b9898b8876b"" "
"{ displayName = ""Directory Synchronization Accounts"", roleTemplateId = ""d29b2b05-8046-44ba-8758-1e26182fcf32"" "
"{ displayName = ""Global Administrator"", roleTemplateId = ""62e90394-69f5-4237-9190-012177145e10"" "
"{ displayName = ""Global Reader"", roleTemplateId = ""f2ef992c-3afb-46b9-b7cf-a126ee74c451"" "
"{ displayName = ""Groups Administrator"", roleTemplateId = ""fdd7a751-b60b-444a-984c-02652fe8fa1c"" "
"{ displayName = ""Helpdesk Administrator"", roleTemplateId = ""729827e3-9c14-49f7-bb1b-9608f156bbb8"" "
"{ displayName = ""Password Administrator"", roleTemplateId = ""966707d0-3269-4727-9be2-8c3a10f19b9d"" "
"{ displayName = ""Privileged Authentication Administrator"", roleTemplateId = ""7be44c8a-adaf-4e2a-84d6-ab2649e08a13"" "
"{ displayName = ""Security Reader"", roleTemplateId = ""5d6b6bb7-de71-4623-b4af-96380a352509"" "
"{ displayName = ""User Administrator"", roleTemplateId = ""fe930be7-5e62-47db-91af-98c3a49a38b1"" "
"{ enc, EncryptingCredentials.Enc "
"{ exp, 'value' "
"{ iat, 'value' "
"{ iss, 'issuer' "
"{ iss, 'value' "
"{ jti, 'value' "
"{ key, 'value' "
"{ name, value "
"{ nbf, 'value' "
"{ nonce, 'value' "
"{ sub, 'value' "
"{ zip, 'value' "
"{ { typ, JWT "
"{""O"
"{?I$"""
"{@L-HO6"""
"{G_"">{"
"{Microsoft.Identity.Client.AssertionRequestOptions,System.Threading.Tasks.Task{System.String"
"{Microsoft.Identity.Client.DeviceCodeResult,System.Threading.Tasks.Task"
