                        Config.key = args[iter + 1];
                string keyName = Config.key;
      if (string.IsNullOrEmpty(Config.tenant) || Config.id == null || Config.query == null || Config.key == null) //Config.key
 Get-AKVCertificate -kvURI '{Config.query}' -AppKeyVaultToken {Config.accessToken} -keyName '{Config.key}'
"                                Console.WriteLine($""{property.Key}: {property.Value}"");"
"                            Console.WriteLine($""[*] {kvp.Key}: {kvp.Value}"");"
"                            client.DefaultRequestHeaders.Add(header.Key, header.Value);"
"                            if (!property.Key.StartsWith(""@odata.context""))"
"                        Console.WriteLine($""{property.Key}: {property.Value}"");"
"                    if (!property.Key.StartsWith(""@odata.context""))"
"            <exception cref=""T:System.ArgumentOutOfRangeException"">if <paramref name=""key""/>.KeySize is less than the minimum"
"            <para>For a <see cref=""T:Microsoft.IdentityModel.Tokens.SymmetricSecurityKey""/> .Key is returned</para>"
"            <para>When finished with the <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/> call <see cref=""M:Microsoft.IdentityModel.Tokens.CryptoProviderFactory.ReleaseKeyWra"
"            <param name=""keyedHashAlgorithm"">The <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/>"" in use.</param>"
"            <param name=""provider""><see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/> to be released.</param>"
"            <remarks>When finished with the <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/> call <see cref=""M:Microsoft.IdentityModel.Tokens.CryptoProviderFactory.ReleaseHas"
"            <returns>A <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/>.</returns>"
"            <returns>An instance of <see cref=""T:System.Collections.Generic.KeyValuePair`2""/>.</returns>"
"            <returns>An instance of <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/></returns>"
"            <returns>an instance of <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/></returns>"
"            <see cref=""T:Microsoft.IdentityModel.Tokens.SecurityKey""/>.KeySize is less than the size corresponding to the algorithm in <see cref=""P:Microsoft.IdentityModel.To"
"            Called to obtain the byte[] needed to create a <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/>"
"            Calls <see cref=""M:Microsoft.IdentityModel.Tokens.KeyWrapProvider.Dispose(System.Boolean)""/> and <see cref=""M:System.GC.SuppressFinalize(System.Object)""/"
"            Converts a <see cref=""T:System.Collections.Generic.KeyValuePair`2""/> to and from JSON."
"            Creates an instance of <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/> for a specific &lt;SecurityKey, Algorithm>."
"            Gets or sets a user context for a <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/>."
"            Initializes a new instance of the <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/> class used for wrap key and unwrap key."
"            Returns a <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/> for a specific algorithm."
"            Returns a <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/>."
"            This is the minimum <see cref=""T:Microsoft.IdentityModel.Tokens.SymmetricSecurityKey""/>.KeySize when creating and verifying signatures."
"            This provides the opportunity to obtain the <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/> from an object pool."
"            When finished with a <see cref=""T:Microsoft.IdentityModel.Tokens.KeyWrapProvider""/> call this method for cleanup.""/>"
"            any custom handling such as returning the <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/> to an object pool."
"            if custom releasing of the <see cref=""T:System.Security.Cryptography.KeyedHashAlgorithm""/> is desired."
"            or throws a <see cref=""T:System.Collections.Generic.KeyNotFoundException""/> otherwise."
"         willCreateSignatures is true and <see cref=""T:Microsoft.IdentityModel.Tokens.SecurityKey""/>.KeySize is less than the size corresponding to the given algorithm in <see cref=""P:Microsoft.IdentityMo"
"        <member name=""F:Microsoft.Identity.Client.Extensions.Msal.StorageCreationProperties.KeyringAttribute1"">"
"        <member name=""F:Microsoft.Identity.Client.Extensions.Msal.StorageCreationProperties.KeyringAttribute2"">"
"        <member name=""F:Microsoft.Identity.Client.Extensions.Msal.StorageCreationProperties.KeyringCollection"">"
"        <member name=""F:Microsoft.Identity.Client.Extensions.Msal.StorageCreationProperties.KeyringSchemaName"">"
"        <member name=""F:Microsoft.Identity.Client.Extensions.Msal.StorageCreationProperties.KeyringSecretLabel"">"
"        <member name=""F:Microsoft.Identity.Client.Internal.JsonWebTokenConstants.KeyId"">"
"        <member name=""M:Microsoft.Identity.Json.Converters.KeyValuePairConverter.CanConvert(System.Type)"">"
"        <member name=""M:Microsoft.Identity.Json.Converters.KeyValuePairConverter.ReadJson(Microsoft.Identity.Json.JsonReader,System.Type,System.Object,Microsoft.I"
"        <member name=""M:Microsoft.Identity.Json.Converters.KeyValuePairConverter.WriteJson(Microsoft.Identity.Json.JsonWriter,System.Object,Microsoft.Identity.Jso"
"        <member name=""M:Microsoft.IdentityModel.Tokens.KeyWrapProvider.Dispose"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.KeyWrapProvider.Dispose(System.Boolean)"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.KeyWrapProvider.UnwrapKey(System.Byte[])"">"
"        <member name=""M:Microsoft.IdentityModel.Tokens.KeyWrapProvider.WrapKey(System.Byte[])"">"
"        <member name=""M:Newtonsoft.Json.Converters.KeyValuePairConverter.CanConvert(System.Type)"">"
"        <member name=""M:Newtonsoft.Json.Converters.KeyValuePairConverter.ReadJson(Newtonsoft.Json.JsonReader,System.Type,System.Object,Newtonsoft.Json.Jso"
"        <member name=""M:Newtonsoft.Json.Converters.KeyValuePairConverter.WriteJson(Newtonsoft.Json.JsonWriter,System.Object,Newtonsoft.Json.JsonSerializer"
"        <member name=""P:Microsoft.Identity.Client.AuthScheme.IAuthenticationScheme.KeyId"">"
"        <member name=""P:Microsoft.Identity.Client.AuthScheme.PoP.PopAuthenticationScheme.KeyId"">"
"        <member name=""P:Microsoft.Identity.Client.Cache.Items.MsalAccessTokenCacheItem.KeyId"">"
"        <member name=""P:Microsoft.Identity.Client.Kerberos.KerberosSupplementalTicket.KeyType"">"
"        <member name=""P:Microsoft.IdentityModel.JsonWebTokens.JwtTokenDecryptionParameters.Keys"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.AuthenticatedEncryptionProvider.Key"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.AuthenticatedEncryptionResult.Key"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.ECDsaSecurityKey.KeySize"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EcdhKeyExchangeProvider.KeyDataLen"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.KeyExchangePublicKey"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.JsonWebKey.KeyId"">"
