"('0.', '', '')"
"('0I.', '', '')"
"('0SharpGraphView.', '', '')"
"('0v.', '', '')"
"('1.', '', '')"
"('15m.', '', '')"
"('17.', '', '')"
"('1F.', '', '')"
"('1SharpGraphView.', '', '')"
"('1c.', '', '')"
"('2-spec-os.', '', '-os')"
"('2.', '', '')"
"('2R.', '', '')"
"('2b.', '', '')"
"('2o.', '', '')"
"('3.', '', '')"
"('3I.', '', '')"
"('3Q.', '', '')"
"('4.', '', '')"
"('4SharpGraphView.', '', '')"
"('4i4.', '', '')"
"('5.', '', '')"
"('5Cl.', '', '')"
"('5SharpGraphView.', '', '')"
"('5T.', '', '')"
"('5i.', '', '')"
"('5q.', '', '')"
"('6.', '', '')"
"('65G.', '', '')"
"('66.', '', '')"
"('6DyQ.', '', '')"
"('6Vg.', '', '')"
"('6aKP8.', '', '')"
"('6v.', '', '')"
"('6vZE1.', '', '')"
"('6zcY.', '', '')"
"('7.', '', '')"
"('7424.', '', '')"
"('7SharpGraphView.', '', '')"
"('8.', '', '')"
"('8C.', '', '')"
"('9.', '', '')"
"('987.', '', '')"
"('9Bn.', '', '')"
"('9C6.', '', '')"
"('9I3.', '', '')"
"('9aD.', '', '')"
"('9mMg.', '', '')"
"('A.', '', '')"
"('A2.', '', '')"
"('ADAL.', '', '')"
"('AKVCertificate.', '', '')"
"('ASP.', '', '')"
"('AadAuthorityAudience.', '', '')"
"('AadAuthorityValidator.', '', '')"
"('AbstractAcquireTokenConfidentialClientParameters.', '', '')"
"('AbstractConfidentialClientAcquireTokenParameterBuilderExtension.', '', '')"
"('AbstractPlatformProxy.', '', '')"
"('Abstractions.', '', '')"
"('Accept.', '', '')"
"('AccessAsUser.', '', '')"
"('AccessControl.', '', '')"
"('AccessControlActions.', '', '')"
"('AccessControlModification.', '', '')"
"('AccessControlSections.', '', '')"
"('AccessControlType.', '', '')"
"('AccessRule.', '', '')"
"('Account.', '', '')"
"('AccountExtensions.', '', '')"
"('AccountId.', '', '')"
"('AceEnumerator.', '', '')"
"('AceFlags.', '', '')"
"('AceQualifier.', '', '')"
"('AceType.', '', '')"
"('AcquireTokenByAuthorizationCode.', '', '')"
"('AcquireTokenByAuthorizationCodeParameterBuilder.', '', '')"
"('AcquireTokenByIntegratedWindowsAuthParameterBuilder.', '', '')"
"('AcquireTokenByIntegratedWindowsAuthParameters.', '', '')"
"('AcquireTokenByRefreshTokenParameterBuilder.', '', '')"
"('AcquireTokenByUsernamePasswordParameterBuilder.', '', '')"
"('AcquireTokenByUsernamePasswordParameters.', '', '')"
"('AcquireTokenForClientBuilderExtensions.', '', '')"
"('AcquireTokenForClientParameterBuilder.', '', '')"
"('AcquireTokenForClientParameters.', '', '')"
"('AcquireTokenForManagedIdentityParameterBuilder.', '', '')"
"('AcquireTokenInteractiveParameterBuilder.', '', '')"
"('AcquireTokenInteractiveParameterBuilderExtensions.', '', '')"
"('AcquireTokenInteractiveParameters.', '', '')"
"('AcquireTokenOnBehalfOfParameterBuilder.', '', '')"
"('AcquireTokenOnBehalfOfParameterBuilderExtensions.', '', '')"
"('AcquireTokenOnBehalfOfParameters.', '', '')"
"('AcquireTokenParameterBuilderExtensions.', '', '')"
"('AcquireTokenSilentParameterBuilder.', '', '')"
"('AcquireTokenSilentParameters.', '', '')"
"('AcquireTokenWithDeviceCodeParameterBuilder.', '', '')"
"('AcquireTokenWithDeviceCodeParameters.', '', '')"
"('Activity.', '', '')"
"('ActivityContext.', '', '')"
"('ActivityEvent.', '', '')"
"('ActivityIdFormat.', '', '')"
"('ActivityKind.', '', '')"
"('ActivityLink.', '', '')"
"('ActivityListener.', '', '')"
"('ActivitySamplingResult.', '', '')"
"('ActivitySource.', '', '')"
"('ActivitySpanId.', '', '')"
"('ActivityStatusCode.', '', '')"
"('ActivityTagsCollection.', '', '')"
"('ActivityTraceFlags.', '', '')"
"('ActivityTraceId.', '', '')"
"('AdalResult.', '', '')"
"('AdalResultWrapper.', '', '')"
"('AdalTokenCacheKey.', '', '')"
"('AdalUserInfo.', '', '')"
"('AdditionalErrorInfo.', '', '')"
"('AdfsAuthority.', '', '')"
"('Advanced.', '', '')"
"('Algorithms.', '', '')"
"('Annotations.', '', '')"
"('ApiEvent.', '', '')"
"('App.', '', '')"
"('AppConfig.', '', '')"
"('AppContext.', '', '')"
"('AppServiceManagedIdentitySource.', '', '')"
"('AppTokenProviderParameters.', '', '')"
"('AppTokenProviderResult.', '', '')"
"('ApplicationBase.', '', '')"
"('ApplicationConfiguration.', '', '')"
"('ApplicationOptions.', '', '')"
"('ArrayEnumerator.', '', '')"
"('AssemblyInfo.', '', '')"
"('AssemblyReference.', '', '')"
"('AssertionRequestOptions.', '', '')"
"('AsymmetricAdapter.', '', '')"
"('AsymmetricSecurityKey.', '', '')"
"('AsymmetricSignatureProvider.', '', '')"
"('AsyncExecution.', '', '')"
"('AsyncInterfaces.', '', '')"
"('AsyncIteratorMethodBuilder.', '', '')"
"('AsyncMethodBuilderAttribute.', '', '')"
"('AuditFlags.', '', '')"
"('AuditRule.', '', '')"
"('AuthScheme.', '', '')"
"('AuthSchemeHelper.', '', '')"
"('AuthenticatedEncryptionProvider.', '', '')"
"('AuthenticatedEncryptionResult.', '', '')"
"('AuthenticationHeaderParser.', '', '')"
"('AuthenticationInfoParameters.', '', '')"
"('AuthenticationRequestParameters.', '', '')"
"('AuthenticationResult.', '', '')"
"('AuthenticationResultMetadata.', '', '')"
"('AuthenticationTypes.', '', '')"
"('Authority.', '', '')"
"('AuthorityHelpers.', '', '')"
"('AuthorityInfo.', '', '')"
"('AuthorityInfoHelper.', '', '')"
"('AuthorizationResult.', '', '')"
"('AuthorizationRule.', '', '')"
"('AuthorizationRuleCollection.', '', '')"
"('Automation.', '', '')"
"('AzM.', '', '')"
"('Azure.', '', '')"
"('AzureArcManagedIdentitySource.', '', '')"
"('AzureAsyncOperation.', '', '')"
"('AzureClientExtensions.', '', '')"
"('AzureCloudInstance.', '', '')"
"('AzureOperationResponse.', '', '')"
"('B.', '', '')"
"('B0.', '', '')"
"('B7.', '', '')"
"('Base64UrlEncoder.', '', '')"
"('Base64UrlEncoding.', '', '')"
"('Base64UrlHelpers.', '', '')"
"('Base64UrlJsonConverter.', '', '')"
"('BaseApplicationOptions.', '', '')"
"('BaseConfiguration.', '', '')"
"('BaseConfigurationManager.', '', '')"
"('BasicAuthenticationCredentials.', '', '')"
"('Bcl.', '', '')"
"('BinaryConverter.', '', '')"
"('BinaryData.', '', '')"
"('BootstrapContext.', '', '')"
"('Broker.', '', '')"
"('BrokerOptions.', '', '')"
"('BrokerResult.', '', '')"
"('Bson.', '', '')"
"('BsonObjectId.', '', '')"
"('BsonObjectIdConverter.', '', '')"
"('BsonReader.', '', '')"
"('BsonWriter.', '', '')"
"('Buffers.', '', '')"
"('Byte.', '', '')"
"('C.', '', '')"
"('CC8.', '', '')"
"('CHpy8.', '', '')"
"('CPU.', '', '')"
"('CRC.', '', '')"
"('CSharp.', '', '')"
"('CaCE.', '', '')"
"('Cache.', '', '')"
"('CacheChangedEventArgs.', '', '')"
"('CacheData.', '', '')"
"('CacheFallbackOperations.', '', '')"
"('CacheImpl.', '', '')"
"('CacheLevel.', '', '')"
"('CacheOptions.', '', '')"
"('CacheRefreshReason.', '', '')"
"('CacheSessionManager.', '', '')"
"('Calendar.', '', '')"
"('Calendars.', '', '')"
"('CamelCaseNamingStrategy.', '', '')"
"('CamelCasePropertyNamesContractResolver.', '', '')"
"('CancellationToken.', '', '')"
"('CertificateCredentials.', '', '')"
"('CiamAuthority.', '', '')"
"('Claim.', '', '')"
"('ClaimTypeMapping.', '', '')"
"('ClaimTypes.', '', '')"
"('Claims.', '', '')"
"('ClaimsIdentity.', '', '')"
"('ClaimsPrincipal.', '', '')"
"('Client.', '', '')"
"('ClientApplicationBase.', '', '')"
"('ClientAssertionCertificate.', '', '')"
"('ClientModel.', '', '')"
"('ClientRequestTrackingHandler.', '', '')"
"('ClientRuntime.', '', '')"
"('CloudError.', '', '')"
"('CloudErrorJsonConverter.', '', '')"
"('CloudException.', '', '')"
"('CloudShellManagedIdentitySource.', '', '')"
"('CodeAnalysis.', '', '')"
"('CollectionUtilities.', '', '')"
"('CollectionUtils.', '', '')"
"('Collections.', '', '')"
"('CommentHandling.', '', '')"
"('Common.', '', '')"
"('CommonAce.', '', '')"
"('CommonAcl.', '', '')"
"('CommonCryptographyManager.', '', '')"
"('CommonModels.', '', '')"
"('CommonNonInteractiveHandler.', '', '')"
"('CommonObjectSecurity.', '', '')"
"('CommonSecurityDescriptor.', '', '')"
"('CompilerServices.', '', '')"
"('ComponentModel.', '', '')"
"('Composition.', '', '')"
"('CompoundAce.', '', '')"
"('CompoundAceType.', '', '')"
"('Compression.', '', '')"
"('CompressionAlgorithms.', '', '')"
"('CompressionLevel.', '', '')"
"('CompressionProviderFactory.', '', '')"
"('Concurrent.', '', '')"
"('ConcurrentHashSet.', '', '')"
"('ConfidentialClientApplication.', '', '')"
"('ConfidentialClientApplicationBuilder.', '', '')"
"('ConfidentialClientApplicationBuilderExtensions.', '', '')"
"('ConfidentialClientApplicationExtensions.', '', '')"
"('ConfidentialClientApplicationOptions.', '', '')"
"('Config.', '', '')"
"('Configuration.', '', '')"
"('ConfiguredValueTaskAwaiter.', '', '')"
"('Console.', '', '')"
"('ConstructorHandling.', '', '')"
"('Contacts.', '', '')"
"('Content.', '', '')"
"('Contracts.', '', '')"
"('ControlFlags.', '', '')"
"('ConvertUtils.', '', '')"
"('Converters.', '', '')"
"('CopyLocal.', '', '')"
"('Core.', '', '')"
"('CoreCompileInputs.', '', '')"
"('CoreWebView2Environment.', '', '')"
"('Costura.', '', '')"
"('CosturaUtility.', '', '')"
"('Credential.', '', '')"
"('CredentialHandle.', '', '')"
"('CrossPlatLock.', '', '')"
"('CryptoProviderCache.', '', '')"
"('CryptoProviderCacheOptions.', '', '')"
"('CryptoProviderFactory.', '', '')"
"('Cryptography.', '', '')"
"('Csp.', '', '')"
"('CultureInfo.', '', '')"
"('CustomAce.', '', '')"
"('CustomWebUiHandler.', '', '')"
"('D.', '', '')"
"('DD.', '', '')"
"('DE.', '', '')"
"('DL.', '', '')"
"('DR.', '', '')"
"('Data.', '', '')"
"('DataLossPreventionPolicy.', '', '')"
"('DataProtectionScope.', '', '')"
"('DataSetConverter.', '', '')"
"('DataSetExtensions.', '', '')"
"('DataTableConverter.', '', '')"
"('DateFormatHandling.', '', '')"
"('DateParseHandling.', '', '')"
"('DateTime.', '', '')"
"('DateTimeConverterBase.', '', '')"
"('DateTimeKind.', '', '')"
"('DateTimeUtil.', '', '')"
"('DateTimeZoneHandling.', '', '')"
"('Dc.', '', '')"
"('Debug.', '', '')"
"('Decimal.', '', '')"
"('DefaultContractResolver.', '', '')"
"('DefaultJsonNameTable.', '', '')"
"('DefaultNamingStrategy.', '', '')"
"('DefaultRequestHeaders.', '', '')"
"('DefaultSerializationBinder.', '', '')"
"('DefaultValueHandling.', '', '')"
"('DeflateCompressionProvider.', '', '')"
"('DesignTimeResolveAssemblyReferences.', '', '')"
