"('Anonymous.', '', '')"
"('Cargo.', '', '')"
"('Dbgcore.', '', '')"
"('KtmW32.', '', '')"
"('TypeName.', '', '')"
"('advapi32.', '', '')"
"('blogspot.', '', '')"
"('buff.', '', '')"
"('buffer.', '', '')"
"('cargo-toml-vs-cargo-lock.', '', '-lock')"
"('data.', '', '')"
"('decrypted.', '', '')"
"('domain.', '', '')"
"('dumpy.', '', '')"
"('file.', '', '')"
"('foo.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('h.', '', '')"
"('input.', '', '')"
"('kernel32.', '', '')"
"('license.', '', '')"
"('lsass.', '', '')"
"('m.', '', '')"
"('manifest.', '', '')"
"('metadata.', '', '')"
"('ntdll.', '', '')"
"('opts.', '', '')"
"('output.', '', '')"
"('package.', '', '')"
"('pass.', '', '')"
"('profile.', '', '')"
"('rs.', '', '')"
"('rust-lang.', '', '-lang')"
"('seclogon.', '', '')"
"('shtei.', '', '')"
"('the-hidden-side-of-seclogon-part-3.', '', '-3')"
"('twitter.', '', '')"
"('username.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('xored.', '', '')"
