"('ASP.', '', '')"
"('AutoTest.', '', '')"
"('Beacon.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Cpp.', '', '')"
"('Default.', '', '')"
"('DotSettings.', '', '')"
"('FodyWeavers.', '', '')"
"('GhostDoc.', '', '')"
"('LICENSE.', '', '')"
"('Luid.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Node.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('StartupInfo.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('TestResult.', '', '')"
"('User.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('ackup.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('bytesPair.', '', '')"
"('channel.', '', '')"
"('childContext.', '', '')"
"('cmds.', '', '')"
"('codePair.', '', '')"
"('codegen.', '', '')"
"('commandLine.', '', '')"
"('context.', '', '')"
"('ctx.', '', '')"
"('data.', '', '')"
"('dbproj.', '', '')"
"('findData.', '', '')"
"('format.', '', '')"
"('gSession.', '', '')"
"('gStrategy.', '', '')"
"('github.', '', '')"
"('iiAddress.', '', '')"
"('injection.', '', '')"
"('local.', '', '')"
"('localTime.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('now.', '', '')"
"('ntdll.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('parentContext.', '', '')"
"('pe.', '', '')"
"('pi.', '', '')"
"('processParameters.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('record.', '', '')"
"('relocationsPair.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('sb.', '', '')"
"('settings.', '', '')"
"('si.', '', '')"
"('sln.', '', '')"
"('sof.', '', '')"
"('stage.', '', '')"
"('strategy.', '', '')"
"('tokenPrivileges.', '', '')"
"('transform.', '', '')"
"('ublish.', '', '')"
"('user.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xsd.', '', '')"
