"('Microsoft.', '', '')"
"('bucket.', '', '')"
"('client.', '', '')"
"('clipboard.', '', '')"
"('f.', '', '')"
"('file.', '', '')"
"('flag.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('go.', '', '')"
"('golang.', '', '')"
"('goproxy.', '', '')"
"('kbdstruct.', '', '')"
"('key.', '', '')"
"('keylogger.', '', '')"
"('log.', '', '')"
"('os.', '', '')"
"('oss.', '', '')"
"('procCallNextHookEx.', '', '')"
"('procGetAsyncKeyState.', '', '')"
"('procGetForegroundWindow.', '', '')"
"('procGetKeyState.', '', '')"
"('procGetMessage.', '', '')"
"('procGetWindowTextW.', '', '')"
"('procSetWindowsHookEx.', '', '')"
"('procUnhookWindowsHookEx.', '', '')"
"('strconv.', '', '')"
"('strings.', '', '')"
"('syscall.', '', '')"
"('t.', '', '')"
"('time.', '', '')"
"('unsafe.', '', '')"
"('user.', '', '')"
"('user32.', '', '')"
"('usr.', '', '')"
"('windows.', '', '')"
"('writer.', '', '')"
