"('', '', '', '', '', '', '', '', ' action.dest)', ')', '')"
"('', '', '', '', '', '', '', '', '', '', 'certfile, keyfile ')"
"('', '', '', '', '', '', '', '', '', '', 'custom_mode and service_type ')"
"('', '', '', '', '', '', '', '', '', '', 'get_service else (GS_audit_template if mode ')"
"('', '', '', '', '', '', '', '', '', '', 'interesting_only + args.audit + args.great_candidates + custom_mode) ')"
"('', '', '', '', 'if', ""audit or (re.search(f'{sid_val} ', user_groups) or sid_val.upper() == user_sid.upper().strip())"", '', '', '', '', '')"
"('', '', '', '', 'if', 'audit or (((member and interesting_or_abusable and (args.interesting_only or args.custom_mode)) or (args.great_candidates and great_candidate)))', '', '', '', '', '')"
"('', '', '', '', 'if', 'certfile and args.keyfile', '', '', '', '', '')"
"('', '', '', '', 'if', 'custom_mode', '', '', '', '', '')"
"('', '', '', '', 'if', 'file_input', '', '', '', '', '')"
"('', '', '', '', 'if', 'list_generic', '', '', '', '', '')"
"('', '', '', '', 'if', 'server_address and args.file_input', '', '', '', '', '')"
"('', '', '', '', 'not', 'audit and not args.custom_mode', '', '', '', '', '')"
"('', '', '', '', 'not', 'audit', '', '', '', '', '')"
"('', '', '', '', 'not', 'file_input', '', '', '', '', '')"
"('', '', '', '', 'not', 'keyfile) or (args.keyfile and not args.certfile)', '', '', '', '', '')"
"('', '', '', '', 'not', 'list_generic', '', '', '', '', '')"
"('', '', '', '', 'not', 'server_address and not args.file_input', '', '', '', '', '')"
