"('https://', 'ht', 's', '/TJ_Null', '/', 'TJ_Null')"
"('https://', 'ht', 's', '/badge/Developed%20on-kali%20linux-blueviolet', '/', 'badge/Developed%20on-kali%20linux-blueviolet')"
"('https://', 'ht', 's', '/badge/Experimental-ff0000', '/', 'badge/Experimental-ff0000')"
"('https://', 'ht', 's', '/badge/License-BSD-red.svg', '/', 'badge/License-BSD-red.svg')"
"('https://', 'ht', 's', '/badge/Maintained%3F-Yes-96c40f', '/', 'badge/Maintained%3F-Yes-96c40f')"
"('https://', 'ht', 's', '/badge/PowerShell-%E2%89%A5%20v3.0-blue', '/', 'badge/PowerShell-%E2%89%A5%20v3.0-blue')"
"('https://', 'ht', 's', '/badge/Python-%E2%89%A5%203.12-yellow.svg', '/', 'badge/Python-%E2%89%A5%203.12-yellow.svg')"
"('https://', 'ht', 's', '/t3l3machus', '/', 't3l3machus')"
"('https://', 'ht', 's', '/t3l3machus/ACEshark', '/', 't3l3machus/ACEshark')"
"('https://', 'ht', 's', '/t3l3machus/ACEshark/blob/main/LICENSE', '/', 't3l3machus/ACEshark/blob/main/LICENSE')"
"('https://', 'ht', 's', '/user-attachments/assets/09789877-665d-476a-8c2c-a86000380614', '/', 'user-attachments/assets/09789877-665d-476a-8c2c-a86000380614')"
"('https://', 'ht', 's', '/user-attachments/assets/e292d618-1aa2-4431-953f-96c9a888e2a5', '/', 'user-attachments/assets/e292d618-1aa2-4431-953f-96c9a888e2a5')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/Pri3st', '/', 'Pri3st')"
