"('12-yellow.', '', '-yellow')"
"('ACEshark.', '', '')"
"('IO.', '', '')"
"('License-BSD-red.', '', '-red')"
"('Principal.', '', '')"
"('User.', '', '')"
"('accesschk.', '', '')"
"('ace.', '', '')"
"('action.', '', '')"
"('addr.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('content.', '', '')"
"('data.', '', '')"
"('datetime.', '', '')"
"('disallowed.', '', '')"
"('file.', '', '')"
"('github.', '', '')"
"('headers.', '', '')"
"('http.', '', '')"
"('httpd.', '', '')"
"('item.', '', '')"
"('l.', '', '')"
"('line.', '', '')"
"('name.', '', '')"
"('os.', '', '')"
"('parse.', '', '')"
"('part.', '', '')"
"('path.', '', '')"
"('payload.', '', '')"
"('python.', '', '')"
"('r.', '', '')"
"('re.', '', '')"
"('requirements.', '', '')"
"('rfile.', '', '')"
"('sc.', '', '')"
"('self.', '', '')"
"('shields.', '', '')"
"('sid.', '', '')"
"('socket.', '', '')"
"('ssl.', '', '')"
"('stat.', '', '')"
"('tmp.', '', '')"
"('type.', '', '')"
"('urllib.', '', '')"
"('val.', '', '')"
"('wfile.', '', '')"
"('x.', '', '')"
