"('https://', 'ht', 's', '/82971998/230731975-a70abd1c-279b-4e79-9e91-6b5212b7db9a.png', '/', '82971998/230731975-a70abd1c-279b-4e79-9e91-6b5212b7db9a.png')"
"('https://', 'ht', 's', '/82971998/230732045-ca2638fe-4f3c-4926-8f94-4fff817ca585.png', '/', '82971998/230732045-ca2638fe-4f3c-4926-8f94-4fff817ca585.png')"
"('https://', 'ht', 's', '/@0xHossam/av-edr-evasion-malware-development-933e50f47af5', '/', '@0xHossam/av-edr-evasion-malware-development-933e50f47af5')"
"('https://', 'ht', 's', '/@0xHossam/av-edr-evasion-malware-development-p-4-162662bb630e', '/', '@0xHossam/av-edr-evasion-malware-development-p-4-162662bb630e')"
"('https://', 'ht', 's', '/@0xHossam/av-edr-evasion-malware-development-p2-7a947f7db354', '/', '@0xHossam/av-edr-evasion-malware-development-p2-7a947f7db354')"
"('https://', 'ht', 's', '/@0xHossam/unhooking-memory-object-hiding-3229b75618f7', '/', '@0xHossam/unhooking-memory-object-hiding-3229b75618f7')"
"('https://', 'ht', 's', '/abdallah-elsharif', '/', 'abdallah-elsharif')"
"('https://', 'ht', 's', '/abdallah-elsharif/hellMaker/blob/main/samples/calc64.c#L610', '/', 'abdallah-elsharif/hellMaker/blob/main/samples/calc64.c#L610')"
"('https://', 'ht', 's', '/images/result/07OkIKKhpRsG.png', '/', 'images/result/07OkIKKhpRsG.png')"
"('https://', 'ht', 's', '/malware/2023/04/08/malware-av-evasion-15.html', '/', 'malware/2023/04/08/malware-av-evasion-15.html')"
"('https://', 'ht', 's', '/malware/2023/04/16/malware-av-evasion-16.html', '/', 'malware/2023/04/16/malware-av-evasion-16.html')"
"('www.', 'ht', 's', '/miscellaneous-reversing-forensics/windows-kernel-internals/etw-event-tracing-for-windows-101', '/', 'miscellaneous-reversing-forensics/windows-kernel-internals/etw-event-tracing-for-windows-101')"
"('www.', 'ht', 's', '/offensive-security/code-injection-process-injection/modulestomping-dll-hollowing-shellcode-injection', '/', 'offensive-security/code-injection-process-injection/modulestomping-dll-hollowing-shellcode-injection')"
"('www.', 'ht', 's', '/offensive-security/defense-evasion/how-to-unhook-a-dll-using-c', '/', 'offensive-security/defense-evasion/how-to-unhook-a-dll-using-c')"
