"('ERROR("" NtAllocateVirtualMemory Hooked\\n"")', 'ERROR')"
"('ERROR("" NtAllocateVirtualMemory is Hooked\\n"")', 'ERROR')"
"('ERROR("" NtCreateThreadEx is Hooked\\n"")', 'ERROR')"
"('ERROR("" NtProtectVirtualMemory Hooked\\n"")', 'ERROR')"
"('ERROR("" NtProtectVirtualMemory is Hooked\\n"")', 'ERROR')"
"('ERROR("" NtQueryInformationThread Hooked\\n"")', 'ERROR')"
"('ERROR(""Failed to converting protection to RW (%u)\\n"", GetLastError())', 'ERROR')"
"('ERROR(""Failed to load required system functions."")', 'ERROR')"
"('ERROR(""I got you sandbox, it\'s can\'t be run here :(\\n"")', 'ERROR')"
"('ERROR(""NUMA memory allocate failed :( \\n"")', 'ERROR')"
"('ERROR(""Sandbox detected - Filename changed :( \\n"")', 'ERROR')"
"('ERROR(""The nonexistent file is detected !!! trying to exit"")', 'ERROR')"
"('ERROR(""\\tFirst bytes are HOOKED : "")', 'ERROR')"
"('ERROR(""failed to get a handle to %s\\n"", lModuleName)', 'ERROR')"
