"('07OkIKKhpRsG.', '', '')"
"('230731975-a70abd1c-279b-4e79-9e91-6b5212b7db9a.', '', '-6b5212b7db9a')"
"('230732045-ca2638fe-4f3c-4926-8f94-4fff817ca585.', '', '-4fff817ca585')"
"('FileHeader.', '', '')"
"('FullDllName.', '', '')"
"('Misc.', '', '')"
"('OptionalHeader.', '', '')"
"('Shlwapi.', '', '')"
"('amsi.', '', '')"
"('antiscan.', '', '')"
"('cl.', '', '')"
"('facebook.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '-images')"
"('ired.', '', '')"
"('kernel32.', '', '')"
"('killer.', '', '')"
"('malware-av-evasion-15.', '', '-15')"
"('malware-av-evasion-16.', '', '-16')"
"('medium.', '', '')"
"('mi.', '', '')"
"('ms.', '', '')"
"('s.', '', '')"
