"('HTTP://', 'HT', '', ':80', '', ':80')"
"('HTTP://', 'HT', '', ':80/%7Esmith/home.html', '', ':80/%7Esmith/home.html')"
"('HTTPS://', 'HT', 'S', ':443', '', ':443')"
"('WwW.', '', '', '', '', '')"
"('ftp://', 'f', '', '', '', '')"
"('ftp://', 'f', '', '/pub/pkcs/ascii/layman.asc', '/', 'pub/pkcs/ascii/layman.asc')"
"('ftp://', 'f', '', '/pub/site/README', '/', 'pub/site/README')"
"('http://', 'ht', '', '&quot', '', '&quot')"
"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '.1', '', '.1')"
"('http://', 'ht', '', '/#?package=vm2', '/', '#?package=vm2')"
"('http://', 'ht', '', '/#big5-encoder', '/', '#big5-encoder')"
"('http://', 'ht', '', '/#dom-domimplementation-hasfeature', '/', '#dom-domimplementation-hasfeature')"
"('http://', 'ht', '', '/#dom-node-comparedocumentposition', '/', '#dom-node-comparedocumentposition')"
"('http://', 'ht', '', '/#dom-node-parentelement', '/', '#dom-node-parentelement')"
"('http://', 'ht', '', '/#footer', '/', '#footer')"
"('http://', 'ht', '', '/#installing-bower', '/', '#installing-bower')"
"('http://', 'ht', '', '/#semantic-versioning-200', '/', '#semantic-versioning-200')"
"('http://', 'ht', '', '/#utf-16le', '/', '#utf-16le')"
"('http://', 'ht', '', '/#x7.6.1', '/', '#x7.6.1')"
"('http://', 'ht', '', '/#x7.6.1.1', '/', '#x7.6.1.1')"
"('http://', 'ht', '', '/#x7.6.1.2', '/', '#x7.6.1.2')"
"('http://', 'ht', '', '/2003/05/20.html#item570', '/', '2003/05/20.html#item570')"
"('http://', 'ht', '', '/2003/05/27.html#item571', '/', '2003/05/27.html#item571')"
"('http://', 'ht', '', '/2003/05/30.html#item572', '/', '2003/05/30.html#item572')"
"('http://', 'ht', '', '/2003/06/03.html#item573', '/', '2003/06/03.html#item573')"
"('http://', 'ht', '', '/2003/12/13/atom03', '/', '2003/12/13/atom03')"
"('http://', 'ht', '', '/2003/12/13/atom03.html', '/', '2003/12/13/atom03.html')"
"('http://', 'ht', '', '/2003/12/13/atom03/edit', '/', '2003/12/13/atom03/edit')"
"('http://', 'ht', '', '/2004/06/soap/workarea', '/', '2004/06/soap/workarea')"
"('http://', 'ht', '', '/2006/webapi/FileAPI', '/', '2006/webapi/FileAPI')"
"('http://', 'ht', '', '/2006/webapi/WebIDL/#es-type-mapping', '/', '2006/webapi/WebIDL/#es-type-mapping')"
"('http://', 'ht', '', '/2006/webapi/XMLHttpRequest-2/Overview.html#the-formdata-interface', '/', '2006/webapi/XMLHttpRequest-2/Overview.html#the-formdata-interface')"
"('http://', 'ht', '', '/2008/05/jsdump-pretty-dump-of-any-javascript.html', '/', '2008/05/jsdump-pretty-dump-of-any-javascript.html')"
"('http://', 'ht', '', '/2009/01/32-bytes-to-know-if-your-browser-is-ie.html', '/', '2009/01/32-bytes-to-know-if-your-browser-is-ie.html')"
"('http://', 'ht', '', '/2011/03/create-complex-regexps-more-easily', '/', '2011/03/create-complex-regexps-more-easily')"
"('http://', 'ht', '', '/2011/08/hall-of-api-shame-boolean-trap.html', '/', '2011/08/hall-of-api-shame-boolean-trap.html')"
"('http://', 'ht', '', '/2013/10/topological-sortingkahn-algorithm.html', '/', '2013/10/topological-sortingkahn-algorithm.html')"
"('http://', 'ht', '', '/2014/01/a-critique-of-commander-for-nodejs.html', '/', '2014/01/a-critique-of-commander-for-nodejs.html')"
"('http://', 'ht', '', '/2014/06/why-i-dont-use-nodes-core-stream-module.html', '/', '2014/06/why-i-dont-use-nodes-core-stream-module.html')"
"('http://', 'ht', '', '/2014/07/03/dont-use-jquery-latest-js', '/', '2014/07/03/dont-use-jquery-latest-js')"
"('http://', 'ht', '', '/2018/07/25/antsword_prompt_shell', '/', '2018/07/25/antsword_prompt_shell')"
"('http://', 'ht', '', '/3.6.0/build/datatable-sort/assets/skins/sam/sort-arrow-sprite.png', '/', '3.6.0/build/datatable-sort/assets/skins/sam/sort-arrow-sprite.png')"
"('http://', 'ht', '', '/3.6.0/build/yui/yui-min.js', '/', '3.6.0/build/yui/yui-min.js')"
"('http://', 'ht', '', '/31950192', '/', '31950192')"
"('http://', 'ht', '', '/32x32', '/', '32x32')"
"('http://', 'ht', '', '/9O1xHFb.png', '/', '9O1xHFb.png')"
"('http://', 'ht', '', '/Archives/Public/public-web-perf/2011Jun/0100.html', '/', 'Archives/Public/public-web-perf/2011Jun/0100.html')"
"('http://', 'ht', '', '/CSSOM/docs/parse.html#css=div%20%7B%0A%20%20%20%20%20%20background%3A%20gray%3B%0A%20%20%20%20background%3A%20linear-gradient', '/', 'CSSOM/docs/parse.html#css=div%20%7B%0A%20%20%20%20%20%20background%3A%20gray%3B%0A%20%20%20%20background%3A%20linear-gradient')"
"('http://', 'ht', '', '/CSSOM/docs/parse.html', '/', 'CSSOM/docs/parse.html')"
"('http://', 'ht', '', '/CSSOM/spec', '/', 'CSSOM/spec')"
"('http://', 'ht', '', '/Constellation', '/', 'Constellation')"
"('http://', 'ht', '', '/FooBarWidget/multipart-parser', '/', 'FooBarWidget/multipart-parser')"
"('http://', 'ht', '', '/GCTC/gctc_e.htm', '/', 'GCTC/gctc_e.htm')"
"('http://', 'ht', '', '/IEContentLoaded', '/', 'IEContentLoaded')"
"('http://', 'ht', '', '/LICENSE', '/', 'LICENSE')"
"('http://', 'ht', '', '/NWMatcher', '/', 'NWMatcher')"
"('http://', 'ht', '', '/NWMatcher/MIT-LICENSE', '/', 'NWMatcher/MIT-LICENSE')"
"('http://', 'ht', '', '/NWMatcher/nwmatcher.js', '/', 'NWMatcher/nwmatcher.js')"
"('http://', 'ht', '', '/OFL', '/', 'OFL')"
"('http://', 'ht', '', '/QUnit', '/', 'QUnit')"
"('http://', 'ht', '', '/Raynos/xtend', '/', 'Raynos/xtend')"
"('http://', 'ht', '', '/Raynos/xtend.png', '/', 'Raynos/xtend.png')"
"('http://', 'ht', '', '/Underscore.php', '/', 'Underscore.php')"
"('http://', 'ht', '', '/UnderscoreCF', '/', 'UnderscoreCF')"
"('http://', 'ht', '', '/_.m', '/', '_.m')"
"('http://', 'ht', '', '/a/1068308/13216', '/', 'a/1068308/13216')"
"('http://', 'ht', '', '/a/16459606/376773', '/', 'a/16459606/376773')"
"('http://', 'ht', '', '/a/398120/376773', '/', 'a/398120/376773')"
"('http://', 'ht', '', '/a/5982798/376773', '/', 'a/5982798/376773')"
"('http://', 'ht', '', '/a/62888/10333', '/', 'a/62888/10333')"
"('http://', 'ht', '', '/about', '/', 'about')"
"('http://', 'ht', '', '/addClass', '/', 'addClass')"
"('http://', 'ht', '', '/andrew/base62.js', '/', 'andrew/base62.js')"
