"('Error("" disallowed value was matched"")', 'Error')"
"('Error("""" + param)', 'Error')"
"('Error("""" + problemPathTail)', 'Error')"
"('Error("""" + this.typeName)', 'Error')"
"('Error("""" + typeName)', 'Error')"
"('Error("""")', 'Error')"
"('Error("""".concat(reason + timeout, ""ms exceeded""))', 'Error')"
"('Error("""".concat(t+e,""ms exceeded""))', 'Error')"
"('Error(""$and operator used without an array"")', 'Error')"
"('Error(""$each requires an array value"")', 'Error')"
"('Error(""$in operator called with a non-array"")', 'Error')"
"('Error(""$nin operator called with a non-array"")', 'Error')"
"('Error(""$or operator used without an array"")', 'Error')"
"('Error(""$regex operator called with non regular expression"")', 'Error')"
"('Error(""$schema must be a string"")', 'Error')"
"('Error(""$size operator called without an integer"")', 'Error')"
"('Error(""$where function must return boolean"")', 'Error')"
"('Error(""$where operator used without a function"")', 'Error')"
"('Error(""-NUM option can\'t have aliases."")', 'Error')"
"('Error("".end() after done!""))', 'Error')"
"('Error("".field() can\'t be used if .send() is used. Please use only .send() or only .field() & .attach()"")', 'Error')"
"('Error("".field(name, val) name can not be empty"")', 'Error')"
"('Error("".field(name, val) val can not be empty"")', 'Error')"
"('Error("".send() can\'t be used if .attach() or .field() is used. Please use only .send() or only .field() & .attach()"")', 'Error')"
"('Error("".write() after done!""))', 'Error')"
"('Error(""2""))', 'Error')"
"('Error(""3""))', 'Error')"
"('Error("":"" + name + "" isn\'t part of CSS3"")', 'Error')"
"('Error(""@charset not allowed here."",r.startLine,r.startCol)', 'Error')"
"('Error(""@import not allowed here."",r.startLine,r.startCol)', 'Error')"
"('Error(""@namespace not allowed here."",r.startLine,r.startCol)', 'Error')"
"('Error(""A NamedPropertiesTracker has already been created for this object"")', 'Error')"
"('Error(""A fold can\'t intersect already existing fold""+e.range+this.range)', 'Error')"
"('Error(""A promises callback cannot return that same promise."")', 'Error')"
"('Error(""AST contains no nodes at all?"")', 'Error')"
"('Error(""Aborted"")', 'Error')"
"('Error(""Already at the first node. "" + this.debugInfo())', 'Error')"
"('Error(""Already at the last node. "" + this.debugInfo())', 'Error')"
