"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '00', '', '00', '', '', '', '')"
"('', '', '', '', '', '000', '', '000', '', '', '', '')"
"('', '', '', '', '', '0000', '', '0000', '', '', '', '')"
"('', '', '', '', '', '0001', '', '0001', '', '', '', '')"
"('', '', '', '', '', '0002', '', '0002', '', '', '', '')"
"('', '', '', '', '', '0004', '', '0004', '', '', '', '')"
"('', '', '', '', '', '0007', '', '0007', '', '', '', '')"
"('', '', '', '', '', '000F', '', '000F', '', '', '', '')"
"('', '', '', '', '', '0010', '', '0010', '', '', '', '')"
"('', '', '', '', '', '0014', '', '0014', '', '', '', '')"
"('', '', '', '', '', '0016', '', '0016', '', '', '', '')"
"('', '', '', '', '', '0023', '', '0023', '', '', '', '')"
"('', '', '', '', '', '0024', '', '0024', '', '', '', '')"
"('', '', '', '', '', '0025', '', '0025', '', '', '', '')"
"('', '', '', '', '', '0027', '', '0027', '', '', '', '')"
"('', '', '', '', '', '0028', '', '0028', '', '', '', '')"
"('', '', '', '', '', '0032', '', '0032', '', '', '', '')"
"('', '', '', '', '', '0039', '', '0039', '', '', '', '')"
"('', '', '', '', '', '0040', '', '0040', '', '', '', '')"
"('', '', '', '', '', '0044', '', '0044', '', '', '', '')"
"('', '', '', '', '', '0046', '', '0046', '', '', '', '')"
"('', '', '', '', '', '0048', '', '0048', '', '', '', '')"
"('', '', '', '', '', '0052', '', '0052', '', '', '', '')"
"('', '', '', '', '', '0054', '', '0054', '', '', '', '')"
"('', '', '', '', '', '0057', '', '0057', '', '', '', '')"
"('', '', '', '', '', '0058', '', '0058', '', '', '', '')"
"('', '', '', '', '', '0062', '', '0062', '', '', '', '')"
"('', '', '', '', '', '0063', '', '0063', '', '', '', '')"
"('', '', '', '', '', '0064', '', '0064', '', '', '', '')"
"('', '', '', '', '', '0069', '', '0069', '', '', '', '')"
"('', '', '', '', '', '0073', '', '0073', '', '', '', '')"
"('', '', '', '', '', '0074', '', '0074', '', '', '', '')"
"('', '', '', '', '', '0075', '', '0075', '', '', '', '')"
"('', '', '', '', '', '0079', '', '0079', '', '', '', '')"
