"(""'$'"", '')"
"(""\x00\x00'g5P"", '')"
"('#{path}', '')"
"('$prefix', '')"
"(')L', '')"
"('--include-prerelease', '')"
"('-P+-P\x023-P\x03J-P\x04a-P', '')"
"('.', '')"
"('../gh-pages/_source', '')"
"('./', '')"
"('./`', '')"
"('./node_modules/lodash-cli/node_modules/lodash;', '')"
"('.browser', '')"
"('1%-P', '')"
"('1=\x01J', '')"
"('5P', '')"
"('>', '')"
"('>/', '')"
"('>>', '')"
"('AFTER_SCRIPT_5', '')"
"('BEFORE_SCRIPT_5', '')"
"('HP', '')"
"('MV', '')"
"('P/P\x0eP/P\x11P/P\x12P\x150P', '')"
"('WrF2p', '')"
"('[GB', '')"
"('\\-t', '')"
"('\x00', '')"
"('\x000P:\x001P:\x002P:\x042P', '')"
"('\x000p', '')"
"('\x0087g7p', '')"
"('\x00>p', '')"
"('\x00Ap', '')"
"('\x00B6p5p', '')"
"('\x00Np', '')"
"('\x00\x08g7P', '')"
"('\x00g5p', '')"
"('\x01U\x01.P', '')"
"('\x01\x06\x12.p', '')"
"('\x01\x12.p', '')"
"('\x01m\x01.P', '')"
"('\x03@W\x12T\x7fv\x15*', '')"
"('\x04\x00+J-', '')"
"('\x04\x00\x0eJ-X', '')"
"('\x158NhcWG/O', '')"
"('\x1a\x004P:\x1a\x005P:\x1a\x00;P:\x1a\x00<P:\x1a\x00=P:\x1a\x00>P:\x1a\x00?P:\x1a\x00@P:\x1a\x00DP:\x1a\x00EP:\x1a@EP:\x1a`EP:\x1a\x00FP:\x1a\x00GP:\x1a\x00HP\x03;\x1a\x00JP', '')"
"('authentication.', '')"
"('before{content:', '')"
"('dist', '')"
"('fZZP', '')"
"('lib', '')"
"('lint:*', '')"
"('m', '')"
"('o', '')"
"('src/', '')"
"('stream.readable', '')"
"('test2', '')"
"('tinyify', '')"
"('|', '')"
"('}ZZP', '')"
