"('A', 'P', '')"
"('A', 'Q', '')"
"('G', 'G', '')"
"('K', 'L5K', '')"
"('K', 'LzK', '')"
"('K', 'S', '')"
"('L', 'KOLB\\KTLJ\\KUL', '')"
"('L', 'S', '')"
"('L', 'n ', '')"
"('L', 'n\\t ', '')"
"('N', 'EN', '')"
"('N', 'GN', '')"
"('N', 'NN', '')"
"('O', 'n', '')"
"('Q', 'Q', '')"
"('R', 'n      mappings ', '')"
"('R', 'n\\t      mappings ', '')"
"('T', 'T', '')"
"('X', 'zYt', '')"
"('a', 'E', '')"
"('a', 'a', '')"
"('a', 'aB\\aJ\\cR\\c', '')"
"('a', 'n ', '')"
"('a', 'n', '')"
"('a', 'n\\t ', '')"
"('a', 'za', '')"
"('c', 'n', '')"
"('d', ""n\\n')"", '')"
"('e', 'n    ', '')"
"('e', 'n  ', '')"
"('e', 'n', '')"
"('e', 'n\\t    ', '')"
"('e', 'n\\t  ', '')"
"('e', 'n\\t\\tlet m ', '')"
"('f', ""n' "", '')"
"('f', 'n  ', '')"
"('f', 'n\\t  ', '')"
"('g', '6gF\\6gW\\6gc\\6gk\\6g', '')"
"('h', 'l', '')"
"('h', 'nActual', '')"
"('i', 'UG', '')"
"('l', 'Bam', '')"
"('m', 'n', '')"
"('m', 'n\\t', '')"
"('p', 'n\\twhile (handledCPCount ', '')"
"('r', 'n ', '')"
"('r', 'n', '')"
"('r', 'n\\t ', '')"
"('s', ""n'"", '')"
"('s', ""n')"", '')"
"('s', 'n    ', '')"
"('s', 'n  ', '')"
"('s', 'n ', '')"
"('s', 'n - ', '')"
"('s', 'n', '')"
"('s', 'n\\t    ', '')"
"('s', 'n\\t  ', '')"
"('s', 'n\\t ', '')"
"('t', 'n      throw new Error(', '')"
"('t', 'n ', '')"
"('t', 'n', '')"
"('t', 'n\\t      throw new Error(', '')"
"('t', 'n\\t ', '')"
"('t', 'n\\t\\t\\t\\t\\t\\tunknownHeaders ', '')"
"('w', 'd_', '')"
"('w', 'n\\t\\tif (floor(i ', '')"
"('y', 'n', '')"
