"('0-9.', '', '-9')"
"('0-beta.', '', '-beta')"
"('0-dev-harmony-fb.', '', '-fb')"
"('0-h.', '', '-h')"
"('0.', '', '')"
"('0.', '', '-0')"
"('0.', '', '-1')"
"('0.', '', '-2')"
"('0.', '', '-3')"
"('0.', '', '-4')"
"('0.', '', '-5')"
"('0.', '', '-6')"
"('0.', '', '-7')"
"('0.', '', '-8')"
"('0.', '', '-9')"
"('0000-dev-harmony-fb.', '', '-fb')"
"('001www.', '', '')"
"('0100.', '', '')"
"('0109.', '', '')"
"('03.', '', '')"
"('0c.', '', '')"
"('0e.', '', '')"
"('0emm.', '', '')"
"('0f.', '', '')"
"('1-l.', '', '-l')"
"('1.', '', '')"
"('1.', '', '-0')"
"('1.', '', '-1')"
"('1.', '', '-11')"
"('1.', '', '-2')"
"('1.', '', '-3')"
"('1.', '', '-4')"
"('1.', '', '-5')"
"('1.', '', '-6')"
"('1.', '', '-7')"
"('1.', '', '-8')"
"('10.', '', '-0')"
"('10.', '', '-1')"
"('10.', '', '-3')"
"('10.', '', '-4')"
"('1000-a.', '', '-a')"
"('1000minds.', '', '')"
"('11.', '', '-1')"
"('11.', '', '-2')"
"('12.', '', '-2')"
"('12.', '', '-3')"
"('123.', '', '')"
"('12hp.', '', '')"
"('13.', '', '-0')"
"('13.', '', '-1')"
"('1337.', '', '')"
"('14.', '', '-1')"
"('14.', '', '-v0')"
"('15-blue.', '', '-blue')"
"('15.', '', '-0')"
"('152083257-29034707-c42c-4959-8add-3cee850e6fcf.', '', '-3cee850e6fcf')"
"('16-b.', '', '-b')"
"('16-d.', '', '-d')"
"('16-i.', '', '-i')"
"('16-this.', '', '-this')"
"('1611820109032-b563426e-015c-4afe-a905-70e878fdcdb6.', '', '-70e878fdcdb6')"
"('1611823243564-26e964c2-6d38-421a-8543-5f1f082a6bbd.', '', '-5f1f082a6bbd')"
"('1611823538382-50fba630-3bd9-4205-b5dd-9cc054da79a8.', '', '-9cc054da79a8')"
"('1611825612518-ca1c4fcc-98a6-4fa3-b55d-f25619c86380.', '', '-f25619c86380')"
"('1611907520850-040bffb1-5bc3-4c1c-a8d1-1e69712f7684.', '', '-1e69712f7684')"
"('18.', '', '-0')"
"('18.', '', '-4')"
"('19.', '', '-2')"
"('1K.', '', '')"
"('1kapp.', '', '')"
"('1u.', '', '')"
"('2-c.', '', '-c')"
"('2-h.', '', '-h')"
"('2-l.', '', '-l')"
"('2-m.', '', '-m')"
"('2-s.', '', '-s')"
"('2-this.', '', '-this')"
"('2.', '', '')"
"('2.', '', '-0')"
"('2.', '', '-1')"
"('2.', '', '-13')"
"('2.', '', '-2')"
"('2.', '', '-3')"
"('2.', '', '-4')"
"('2.', '', '-5')"
"('2.', '', '-6')"
"('2.', '', '-7')"
"('20.', '', '')"
"('20.', '', '-4')"
"('2000.', '', '')"
"('2038.', '', '')"
"('20Chat.', '', '')"
"('20Disclosure-green.', '', '-green')"
"('20file.', '', '')"
"('20style-standard-brightgreen.', '', '-brightgreen')"
"('21.', '', '')"
"('21.', '', '-4')"
"('23.', '', '-0')"
"('24-a.', '', '-a')"
"('24.', '', '-0')"
"('26.', '', '')"
"('2681301534.', '', '')"
"('2685010755.', '', '')"
"('27.', '', '')"
"('280north.', '', '')"
"('28Symbol.', '', '')"
"('28msec.', '', '')"
"('29.', '', '')"
"('29.', '', '-2')"
"('29091486-fa38524c-7c37-11e7-895f-e7ec8e1039b6.', '', '-e7ec8e1039b6')"
"('29091700-a62a6888-7c38-11e7-800b-db911291ca2b.', '', '-db911291ca2b')"
"('29091701-a62ea114-7c38-11e7-826a-2692bedca740.', '', '-2692bedca740')"
"('29091703-a6302cdc-7c38-11e7-8304-7c0b3bc600cd.', '', '-7c0b3bc600cd')"
"('29091956-6bd78372-7c39-11e7-8c55-c948396d6edd.', '', '-c948396d6edd')"
"('29092033-b65f9f2e-7c39-11e7-8e32-f6f0d8e865c1.', '', '-f6f0d8e865c1')"
"('29092181-47f6a9e6-7c3a-11e7-9a14-1928d8a711cd.', '', '-1928d8a711cd')"
"('2Funix.', '', '')"
"('2K.', '', '')"
"('2ix.', '', '')"
"('2x.', '', '')"
"('3.', '', '')"
"('3.', '', '-0')"
"('3.', '', '-1')"
"('3.', '', '-2')"
"('3.', '', '-3')"
"('3.', '', '-4')"
"('3.', '', '-6')"
"('3.', '', '-7')"
"('30.', '', '')"
"('31.', '', '')"
"('31.', '', '-0')"
"('32-b.', '', '-b')"
"('32-bytes-to-know-if-your-browser-is-ie.', '', '-ie')"
"('32-this.', '', '-this')"
"('32HiSUvjPrMwfy5.', '', '')"
"('34.', '', '-1')"
"('37.', '', '-0')"
"('3Hd.', '', '')"
"('3V.', '', '')"
"('3gpp.', '', '')"
"('3gpp2.', '', '')"
"('3lightssoftware.', '', '')"
"('3m.', '', '')"
"('3rd-Eden.', '', '-Eden')"
"('3tCig.', '', '')"
"('3utilities.', '', '')"
"('4-alpha.', '', '-alpha')"
"('4-core-nc.', '', '-nc')"
"('4-t.', '', '-t')"
"('4.', '', '')"
"('4.', '', '-0')"
"('4.', '', '-1')"
"('4.', '', '-2')"
"('4.', '', '-3')"
"('4.', '', '-4')"
"('4.', '', '-6')"
"('42.', '', '')"
"('43.', '', '-0')"
"('47.', '', '')"
"('4lima.', '', '')"
"('4u.', '', '')"
"('5-Math.', '', '-Math')"
"('5.', '', '')"
"('5.', '', '-0')"
"('5.', '', '-1')"
"('5.', '', '-2')"
"('5.', '', '-3')"
"('5.', '', '-5')"
"('509108.', '', '')"
"('5Ph.', '', '')"
"('5c3f2134dcd8f.', '', '')"
"('5c4e8868f178a.', '', '')"
"('5c4e8869c83ae.', '', '')"
"('5c891b279c26a.', '', '')"
"('5c891b2cc1c30.', '', '')"
"('5ca74815a01a4.', '', '')"
"('5ca74819b276e.', '', '')"
"('5ca753673efe7.', '', '')"
"('5ca75368d85fa.', '', '')"
"('5cc3e8ea2abff.', '', '')"
"('5cc3e8ec1c23c.', '', '')"
"('5cc83fafdf0d8.', '', '')"
"('5cc83fb205051.', '', '')"
"('5cd95654c75ac23085.', '', '')"
"('5db11ff4jw1ehcyirr6quj20q00ex42w.', '', '')"
"('6.', '', '')"
"('6.', '', '-0')"
"('6.', '', '-1')"
"('6.', '', '-2')"
"('6.', '', '-6')"
"('6.', '', '-7')"
"('60.', '', '')"
"('64-b.', '', '-b')"
"('6YAAFG8.', '', '')"
"('6zG-d.', '', '-d')"
"('7.', '', '')"
"('7.', '', '-0')"
"('7.', '', '-1')"
"('7.', '', '-2')"
"('7.', '', '-7')"
"('7i.', '', '')"
"('8-b8.', '', '-b8')"
"('8.', '', '')"
"('8.', '', '-0')"
"('8.', '', '-1')"
"('8.', '', '-2')"
"('8K.', '', '')"
"('9-1.', '', '-1')"
"('9.', '', '')"
"('9.', '', '-1')"
"('9.', '', '-2')"
"('9O1xHFb.', '', '')"
"('9Q.', '', '')"
"('9a.', '', '')"
"('9guacu.', '', '')"
"('A.', '', '')"
"('A1ZI-A9ZI.', '', '-A9ZI')"
"('ABC.', '', '')"
"('ADO.', '', '')"
"('ADODB.', '', '')"
"('AES.', '', '')"
"('AIBA.', '', '')"
"('AJI-AJI.', '', '-AJI')"
"('ALL.', '', '')"
"('ALTNAME.', '', '')"
"('API.', '', '')"
"('ARGV.', '', '')"
"('ASN1.', '', '')"
"('ASP.', '', '')"
"('AST.', '', '')"
"('ATTRS.', '', '')"
"('AUTHORS.', '', '')"
"('AVLTree.', '', '')"
"('AXL-AXL.', '', '-AXL')"
"('AXR.', '', '')"
"('AaI-AiI.', '', '-AiI')"
"('Ab.', '', '')"
"('AbstractAws4Signer.', '', '')"
"('Adodb.', '', '')"
"('Ae.', '', '')"
"('AgControl.', '', '')"
"('Agent.', '', '')"
"('AgentBase.', '', '')"
"('Ajv.', '', '')"
"('AjvErrors.', '', '')"
"('Angular.', '', '')"
"('Animation.', '', '')"
"('AntSword.', '', '')"
"('Ap.', '', '')"
"('App.', '', '')"
"('AppManifest.', '', '')"
