"('KEY ', 'KEY', '=', 'unknown_key')"
"('KEYS', 'KEY', ':', 'Backspace')"
"('KEYWORD_STATE ', 'KEY', '=', 'AFTER_DOCTYPE_PUBLIC_KEYWORD_STATE')"
"('KEYWORD_STATE ', 'KEY', '=', 'AFTER_DOCTYPE_SYSTEM_KEYWORD_STATE')"
"('Key ', 'Key', ':', 'highWaterMark')"
"('Key ', 'Key', '=', '_reactListenersID')"
"('Key ', 'Key', '=', 'textContent')"
"('Key', 'Key', ':', 'Alt-Backspace')"
"('Key', 'Key', ':', 'Alt-Delete')"
"('Key', 'Key', ':', 'Alt-Down')"
"('Key', 'Key', ':', 'Alt-Shift-0')"
"('Key', 'Key', ':', 'Alt-Shift-Down')"
"('Key', 'Key', ':', 'Alt-Shift-E')"
"('Key', 'Key', ':', 'Alt-Shift-K')"
"('Key', 'Key', ':', 'Alt-Shift-Left')"
"('Key', 'Key', ':', 'Alt-Shift-Right')"
"('Key', 'Key', ':', 'Alt-Shift-Up')"
"('Key', 'Key', ':', 'Alt-Shift-X')"
"('Key', 'Key', ':', 'Ctrl-Alt-A')"
"('Key', 'Key', ':', 'Ctrl-Alt-Down')"
"('Key', 'Key', ':', 'Ctrl-Alt-E')"
"('Key', 'Key', ':', 'Ctrl-Alt-K')"
"('Key', 'Key', ':', 'Ctrl-Alt-L')"
"('Key', 'Key', ':', 'Ctrl-Alt-Left')"
"('Key', 'Key', ':', 'Ctrl-Alt-Right')"
"('Key', 'Key', ':', 'Ctrl-Alt-S')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-Down')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-L')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-Left')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-R')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-Right')"
"('Key', 'Key', ':', 'Ctrl-Alt-Shift-Up')"
"('Key', 'Key', ':', 'Ctrl-Alt-Up')"
"('Key', 'Key', ':', 'Ctrl-Alt-h')"
"('Key', 'Key', ':', 'Ctrl-Alt-y')"
"('Key', 'Key', ':', 'Ctrl-Backspace')"
"('Key', 'Key', ':', 'Ctrl-Delete')"
"('Key', 'Key', ':', 'Ctrl-Down')"
"('Key', 'Key', ':', 'Ctrl-End')"
"('Key', 'Key', ':', 'Ctrl-Home')"
"('Key', 'Key', ':', 'Ctrl-Left')"
"('Key', 'Key', ':', 'Ctrl-Right')"
"('Key', 'Key', ':', 'Ctrl-Shift-B')"
"('Key', 'Key', ':', 'Ctrl-Shift-Backspace')"
"('Key', 'Key', ':', 'Ctrl-Shift-D')"
"('Key', 'Key', ':', 'Ctrl-Shift-Delete')"
"('Key', 'Key', ':', 'Ctrl-Shift-Down')"
"('Key', 'Key', ':', 'Ctrl-Shift-E')"
"('Key', 'Key', ':', 'Ctrl-Shift-End')"
"('Key', 'Key', ':', 'Ctrl-Shift-Home')"
"('Key', 'Key', ':', 'Ctrl-Shift-K')"
"('Key', 'Key', ':', 'Ctrl-Shift-L')"
"('Key', 'Key', ':', 'Ctrl-Shift-Left')"
"('Key', 'Key', ':', 'Ctrl-Shift-M')"
"('Key', 'Key', ':', 'Ctrl-Shift-P')"
"('Key', 'Key', ':', 'Ctrl-Shift-Right')"
"('Key', 'Key', ':', 'Ctrl-Shift-U')"
"('Key', 'Key', ':', 'Ctrl-Shift-Up')"
"('Key', 'Key', ':', 'Ctrl-space')"
"('Key', 'Key', ':', 'PageDown')"
"('Key', 'Key', ':', 'Shift-Delete')"
"('Key', 'Key', ':', 'Shift-Down')"
"('Key', 'Key', ':', 'Shift-End')"
"('Key', 'Key', ':', 'Shift-Home')"
"('Key', 'Key', ':', 'Shift-Left')"
"('Key', 'Key', ':', 'Shift-PageDown')"
"('Key', 'Key', ':', 'Shift-PageUp')"
"('Key', 'Key', ':', 'Shift-Right')"
"('Key', 'Key', ':', 'Shift-Tab')"
"('Key', 'Key', ':', 'Shift-Up')"
"('Key', 'Key', ':', 'Unidentified')"
"('Key', 'Key', ':', 'alt-cmd-g')"
"('Key', 'Key', ':', 'alt-down')"
"('Key', 'Key', ':', 'backspace')"
"('Key', 'Key', ':', 'cmd-enter')"
"('Key', 'Key', ':', 'cmd-shift-a')"
"('Key', 'Key', ':', 'cmd-shift-d')"
