"('Advapi32.', '', '')"
"('AssemblyBytes.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CallbackInfo.', '', '')"
"('CallbackInput.', '', '')"
"('CallbackOutput.', '', '')"
"('CallingConvention.', '', '')"
"('CharSet.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('CustomLoadLibrary.', '', '')"
"('DLLName.', '', '')"
"('Data.', '', '')"
"('Delegates.', '', '')"
"('DotSettings.', '', '')"
"('ExportName.', '', '')"
"('FileName.', '', '')"
"('FileShare.', '', '')"
"('FunctionName.', '', '')"
"('GhostDoc.', '', '')"
"('IO.', '', '')"
"('IntPtr.', '', '')"
"('IoStatusBlock.', '', '')"
"('Kernel32.', '', '')"
"('Kernelbase.', '', '')"
"('LayoutKind.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('MinimumRecommendedRules.', '', '')"
"('Mod.', '', '')"
"('ModelManifest.', '', '')"
"('NTSTATUS.', '', '')"
"('NativeSysCall.', '', '')"
"('Natives.', '', '')"
"('Node.', '', '')"
"('Process.', '', '')"
"('ProcessAccessFlags.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('SafeHandles.', '', '')"
"('Security.', '', '')"
"('SharpMiniDump.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('Tokens.', '', '')"
"('UnmanagedType.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('Xml.', '', '')"
"('ackup.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('chOSMajorMinor.', '', '')"
"('clientid.', '', '')"
"('codegen.', '', '')"
"('dbgcore.', '', '')"
"('dbproj.', '', '')"
"('dumpert.', '', '')"
"('elv.', '', '')"
"('github.', '', '')"
"('hDmpFile.', '', '')"
"('lint.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('lsass.', '', '')"
"('luidAndAttributes.', '', '')"
"('microsoft.', '', '')"
"('newState.', '', '')"
"('ntdll.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('osInfo.', '', '')"
"('outflank.', '', '')"
"('pWinVerInfo.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('string.', '', '')"
"('syscall.', '', '')"
"('this.', '', '')"
"('tk.', '', '')"
"('twitter.', '', '')"
"('uFileName.', '', '')"
"('ublish.', '', '')"
"('x64.', '', '')"
"('xsd.', '', '')"
