"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/Cneelis', '/', 'Cneelis')"
"('https://', 'ht', 's', '/TheRealWover', '/', 'TheRealWover')"
"('https://', 'ht', 's', '/b4rtik/RedPeanut', '/', 'b4rtik/RedPeanut')"
"('https://', 'ht', 's', '/b4rtik/SharpMiniDump', '/', 'b4rtik/SharpMiniDump')"
"('https://', 'ht', 's', '/blog/2019/06/19/red-team-tactics-combining-direct-system-calls-and-srdi-to-bypass-av-edr', '/', 'blog/2019/06/19/red-team-tactics-combining-direct-system-calls-and-srdi-to-bypass-av-edr')"
"('https://', 'ht', 's', '/cobbr/SharpSploit', '/', 'cobbr/SharpSploit')"
"('https://', 'ht', 's', '/cobbr/SharpSploit/blob/master/SharpSploit/Credentials/Tokens.cs', '/', 'cobbr/SharpSploit/blob/master/SharpSploit/Credentials/Tokens.cs')"
"('https://', 'ht', 's', '/cobbr_io', '/', 'cobbr_io')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/outflanknl/Dumpert', '/', 'outflanknl/Dumpert')"
