"('2x.', '', '')"
"('Math.', '', '')"
"('Screen.', '', '')"
"('WScript.', '', '')"
"('Window.', '', '')"
"('all.', '', '')"
"('body.', '', '')"
"('calc.', '', '')"
"('checkboxBtn.', '', '')"
"('checkboxWindow.', '', '')"
"('clipboardData.', '', '')"
"('denwp.', '', '')"
"('document.', '', '')"
"('event.', '', '')"
"('favicon.', '', '')"
"('fontawesome.', '', '')"
"('fraunhofer.', '', '')"
"('github.', '', '')"
"('google.', '', '')"
"('http.', '', '')"
"('huntress.', '', '')"
"('index.', '', '')"
"('location.', '', '')"
"('objShell.', '', '')"
"('orangecyberdefense.', '', '')"
"('path.', '', '')"
"('style.', '', '')"
"('tempTextArea.', '', '')"
"('verifywindow.', '', '')"
"('win.', '', '')"
"('window.', '', '')"
"('x.', '', '')"
