"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'A', '', 'A', '', '', '', '')"
"('', '', '', '', '', 'B', '', 'B', '', '', '', '')"
"('', '', '', '', '', 'D', '', 'D', '', '', '', '')"
"('', '', '', '', '', 'E', '', 'E', '', '', '', '')"
"('', '', '', '', '', 'F', '', 'F', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'ac', '', 'ac', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'dA', '', 'dA', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'eF', '', 'eF', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('', '', '', '', '', 'ee', '', 'ee', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', 'A', '', 'A', '', '', '', '')"
"('::', '::', '', '', '', 'Ad', '', 'Ad', '', '', '', '')"
"('::', '::', '', '', '', 'F', '', 'F', '', '', '', '')"
