"('', '', '', '', '', '', ' System.Drawing.Bitmap $Width', '', 'System.Drawing.Bitmap', 'Width', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Drawing\n\n        $Screen', '', 'System.Drawing', 'Screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [char]$keyCode', '', 'char', 'keyCode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' from $AnyDeskURL', '', 'from', 'AnyDeskURL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $possiblePaths', '', 'in', 'possiblePaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $DestinationPath', '', 'to', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $InstallPath', '', 'to', 'InstallPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $OutputPath', '', 'to', 'OutputPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n           \n        [String]$program = ""cmd /c start powershell.exe"" \n       )', '[String]$program = ""cmd /c start powershell.exe"" \n       ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param(\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n            [int]$keyCode\n        )', '[int]$keyCode\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Content $stdoutPath', '', 'Content', 'stdoutPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Destination $DestinationPath', '', 'Destination', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'FilePath $DestinationPath', '', 'FilePath', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'FilePath $anyDeskPath', '', 'FilePath', 'anyDeskPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n\n    $endTime', '', 'Force', 'endTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Height\n        $graphic', '', 'Height', 'graphic', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $DestinationPath', '', 'Item', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $stdoutPath', '', 'Item', 'stdoutPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MemberDefinition $signatures', '', 'MemberDefinition', 'signatures', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NoNewline $character', '', 'NoNewline', 'character', '', '', '', '', '', '', '', '')"
