"('AnyDesk.', '', '')"
"('Drawing.', '', '')"
"('Forms.', '', '')"
"('IO.', '', '')"
"('Imaging.', '', '')"
"('Net.', '', '')"
"('Principal.', '', '')"
"('Screen.', '', '')"
"('System.', '', '')"
"('Text.', '', '')"
"('Windows.', '', '')"
"('anydesk.', '', '')"
"('bitmap.', '', '')"
"('calc.', '', '')"
"('cmd.', '', '')"
"('fodhelper.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('graphic.', '', '')"
"('id.', '', '')"
"('keystrokes.', '', '')"
"('nonPrintableKeys.', '', '')"
"('pentestlab.', '', '')"
"('powersell.', '', '')"
"('powershell.', '', '')"
"('previousState.', '', '')"
"('principal.', '', '')"
"('shiftKeyMapping.', '', '')"
"('usage.', '', '')"
"('user32.', '', '')"
