"('18176.', '', '')"
"('AFD.', '', '')"
"('AppEvent.', '', '')"
"('Groups.', '', '')"
"('Net.', '', '')"
"('NetSetup.', '', '')"
"('Notepad.', '', '')"
"('Potato.', '', '')"
"('RemoteDLLInjector64.', '', '')"
"('SecEvent.', '', '')"
"('Taskmgr.', '', '')"
"('Unattended.', '', '')"
"('Web.', '', '')"
"('Win32k.', '', '')"
"('WindowsUpdate.', '', '')"
"('accesschk.', '', '')"
"('applicationHost.', '', '')"
"('archive.', '', '')"
"('bh-eu-13-powershell-for-penetration-mittal-slides.', '', '-slides')"
"('blackhat.', '', '')"
"('boot.', '', '')"
"('certutil.', '', '')"
"('chimchurri.', '', '')"
"('cmd.', '', '')"
"('default.', '', '')"
"('eula.', '', '')"
"('evil.', '', '')"
"('example.', '', '')"
"('exp.', '', '')"
"('exploit-db.', '', '-db')"
"('exploit.', '', '')"
"('fgdump.', '', '')"
"('file.', '', '')"
"('ftp.', '', '')"
"('github.', '', '')"
"('guif.', '', '')"
"('httperr1.', '', '')"
"('iis6.', '', '')"
"('license.', '', '')"
"('nc.', '', '')"
"('note.', '', '')"
"('notepad.', '', '')"
"('powershell.', '', '')"
"('psexec.', '', '')"
"('pyinstaller.', '', '')"
"('rottenpotato.', '', '')"
"('security.', '', '')"
"('smbexec.', '', '')"
"('software.', '', '')"
"('sysinternals.', '', '')"
"('sysprep.', '', '')"
"('system.', '', '')"
"('unattend.', '', '')"
"('vnc.', '', '')"
"('wce32.', '', '')"
"('wce64.', '', '')"
"('web.', '', '')"
"('webclient.', '', '')"
"('whatever.', '', '')"
"('win.', '', '')"
"('windows-exploit-suggester.', '', '-suggester')"
