"('0.', '', '-1')"
"('5.', '', '')"
"('5.', '', '-1')"
"('Defaults.', '', '')"
"('ET.', '', '')"
"('Fore.', '', '')"
"('Helper.', '', '')"
"('JetBrains.', '', '')"
"('LoggingLevels.', '', '')"
"('Office.', '', '')"
"('Pipfile.', '', '')"
"('README.', '', '')"
"('adfs-spray.', '', '-spray')"
"('amazon.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('asyncio.', '', '')"
"('atexit.', '', '')"
"('autodiscover.', '', '')"
"('bcolors.', '', '')"
"('bitbucket.', '', '')"
"('celerybeat.', '', '')"
"('concurrent.', '', '')"
"('config.', '', '')"
"('controlflow.', '', '')"
"('core.', '', '')"
"('coverage.', '', '')"
"('created.', '', '')"
"('creds.', '', '')"
"('danielchronlund.', '', '')"
"('data.', '', '')"
"('datetime.', '', '')"
"('dmypy.', '', '')"
"('el4.', '', '-0')"
"('el4.', '', '-1')"
"('el5.', '', '-1')"
"('el5.', '', '-10')"
"('el5.', '', '-14')"
"('el5.', '', '-2')"
"('el5.', '', '-3')"
"('en.', '', '')"
"('enum.', '', '')"
"('enumerator.', '', '')"
"('env.', '', '')"
"('error.', '', '')"
"('etree.', '', '')"
"('exceptions.', '', '')"
"('executor.', '', '')"
"('expires.', '', '')"
"('f.', '', '')"
"('fming.', '', '')"
"('future.', '', '')"
"('futures.', '', '')"
"('getuserrealm.', '', '')"
"('github.', '', '')"
"('grimhacker.', '', '')"
"('handlers.', '', '')"
"('headers.', '', '')"
"('html.', '', '')"
"('installed.', '', '')"
"('json.', '', '')"
"('line.', '', '')"
"('logging.', '', '')"
"('loop.', '', '')"
"('lucideer.', '', '')"
"('lync.', '', '')"
"('method.', '', '')"
"('microsoft.', '', '')"
"('microsoftazuread-sso.', '', '-sso')"
"('microsoftonline.', '', '')"
"('modules.', '', '')"
"('nosetests.', '', '')"
"('oasis-open.', '', '-open')"
"('office.', '', '')"
"('office365.', '', '')"
"('onedrive.', '', '')"
"('onmicrosoft.', '', '')"
"('os.', '', '')"
"('outlook.', '', '-s')"
"('output.', '', '')"
"('packages.', '', '')"
"('parser.', '', '')"
"('passlist.', '', '')"
"('password.', '', '')"
"('passwords.', '', '')"
"('pdm.', '', '')"
"('pip-delete-this-directory.', '', '-directory')"
"('pip-log.', '', '-log')"
"('poetry.', '', '')"
"('py.', '', '')"
"('python-poetry.', '', '-poetry')"
"('python.', '', '')"
"('random.', '', '')"
"('raw.', '', '')"
"('re.', '', '')"
"('redsiege.', '', '')"
"('reporting.', '', '')"
"('requests.', '', '')"
"('requirements.', '', '')"
"('response.', '', '')"
"('rsmus.', '', '')"
"('rsp.', '', '')"
"('rst2.', '', '')"
"('sage.', '', '')"
"('self.', '', '')"
"('sharepoint.', '', '')"
"('signal.', '', '')"
"('spray.', '', '')"
"('sprayer.', '', '')"
"('stackoverflow.', '', '')"
"('stdout.', '', '')"
"('str.', '', '')"
"('string.', '', '')"
"('struct.', '', '')"
"('sys.', '', '')"
"('tenant.', '', '')"
"('test.', '', '')"
"('time.', '', '')"
"('token.', '', '')"
"('trustedsec.', '', '')"
"('urllib.', '', '')"
"('user-agents.', '', '-agents')"
"('user.', '', '')"
"('useragentstring.', '', '')"
"('userlist.', '', '')"
"('username.', '', '')"
"('usernames.', '', '')"
"('utils.', '', '')"
"('v.', '', '')"
"('validator.', '', '')"
"('venv.', '', '')"
"('w3.', '', '')"
"('windows.', '', '')"
"('xml.', '', '')"
"('xmlsoap.', '', '')"
