"('', '', '', '', '', '', '', '', ' module_class)', ')', '')"
"('', '', '', '', '', '', '', '', '', '', 'add_argument(""--debug"", action')"
"('', '', '', '', '', '', '', '', '', '', 'adfs_url ')"
"('', '', '', '', '', '', '', '', '', '', 'enum ')"
"('', '', '', '', '', '', '', '', '', '', 'enum, args.spray) ')"
"('', '', '', '', '', '', '', '', '', '', 'enum_module ')"
"('', '', '', '', '', '', '', '', '', '', 'sleep ')"
"('', '', '', '', '', '', '', '', '', '', 'spray_module ')"
"('', '', '', '', '', '', '', '', '', '', 'useragents ')"
"('', '', '', '', 'and', 'useragents', '', '', '', '', '')"
"('', '', '', '', 'if', 'adfs_url', '', '', '', '', '')"
"('', '', '', '', 'if', 'enum and (not args.username and not args.userfile)', '', '', '', '', '')"
"('', '', '', '', 'if', 'enum and args.enum_module != ""oauth2""', '', '', '', '', '')"
"('', '', '', '', 'if', 'enum', '', '', '', '', '')"
"('', '', '', '', 'if', 'enum_module in [""activesync"", ""oauth2""]', '', '', '', '', '')"
"('', '', '', '', 'if', 'output', '', '', '', '', '')"
"('', '', '', '', 'if', 'paired', '', '', '', '', '')"
"('', '', '', '', 'if', 'passfile', '', '', '', '', '')"
"('', '', '', '', 'if', 'password', '', '', '', '', '')"
"('', '', '', '', 'if', 'sleep == -1', '', '', '', '', '')"
"('', '', '', '', 'if', 'spray and args.passfile', '', '', '', '', '')"
"('', '', '', '', 'if', 'spray and args.spray_module != ""adfs""', '', '', '', '', '')"
"('', '', '', '', 'if', 'spray', '', '', '', '', '')"
"('', '', '', '', 'if', 'spray_module != ""adfs""', '', '', '', '', '')"
"('', '', '', '', 'if', 'useragents', '', '', '', '', '')"
"('', '', '', '', 'if', 'userfile', '', '', '', '', '')"
"('', '', '', '', 'if', 'username', '', '', '', '', '')"
"('', '', '', '', 'if', 'validate', '', '', '', '', '')"
"('', '', '', '', 'if', 'version', '', '', '', '', '')"
"('', '', '', '', 'not', 'domain', '', '', '', '', '')"
"('', '', '', '', 'not', 'enum', '', '', '', '', '')"
"('', '', '', '', 'not', 'spray', '', '', '', '', '')"
"('', '', '', '', 'or', 'spray) and args.userfile', '', '', '', '', '')"
